pointer,LC508226,OM104039,OQ818329,OQ818321,NC_033820,OQ818343
740,0,0,0,6,81,1
760,0,0,0,24,46,1
780,0,0,0,3,84,1
800,0,0,0,0,90,1
820,0,0,0,0,91,6
840,0,0,0,0,83,17
860,0,0,0,0,67,32
880,0,0,0,0,47,53
900,0,0,0,0,6,94
920,0,0,0,0,1,99
940,0,0,0,0,0,100
960,0,0,0,0,0,100
980,0,0,0,0,0,100
1000,0,0,0,0,0,94
1020,0,0,0,0,0,90
1040,0,0,0,0,1,92
1060,0,0,0,0,4,87
1080,0,0,0,0,1,95
1100,0,0,0,0,0,100
1120,0,0,0,0,1,98
1140,0,0,0,0,0,99
1160,0,0,0,0,2,94
1180,0,0,0,0,2,93
1200,0,0,0,0,0,100
1220,0,0,0,0,0,100
1240,0,0,0,0,1,99
1260,0,0,0,0,0,99
1280,0,0,0,0,1,99
1300,0,0,0,0,3,96
1320,0,0,0,0,0,99
1340,0,0,0,0,2,96
1360,0,0,0,0,1,99
1380,0,0,0,0,0,99
1400,0,0,0,0,0,99
1420,0,0,0,0,1,98
1440,0,0,0,0,0,99
1460,0,0,0,0,0,99
1480,0,0,0,0,0,99
1500,0,0,0,0,0,100
1520,0,0,0,0,0,100
1540,0,0,0,0,0,100
1560,0,0,0,0,0,100
1580,0,0,0,0,0,100
1600,0,0,0,0,0,100
1620,0,0,0,0,0,99
1640,0,0,0,0,0,100
1660,0,0,0,0,0,100
1680,0,0,0,0,0,100
1700,0,0,0,0,0,100
1720,0,0,0,0,0,100
1740,0,0,0,0,0,100
1760,0,0,0,0,0,100
1780,0,0,0,0,0,100
1800,0,0,0,0,0,100
1820,0,0,0,0,0,100
1840,0,0,0,0,0,100
1860,0,0,0,0,1,99
1880,0,0,0,0,1,99
1900,0,0,0,0,4,95
1920,0,0,0,0,3,97
1940,0,0,1,0,1,98
1960,0,0,0,0,1,95
1980,0,0,0,0,0,96
2000,0,0,0,0,0,87
2020,0,0,0,0,0,90
2040,0,0,0,0,0,85
2060,0,0,0,0,22,37
