pointer,OQ818321,OQ818329,OQ818343,NC_033820.1
49,79.0,75.0,99.0,71.0
50,79.0,76.0,99.0,72.0
51,79.0,76.0,99.0,72.0
52,78.0,76.0,99.0,72.0
53,79.0,77.0,99.0,73.0
54,79.0,77.0,99.0,73.0
55,79.0,77.0,99.0,73.0
56,79.0,77.0,99.0,73.0
57,79.0,77.0,99.0,73.0
58,78.0,77.0,99.0,73.0
59,78.0,78.0,99.0,73.0
60,78.0,78.0,99.0,73.0
61,77.0,78.0,99.0,73.0
62,78.0,79.0,99.0,73.0
63,79.0,79.0,99.0,73.0
64,79.0,80.0,99.0,73.0
65,80.0,80.0,99.0,74.0
66,80.0,80.0,99.0,74.0
67,80.0,79.0,99.0,73.0
68,81.0,80.0,99.0,74.0
69,81.0,80.0,99.0,74.0
70,80.0,79.0,99.0,74.0
71,80.0,79.0,99.0,75.0
72,80.0,79.0,99.0,75.0
73,79.0,79.0,99.0,75.0
74,78.0,80.0,99.0,76.0
75,78.0,80.0,99.0,75.0
76,78.0,80.0,99.0,75.0
77,79.0,81.0,99.0,76.0
78,79.0,81.0,99.0,76.0
79,79.0,81.0,99.0,75.0
80,80.0,81.0,99.0,76.0
81,80.0,81.0,99.0,76.0
82,79.0,81.0,99.0,75.0
83,80.0,81.0,100.0,76.0
84,80.0,82.0,100.0,75.0
85,79.0,82.0,100.0,76.0
86,80.0,82.0,100.0,76.0
87,80.0,82.0,100.0,76.0
88,80.0,82.0,100.0,76.0
89,80.0,83.0,100.0,76.0
90,80.0,83.0,100.0,76.0
91,79.0,83.0,100.0,75.0
92,80.0,83.0,100.0,75.0
93,80.0,83.0,100.0,75.0
94,80.0,83.0,100.0,76.0
95,80.0,83.0,100.0,77.0
96,80.0,83.0,100.0,76.0
97,80.0,83.0,100.0,76.0
98,80.0,83.0,100.0,77.0
99,80.0,83.0,100.0,78.0
100,80.0,83.0,100.0,78.0
101,81.0,84.0,100.0,79.0
102,81.0,84.0,100.0,80.0
103,80.0,83.0,100.0,80.0
104,80.0,84.0,100.0,81.0
105,80.0,84.0,100.0,81.0
106,79.0,83.0,100.0,81.0
107,78.0,83.0,100.0,81.0
108,78.0,83.0,100.0,81.0
109,78.0,82.0,100.0,81.0
110,78.0,82.0,100.0,82.0
111,78.0,82.0,100.0,81.0
112,77.0,82.0,100.0,80.0
113,77.0,82.0,100.0,81.0
114,77.0,82.0,100.0,81.0
115,77.0,82.0,100.0,81.0
116,77.0,83.0,100.0,81.0
117,76.0,83.0,100.0,81.0
118,75.0,82.0,100.0,80.0
119,76.0,83.0,100.0,81.0
120,76.0,83.0,100.0,81.0
121,75.0,82.0,100.0,81.0
122,75.0,81.0,100.0,81.0
123,75.0,81.0,100.0,81.0
124,74.0,80.0,100.0,80.0
125,75.0,81.0,100.0,81.0
126,75.0,81.0,100.0,81.0
127,75.0,80.0,100.0,80.0
128,76.0,80.0,100.0,80.0
129,76.0,80.0,100.0,80.0
