FileName: D:\batpicorna_bootscan_all_align_nt_right.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","OQ818328","OQ818328"
"Ref","PP766469","PP766469"
"Query","OQ818325"
"Ref","OQ818346","OQ818346"
"Ref","PP766475","PP766475"
"Ref","Bat_picornavirus_3","Bat_picornavirus_3"
"Ref","Shanbavirus_A","Shanbavirus_A"
"Ref","OP963617.1","OP963617.1"


"CenterPos","OQ818328","PP766469","OQ818346","PP766475","Bat_picornavirus_3","Shanbavirus_A","OP963617.1"
"100","100","0","0","0","0","0","0"
"120","92","0","1","0","0","0","0"
"140","96","0","0","0","0","0","0"
"160","79","0","3","0","0","0","0"
"180","74","0","3","0","0","0","0"
"200","63","0","2","0","0","0","0"
"220","63","0","9","0","0","0","0"
"240","84","0","4","0","0","0","0"
"260","36","0","21","0","0","0","0"
"280","84","0","0","0","0","0","0"
"300","66","0","13","0","0","0","0"
"320","60","0","25","0","0","0","0"
"340","87","0","11","0","0","0","0"
"360","88","0","10","0","0","0","0"
"380","91","0","9","0","0","0","0"
"400","90","0","8","0","0","0","0"
"420","96","0","4","0","0","0","0"
"440","98","0","2","0","0","0","0"
"460","99","0","1","0","0","0","0"
"480","100","0","0","0","0","0","0"
"500","98","0","1","0","0","0","0"
"520","99","0","0","0","0","0","0"
