pointer,OQ818328,HQ595340,HQ595342,HQ595344
49,31.958762886597935,38.144329896907216,39.0,0.0
50,32.98969072164948,38.144329896907216,39.0,0.0
51,33.6734693877551,38.775510204081634,40.0,0.0
52,34.34343434343434,39.39393939393939,41.0,0.0
53,35.0,40.0,42.0,0.0
54,36.0,41.0,43.0,0.0
55,37.0,42.0,44.0,0.0
56,38.0,43.0,45.0,0.0
57,39.0,44.0,45.0,0.0
58,40.0,44.0,45.0,0.0
59,41.0,43.0,44.0,0.0
60,42.0,43.0,44.0,0.0
61,43.0,42.0,43.0,0.0
62,44.0,41.0,42.0,0.0
63,45.0,41.0,42.0,0.0
64,46.0,41.0,42.0,0.0
65,47.0,40.0,41.0,0.0
66,48.0,39.0,40.0,0.0
67,49.0,38.0,39.0,0.0
68,50.0,38.0,39.0,0.0
69,51.0,37.0,38.0,0.0
70,52.0,37.0,38.0,0.0
71,53.0,36.0,37.0,0.0
72,54.0,36.0,37.0,0.0
73,55.00000000000001,35.0,36.0,0.0
74,56.00000000000001,34.0,35.0,0.0
75,56.99999999999999,33.0,34.0,0.0
76,57.99999999999999,33.0,34.0,0.0
77,59.0,33.0,34.0,0.0
78,60.0,33.0,34.0,0.0
79,61.0,33.0,34.0,0.0
80,62.0,33.0,34.0,0.0
81,63.0,33.0,34.0,0.0
82,64.0,33.0,34.0,0.0
83,65.0,33.0,34.0,0.0
84,66.0,33.0,34.0,0.0
85,67.0,33.0,34.0,0.0
86,68.0,33.0,34.0,0.0
87,69.0,33.0,34.0,0.0
88,70.0,33.0,34.0,0.0
89,71.0,33.0,34.0,0.0
90,72.0,33.0,34.0,0.0
91,73.0,33.0,34.0,0.0
92,74.0,33.0,34.0,0.0
93,75.0,34.0,35.0,0.0
94,76.0,34.0,35.0,0.0
95,77.0,35.0,36.0,0.0
96,77.0,36.0,37.0,0.0
97,78.0,37.0,37.0,0.0
98,79.0,37.0,38.0,0.0
99,80.0,37.0,39.0,0.0
100,81.0,37.0,39.0,0.0
101,82.0,38.0,40.0,0.0
102,83.0,38.0,40.0,0.0
103,84.0,38.0,40.0,0.0
104,85.0,39.0,41.0,0.0
105,86.0,40.0,42.0,0.0
106,87.0,40.0,42.0,0.0
107,88.0,41.0,43.0,0.0
108,89.0,42.0,44.0,0.0
109,90.0,42.0,44.0,0.0
110,90.9090909090909,42.0,44.44444444444444,0.0
111,91.83673469387756,42.0,44.44444444444444,0.0
112,92.78350515463917,42.0,44.44444444444444,0.0
113,93.81443298969072,43.0,44.44444444444444,0.0
114,93.81443298969072,43.0,44.44444444444444,0.0
115,94.84536082474226,43.0,44.44444444444444,0.0
116,95.87628865979381,43.0,44.44444444444444,1.0309278350515463
117,96.90721649484536,44.0,45.45454545454545,2.0618556701030926
118,97.9381443298969,43.0,44.44444444444444,2.0618556701030926
119,97.9381443298969,43.0,44.44444444444444,2.0618556701030926
120,97.9381443298969,43.0,44.44444444444444,3.0927835051546393
121,97.9381443298969,43.0,44.44444444444444,4.123711340206185
122,97.9381443298969,42.0,43.43434343434344,4.123711340206185
123,97.9381443298969,43.0,44.44444444444444,5.154639175257731
124,97.9381443298969,44.0,45.45454545454545,6.185567010309279
125,97.91666666666666,43.0,44.44444444444444,6.25
126,97.91666666666666,43.0,44.44444444444444,7.291666666666667
127,97.91666666666666,43.0,44.44444444444444,8.333333333333332
128,97.91666666666666,42.0,43.43434343434344,9.375
129,97.91666666666666,41.0,42.42424242424242,9.375
130,97.91666666666666,41.0,42.42424242424242,10.416666666666668
131,97.91666666666666,41.0,42.42424242424242,10.416666666666668
132,97.91666666666666,40.0,41.41414141414141,10.416666666666668
133,97.91666666666666,39.0,41.41414141414141,11.458333333333332
134,97.91666666666666,39.0,40.4040404040404,12.5
135,97.91666666666666,39.0,40.4040404040404,13.541666666666666
136,97.91666666666666,38.0,39.39393939393939,13.541666666666666
137,97.91666666666666,37.0,38.38383838383838,14.583333333333334
138,97.91666666666666,37.0,38.38383838383838,14.583333333333334
139,97.91666666666666,38.0,38.38383838383838,15.625
140,97.91666666666666,38.0,38.38383838383838,15.625
141,97.91666666666666,38.0,38.38383838383838,15.625
142,97.91666666666666,38.0,38.38383838383838,16.666666666666664
143,97.91666666666666,38.0,38.38383838383838,17.708333333333336
144,97.91666666666666,37.0,37.37373737373738,18.75
145,97.91666666666666,36.0,36.36363636363637,19.791666666666664
146,97.91666666666666,35.0,35.35353535353536,20.833333333333336
147,97.91666666666666,34.0,34.34343434343434,20.833333333333336
148,97.91666666666666,33.0,33.33333333333333,20.833333333333336
149,97.91666666666666,32.0,32.323232323232325,21.875
150,97.91666666666666,32.0,31.313131313131315,22.916666666666664
151,97.91666666666666,31.0,30.303030303030305,22.916666666666664
152,97.91666666666666,30.0,29.292929292929294,22.916666666666664
153,97.91666666666666,28.999999999999996,28.28282828282828,23.958333333333336
154,97.91666666666666,28.000000000000004,27.27272727272727,25.0
155,97.91666666666666,27.0,26.262626262626267,25.0
156,97.91666666666666,26.0,25.252525252525253,26.041666666666668
157,97.91666666666666,25.0,24.242424242424242,27.083333333333332
158,97.91666666666666,25.0,24.242424242424242,27.083333333333332
159,97.91666666666666,25.0,24.242424242424242,28.125
160,97.91666666666666,26.0,25.252525252525253,29.166666666666668
161,97.91666666666666,26.0,25.252525252525253,29.166666666666668
162,97.91666666666666,26.0,25.252525252525253,30.208333333333332
163,97.91666666666666,26.0,25.252525252525253,31.25
164,96.875,27.0,26.262626262626267,32.29166666666667
165,96.875,28.000000000000004,27.27272727272727,32.29166666666667
166,96.875,28.999999999999996,28.28282828282828,32.29166666666667
167,96.875,30.0,29.292929292929294,32.29166666666667
168,96.875,31.0,30.303030303030305,33.33333333333333
169,96.875,32.0,31.313131313131315,34.375
170,96.875,33.0,31.313131313131315,34.375
171,96.875,33.0,31.313131313131315,34.375
172,96.875,34.0,32.323232323232325,35.41666666666667
173,96.875,35.0,33.33333333333333,36.45833333333333
174,96.875,35.0,33.33333333333333,36.45833333333333
175,96.875,35.0,33.33333333333333,36.45833333333333
176,96.875,35.0,33.33333333333333,37.5
177,96.875,36.0,34.34343434343434,38.54166666666667
178,96.875,37.0,35.35353535353536,39.58333333333333
179,96.875,37.0,35.35353535353536,40.625
180,96.875,38.0,36.36363636363637,41.66666666666667
181,96.875,39.0,37.37373737373738,42.70833333333333
182,96.875,39.0,37.37373737373738,43.75
183,96.875,39.0,37.37373737373738,43.75
184,96.875,39.0,37.37373737373738,43.75
185,96.875,39.0,37.37373737373738,43.75
186,96.875,39.0,37.37373737373738,44.79166666666667
187,96.875,39.0,37.37373737373738,44.79166666666667
188,96.875,39.0,37.37373737373738,44.79166666666667
189,96.875,40.0,38.38383838383838,44.79166666666667
190,96.875,41.0,39.39393939393939,44.79166666666667
191,96.875,41.0,39.39393939393939,45.83333333333333
192,96.875,42.0,40.4040404040404,46.875
193,96.875,42.0,40.4040404040404,47.91666666666667
194,96.875,42.0,40.4040404040404,48.95833333333333
195,96.875,41.0,39.39393939393939,50.0
196,96.875,40.0,38.38383838383838,51.041666666666664
197,96.875,39.0,38.38383838383838,52.083333333333336
198,96.875,39.0,37.37373737373738,53.125
199,96.875,39.0,36.36363636363637,54.166666666666664
200,96.875,39.0,36.36363636363637,54.166666666666664
201,96.875,38.0,35.35353535353536,55.208333333333336
202,96.875,38.0,35.35353535353536,55.208333333333336
203,96.875,38.0,35.35353535353536,56.25
204,96.875,37.0,34.34343434343434,56.25
205,96.875,37.0,34.34343434343434,56.25
206,96.875,37.0,34.34343434343434,56.25
207,96.875,36.0,34.34343434343434,56.25
208,96.875,36.0,33.33333333333333,57.291666666666664
209,96.875,37.0,34.34343434343434,58.333333333333336
210,96.90721649484536,38.0,35.0,57.73195876288659
211,96.93877551020408,38.0,36.0,57.14285714285714
212,96.96969696969697,38.0,36.0,56.56565656565656
213,96.96969696969697,37.0,36.0,56.56565656565656
214,97.97979797979798,37.0,36.0,56.56565656565656
215,97.97979797979798,36.0,36.0,56.56565656565656
216,97.97979797979798,36.0,36.0,56.56565656565656
217,97.97979797979798,36.0,36.0,55.55555555555556
218,97.97979797979798,37.0,36.0,56.56565656565656
219,96.96969696969697,37.0,35.0,57.57575757575758
220,96.96969696969697,36.0,34.0,57.57575757575758
221,96.96969696969697,36.0,34.0,57.57575757575758
222,96.96969696969697,37.0,34.0,58.58585858585859
223,96.96969696969697,36.0,33.0,58.58585858585859
224,96.96969696969697,35.0,32.0,58.58585858585859
225,97.0,35.0,32.0,59.0
226,97.0,34.0,32.0,57.99999999999999
227,97.0,34.0,32.0,57.99999999999999
228,97.0,34.0,32.0,56.99999999999999
229,97.0,34.0,32.0,56.99999999999999
230,97.0,34.0,32.0,56.00000000000001
231,96.96969696969697,33.0,31.0,56.56565656565656
232,96.93877551020408,33.0,31.0,57.14285714285714
233,96.90721649484536,33.0,30.0,56.70103092783505
234,96.875,33.0,30.0,56.25
235,96.875,33.0,30.0,56.25
236,96.875,33.0,30.0,56.25
237,96.875,33.0,30.0,55.208333333333336
238,96.875,33.0,28.999999999999996,55.208333333333336
239,96.875,33.0,30.0,54.166666666666664
240,96.875,33.0,30.0,55.208333333333336
241,96.875,33.0,30.0,55.208333333333336
242,96.875,34.0,30.0,54.166666666666664
243,96.875,34.0,30.0,53.125
244,96.875,34.0,30.0,52.083333333333336
245,96.875,34.0,30.0,51.041666666666664
246,96.875,34.0,30.0,50.0
247,96.875,34.0,30.0,50.0
248,96.875,34.0,30.0,50.0
249,96.875,34.0,30.0,50.0
250,96.875,34.0,30.0,50.0
251,96.875,34.0,30.0,51.041666666666664
252,96.875,35.0,31.0,52.083333333333336
253,96.875,36.0,32.0,52.083333333333336
254,96.875,37.0,33.0,52.083333333333336
255,96.875,37.0,33.0,53.125
256,96.875,38.0,34.0,53.125
257,96.875,38.0,34.0,53.125
258,96.875,39.0,35.0,54.166666666666664
259,96.875,40.0,36.0,54.166666666666664
260,96.875,40.0,36.0,54.166666666666664
261,96.875,41.0,37.0,54.166666666666664
262,96.875,41.0,37.0,53.125
263,96.84210526315789,41.0,37.0,52.63157894736842
264,97.87234042553192,40.0,36.0,52.12765957446809
265,97.84946236559139,39.0,35.0,52.68817204301075
266,97.82608695652173,38.0,34.0,53.2608695652174
267,97.8021978021978,37.0,33.0,53.84615384615385
268,97.8021978021978,37.0,33.0,52.74725274725275
269,97.8021978021978,36.0,32.0,52.74725274725275
270,97.8021978021978,35.0,32.0,52.74725274725275
271,97.8021978021978,35.0,32.0,53.84615384615385
272,97.8021978021978,34.0,31.0,52.74725274725275
273,97.8021978021978,34.0,30.0,52.74725274725275
274,97.8021978021978,35.0,30.0,53.84615384615385
275,97.8021978021978,35.0,30.0,54.94505494505495
276,97.8021978021978,36.0,31.0,53.84615384615385
277,97.8021978021978,36.0,31.0,53.84615384615385
