pointer,LC508226,OM104039,OQ818329,OQ818321,OQ818344,OQ818342,NC_033820
4940,-1,-1,-1,-1,-1,-1,-1
4960,0,0,0,0,0,71,16
4980,0,0,0,0,20,31,4
5000,0,0,0,0,55,11,4
5020,0,0,0,0,84,2,1
5040,0,0,0,0,91,1,1
5060,0,0,0,0,91,0,2
5080,0,0,0,0,92,0,0
5100,0,0,0,0,92,0,2
5120,0,0,0,0,91,1,0
5140,0,0,0,0,90,0,1
5160,0,0,0,0,81,0,0
5180,0,0,0,0,85,0,2
5200,0,0,0,0,57,2,5
5220,0,0,0,0,33,5,2
5240,0,0,0,0,29,0,23
5260,0,0,0,0,40,1,24
5280,0,0,0,0,46,0,29
5300,0,0,0,0,57,0,20
5320,0,0,0,0,61,0,27
5340,0,0,0,0,71,0,25
5360,0,0,0,0,73,0,18
5380,0,0,0,0,82,0,17
5400,0,0,0,0,75,4,9
5420,0,0,0,0,60,2,20
5440,0,0,0,0,59,3,5
5460,0,0,0,0,33,4,29
5480,0,0,0,0,50,8,20
5500,0,0,0,0,57,9,18
5520,0,0,0,0,75,5,10
5540,0,0,0,0,89,2,2
5560,0,0,0,0,65,11,16
5580,0,0,0,0,59,9,9
5600,0,0,0,0,47,1,12
5620,0,0,0,0,39,5,11
5640,0,0,0,0,17,4,2
5660,0,0,0,1,42,1,0
5680,0,0,0,0,36,0,0
5700,0,0,0,0,66,1,0
5720,0,0,0,0,49,0,0
5740,0,0,0,0,68,0,0
5760,0,0,0,0,59,1,0
5780,0,0,0,0,74,1,0
5800,0,0,0,0,88,1,0
5820,0,0,0,1,89,0,0
5840,0,0,0,0,93,0,0
5860,0,0,0,0,75,5,0
5880,0,0,0,0,37,18,0
5900,0,0,0,0,47,8,0
5920,0,0,0,1,94,2,0
