pointer,OQ818341,KX644943
49,0,42
50,0,43
51,0,43
52,0,43
53,0,43
54,0,43
55,0,43
56,0,43
57,0,43
58,0,43
59,0,43
60,0,43
61,0,44
62,0,44
63,0,45
64,0,46
65,0,47
66,0,48
67,0,49
68,0,49
69,0,50
70,0,51
71,0,51
72,0,52
73,0,53
74,0,53
75,0,53
76,0,53
77,0,53
78,0,53
79,0,54
80,0,55
81,0,56
82,0,57
83,0,58
84,0,58
85,0,59
86,0,58
87,0,59
88,0,60
89,0,59
90,0,59
91,0,59
92,0,59
93,0,60
94,0,61
95,0,61
96,0,62
97,0,62
98,0,61
99,0,61
100,0,61
101,0,61
102,0,61
103,0,61
104,0,62
105,0,62
106,0,62
107,0,63
108,0,64
109,0,65
110,0,66
111,0,67
112,0,67
113,0,67
114,0,68
115,0,69
116,0,68
117,0,68
118,0,68
119,0,67
120,0,67
121,0,68
122,0,68
123,0,69
124,0,70
125,0,71
126,0,72
127,0,73
128,0,74
129,0,75
130,0,76
131,0,76
132,0,77
133,0,78
134,0,78
135,0,78
136,0,77
137,0,76
138,0,76
139,0,76
140,0,76
141,0,76
142,0,76
143,0,75
144,0,76
145,0,76
146,0,75
147,0,75
148,0,75
149,0,74
150,0,73
151,0,73
152,0,72
153,0,73
154,0,73
155,0,72
156,0,73
157,0,73
158,0,72
159,0,73
160,0,73
161,0,73
162,0,74
163,0,74
164,0,73
165,0,73
166,0,73
167,0,73
168,0,73
169,0,72
170,0,71
171,0,72
172,0,72
173,0,71
174,0,72
175,0,72
176,0,71
177,0,71
178,0,71
179,0,71
180,0,70
181,0,70
182,0,70
183,0,70
184,0,70
185,0,70
186,0,71
187,0,71
188,0,71
189,0,72
190,0,72
191,0,72
192,0,71
193,0,70
194,0,69
195,0,70
196,0,70
197,0,70
198,0,70
199,0,70
200,0,70
201,0,70
202,0,70
203,0,71
204,0,71
205,0,71
206,0,71
207,0,71
208,0,71
209,0,70
210,0,70
211,0,70
212,0,70
213,0,71
214,0,71
215,0,71
216,0,72
217,0,72
218,0,72
219,0,73
220,0,73
221,0,73
222,0,73
223,0,73
224,0,73
225,0,73
226,0,72
227,0,71
228,0,71
229,0,71
230,0,71
231,0,72
232,0,72
233,0,72
234,0,72
235,0,72
236,0,72
237,0,73
238,0,73
239,0,73
240,0,73
241,0,73
242,0,74
243,0,75
244,0,75
245,0,74
246,0,75
247,0,76
248,0,77
249,0,78
250,0,79
251,0,79
252,0,80
253,0,80
254,0,80
255,0,81
256,0,81
257,0,81
258,0,81
259,0,81
260,0,80
261,0,80
262,0,80
263,0,80
264,0,81
265,0,81
266,0,81
267,0,81
268,0,82
269,0,83
270,0,84
271,0,84
272,0,84
273,0,85
274,0,85
275,0,85
276,0,86
277,0,86
278,0,85
279,0,85
280,0,86
281,0,86
282,0,86
283,0,86
284,0,86
285,0,86
286,0,86
287,0,85
288,0,85
289,0,85
290,0,84
291,0,84
292,0,85
293,0,85
294,0,86
295,0,86
296,0,86
297,0,86
298,0,86
299,0,85
300,0,86
301,0,85
302,0,85
303,0,84
304,0,84
305,0,83
306,0,83
307,0,83
308,0,83
309,0,84
310,0,84
311,0,84
312,0,84
313,0,84
314,0,84
315,0,84
316,0,84
317,0,84
318,0,83
319,0,83
320,0,82
321,0,82
322,0,82
323,0,82
324,0,82
325,0,82
326,0,83
327,0,84
328,0,84
329,0,84
330,0,84
331,0,84
332,0,83
333,0,82
334,0,82
335,0,82
336,0,83
337,0,83
338,0,82
339,0,82
340,0,82
341,0,81
342,0,81
343,0,81
344,0,80
345,0,80
346,0,79
347,0,78
348,0,78
349,0,78
350,0,77
351,0,77
352,0,77
353,0,76
354,0,75
355,0,75
356,0,74
357,0,74
358,0,75
359,0,75
360,0,76
361,0,76
362,0,76
363,0,76
364,0,76
365,0,75
366,0,75
367,0,75
368,0,75
369,0,75
370,0,75
371,0,75
372,0,75
373,0,75
374,0,74
375,0,74
376,0,74
377,0,74
378,0,75
379,0,75
380,0,74
381,0,74
382,0,74
383,0,74
384,0,74
385,0,74
386,0,73
387,0,74
388,0,74
389,0,74
390,0,75
391,0,75
392,0,75
393,0,76
394,0,76
395,0,76
396,0,76
397,0,77
398,0,78
399,0,79
400,0,79
401,0,80
402,0,80
403,0,81
404,0,81
405,0,82
406,0,82
407,0,81
408,0,81
409,0,81
410,0,81
411,0,81
412,0,81
413,0,81
414,0,81
415,0,81
416,0,81
417,0,81
418,0,82
419,0,82
420,0,83
421,0,82
422,0,82
423,0,82
424,0,82
425,0,82
426,0,82
427,0,82
428,0,82
429,0,82
430,0,82
431,0,82
432,0,83
433,0,84
434,0,83
435,0,83
436,0,83
437,0,83
438,0,84
439,0,84
440,0,84
441,0,84
442,0,83
443,0,82
444,0,83
445,0,84
446,0,85
447,0,86
448,0,86
449,0,85
450,0,86
451,0,85
452,0,85
453,0,86
454,0,87
455,0,87
456,0,88
457,0,88
458,0,88
459,0,88
460,0,88
461,0,87
462,0,87
463,0,87
464,0,87
465,0,88
466,0,88
467,0,88
468,0,88
469,0,88
470,0,88
471,0,87
472,0,87
473,0,86
474,0,87
475,0,86
476,0,86
477,0,85
478,0,85
479,0,84
480,0,85
481,0,85
482,0,85
483,0,85
484,0,85
485,0,85
486,0,86
487,0,86
488,0,85
489,0,85
490,0,84
491,0,83
492,0,83
493,0,83
494,0,83
495,0,83
496,0,83
497,0,83
498,0,83
499,0,83
500,0,82
501,0,82
502,0,82
503,0,82
504,0,82
505,0,82
506,0,82
507,0,83
508,0,83
509,0,83
510,0,83
511,0,83
512,0,83
513,0,82
514,0,82
515,0,81
516,0,81
517,0,81
518,0,80
519,0,80
520,0,79
521,0,79
522,0,78
523,0,78
524,0,77
525,0,77
526,0,77
527,0,77
528,0,77
529,0,77
530,0,76
531,0,76
532,0,76
533,0,75
534,0,76
535,0,75
536,0,75
537,0,74
538,0,74
539,0,74
540,0,74
541,0,75
542,0,76
543,0,76
544,0,75
545,0,74
546,0,74
547,0,74
548,0,74
549,0,75
550,0,75
551,0,76
552,0,75
553,0,75
554,0,74
555,0,74
556,0,74
557,0,73
558,0,73
559,0,73
560,0,73
561,0,74
562,0,74
563,0,74
564,0,74
565,0,74
566,0,74
567,0,74
568,0,74
569,0,74
570,0,74
571,0,75
572,0,75
573,0,76
574,0,76
575,0,76
576,0,76
577,0,77
578,0,77
579,0,78
580,0,78
581,0,78
582,0,78
583,0,77
584,0,77
585,0,77
586,0,77
587,0,76
588,0,77
589,0,77
590,0,78
591,0,78
592,0,78
593,0,77
594,0,77
595,0,77
596,0,77
597,0,77
598,0,77
599,0,76
600,0,77
601,0,77
602,0,77
603,0,77
604,0,77
605,0,76
606,0,76
607,0,75
608,0,75
609,0,75
610,0,74
611,0,74
612,0,74
613,0,75
614,0,75
615,0,76
616,0,76
617,0,76
618,0,77
619,0,77
620,0,78
621,0,79
622,0,80
623,0,80
624,0,81
625,0,81
626,0,81
627,0,81
628,0,81
629,0,81
630,0,82
631,0,81
632,0,80
633,0,80
634,0,80
635,0,80
636,0,80
637,0,80
638,0,80
639,0,80
640,0,80
641,0,80
642,0,80
643,0,81
644,0,82
645,0,82
646,0,82
647,0,81
648,0,80
649,0,79
650,0,78
651,0,77
652,0,78
653,0,77
654,0,78
655,0,78
656,0,78
657,0,79
658,0,79
659,0,79
660,0,79
661,0,79
662,0,79
663,0,79
664,0,79
665,0,79
666,0,79
667,0,79
668,0,79
669,0,79
670,0,78
671,0,77
672,0,77
673,0,77
674,0,77
675,0,78
676,0,78
677,0,77
678,0,77
679,0,77
680,0,77
681,0,77
682,0,77
683,0,77
684,0,76
685,0,76
686,0,76
687,0,77
688,0,77
689,0,77
690,0,76
691,0,77
692,0,77
693,0,78
694,0,78
695,0,78
696,0,78
697,0,78
698,0,78
699,0,79
700,0,79
701,0,78
702,0,77
703,0,77
704,0,76
705,0,77
706,0,77
707,0,78
708,0,77
709,0,77
710,0,77
711,0,76
712,0,76
713,0,75
714,0,75
715,0,75
716,0,74
717,0,74
718,0,73
719,0,72
720,0,72
721,0,72
722,0,72
723,0,71
724,0,70
725,0,69
726,0,68
727,0,68
728,0,68
729,0,68
730,0,68
731,0,69
732,0,70
733,0,71
734,0,71
735,0,72
736,0,72
737,0,73
738,0,72
739,0,72
740,0,71
741,0,71
742,0,71
743,0,71
744,0,71
745,0,72
746,0,72
747,0,73
748,0,74
749,0,75
750,0,76
751,0,77
752,0,76
753,0,77
754,0,77
755,0,77
756,0,76
757,0,76
758,0,75
759,0,75
760,0,75
761,0,74
762,0,74
763,0,74
764,0,74
765,0,74
766,0,73
767,0,73
768,0,73
769,0,73
770,0,73
771,0,74
772,0,73
773,0,73
774,0,73
775,0,73
776,0,72
777,0,73
778,0,73
779,0,73
780,0,73
781,0,73
782,0,73
783,0,74
784,0,75
785,0,75
786,0,75
787,0,75
788,0,75
789,0,75
790,0,76
791,0,76
792,0,76
793,0,76
794,0,76
795,0,76
796,0,76
797,0,76
798,0,76
799,0,76
800,0,76
801,0,77
802,0,78
803,0,77
804,0,78
805,0,78
806,0,78
807,0,78
808,0,79
809,0,79
810,0,80
811,0,81
812,0,80
813,0,81
814,0,81
815,0,81
816,0,82
817,0,82
818,0,83
819,0,84
820,0,83
821,0,83
822,0,83
823,0,84
824,0,85
825,0,86
826,0,87
827,0,87
828,0,87
829,0,87
830,0,87
831,0,86
832,0,85
833,0,85
834,0,85
835,0,85
836,0,85
837,0,85
838,0,86
839,0,86
840,0,87
841,0,87
842,0,87
843,0,86
844,0,85
845,0,85
846,0,85
847,0,85
848,0,84
849,0,84
850,0,84
851,0,83
852,0,83
853,0,82
854,0,81
855,0,81
856,0,82
857,0,81
858,0,82
859,0,81
860,0,80
861,0,81
862,0,81
863,0,81
864,0,81
865,0,81
866,0,81
867,0,81
868,0,81
869,0,80
870,0,81
871,0,81
872,0,81
873,0,81
874,0,81
875,0,81
876,0,82
877,0,82
878,0,82
879,0,82
880,0,82
881,0,82
882,0,82
883,0,82
884,0,81
885,0,81
886,0,81
887,0,80
888,0,80
889,0,80
890,0,80
891,0,80
892,0,80
893,0,80
894,0,80
895,0,80
896,0,80
897,0,80
898,0,80
899,0,79
900,0,78
901,0,78
902,0,77
903,0,77
904,0,77
905,0,76
906,0,76
907,0,76
908,0,75
909,0,75
910,0,75
911,0,75
912,0,76
913,0,75
914,0,74
915,0,74
916,0,74
917,0,74
918,0,73
919,0,73
920,0,73
921,0,73
922,0,73
923,0,73
924,0,73
925,0,73
926,0,73
927,0,73
928,0,73
929,0,72
930,0,72
931,0,73
932,0,73
933,0,73
934,0,73
935,0,72
936,0,72
937,0,72
938,0,71
939,0,71
940,0,71
941,0,70
942,0,70
943,0,71
944,0,71
945,0,71
946,0,71
947,0,70
948,0,71
949,0,71
950,0,71
951,0,72
952,0,73
953,0,73
954,0,74
955,0,74
956,0,73
957,0,74
958,0,74
959,0,74
960,0,74
961,0,74
962,0,73
963,0,73
964,0,73
965,0,72
966,0,73
967,0,73
968,0,72
969,0,73
970,0,73
971,0,72
972,0,73
973,0,73
974,0,72
975,0,72
976,0,72
977,0,72
978,0,71
979,0,71
980,0,71
981,0,71
982,0,71
983,0,71
984,0,71
985,0,71
986,0,71
987,0,72
988,0,72
989,0,72
990,0,72
991,0,72
992,0,72
993,0,72
994,0,72
995,0,71
996,0,71
997,0,71
998,0,70
999,0,70
1000,0,71
1001,0,70
1002,0,71
1003,0,72
1004,0,72
1005,0,73
1006,0,73
1007,0,73
1008,0,74
1009,0,73
1010,0,73
1011,0,73
1012,0,73
1013,0,74
1014,0,75
1015,0,75
1016,0,75
1017,0,75
1018,0,76
1019,0,75
1020,0,76
1021,0,76
1022,0,76
1023,0,76
1024,0,76
1025,0,75
1026,0,74
1027,0,74
1028,0,74
1029,0,75
1030,0,75
1031,0,75
1032,0,76
1033,0,76
1034,0,76
1035,0,76
1036,0,76
1037,0,75
1038,0,76
1039,0,76
1040,0,76
1041,0,77
1042,0,77
1043,0,77
1044,0,78
1045,0,78
1046,0,77
1047,0,78
1048,0,78
1049,0,78
1050,0,78
1051,0,78
1052,0,78
1053,0,79
1054,0,79
1055,0,79
1056,0,80
1057,0,80
1058,0,80
1059,0,81
1060,0,82
1061,0,81
1062,0,82
1063,0,82
1064,0,82
1065,0,82
1066,0,82
1067,0,81
1068,0,82
1069,0,82
1070,0,82
1071,0,82
1072,0,82
1073,0,81
1074,0,81
1075,0,81
1076,0,80
1077,0,80
1078,0,81
1079,0,80
1080,0,80
1081,0,80
1082,0,80
1083,0,80
1084,0,81
1085,0,80
1086,0,80
1087,0,80
1088,0,79
1089,0,79
1090,0,78
1091,0,78
1092,0,78
1093,0,78
1094,0,78
1095,0,79
1096,0,79
1097,0,79
1098,0,80
1099,0,81
1100,0,80
1101,0,81
1102,0,81
1103,0,81
1104,0,80
1105,0,79
1106,0,79
1107,0,79
1108,0,78
1109,0,79
1110,0,78
1111,0,77
1112,0,76
1113,0,76
1114,0,76
1115,0,75
1116,0,75
1117,0,74
1118,0,74
1119,0,75
1120,0,75
1121,0,75
1122,0,75
1123,0,75
1124,0,75
1125,0,75
1126,0,75
1127,0,75
1128,0,75
1129,0,74
1130,0,74
1131,0,74
1132,0,74
1133,0,74
1134,0,74
1135,0,75
1136,0,75
1137,0,75
1138,0,75
1139,0,75
1140,0,75
1141,0,74
1142,0,74
1143,0,74
1144,0,74
1145,0,74
1146,0,75
1147,0,75
1148,0,74
1149,0,74
1150,0,74
1151,0,74
1152,0,74
1153,0,74
1154,0,74
1155,0,74
1156,0,74
1157,0,74
1158,0,74
1159,0,74
1160,0,73
1161,0,74
1162,0,73
1163,0,73
1164,0,73
1165,0,74
1166,0,74
1167,0,75
1168,0,75
1169,0,75
1170,0,75
1171,0,76
1172,0,76
1173,0,77
1174,0,77
1175,0,77
1176,0,78
1177,0,78
1178,0,78
1179,0,79
1180,0,78
1181,0,78
1182,0,78
1183,0,78
1184,0,78
1185,0,79
1186,0,79
1187,0,79
1188,0,80
1189,0,80
1190,0,81
1191,0,81
1192,0,81
1193,0,81
1194,0,81
1195,0,81
1196,0,81
1197,0,81
1198,0,81
1199,0,81
1200,0,82
1201,0,81
1202,0,81
1203,0,81
1204,0,82
1205,0,83
1206,0,83
1207,0,83
1208,0,84
1209,0,84
1210,0,84
1211,0,85
1212,0,86
1213,0,86
1214,0,86
1215,0,87
1216,0,86
1217,0,87
1218,0,87
1219,0,87
1220,0,87
1221,0,87
1222,0,87
1223,0,87
1224,0,87
1225,0,88
1226,0,89
1227,0,89
1228,0,88
1229,0,89
1230,0,89
1231,0,89
1232,0,89
1233,0,89
1234,0,89
1235,0,89
1236,0,89
1237,0,89
1238,0,89
1239,0,89
1240,0,88
1241,0,89
1242,0,89
1243,0,88
1244,0,88
1245,0,88
1246,0,88
1247,0,88
1248,0,89
1249,0,89
1250,0,89
1251,0,89
1252,0,88
