FileName: D:\sapelo_bootscan_align_all_nt_left.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","OQ818321","OQ818321"
"Ref","OQ818320","OQ818320"
"Query","OQ818329"
"Ref","OQ818343","OQ818343"
"Ref","NC_033820.1","NC_033820.1"
"Ref","Pteropodidae_bat_sapelovirus","Pteropodidae_bat_sapelovirus"
"Ref","NC_003987.1","NC_003987.1"


"CenterPos","OQ818321","OQ818320","OQ818343","NC_033820.1","Pteropodidae_bat_sapelovirus","NC_003987.1"
"100","10","0","0","0","78","7"
"120","29","0","0","0","44","12"
"140","33","0","0","0","54","2"
"160","53","0","0","0","25","6"
"180","49","0","0","0","23","8"
"200","32","0","0","0","58","0"
"220","11","0","0","0","79","1"
"240","8","0","0","0","80","4"
"260","8","0","0","0","81","1"
"280","1","0","0","0","85","2"
"300","3","0","0","0","85","3"
"320","1","0","0","0","92","1"
"340","7","0","0","0","86","2"
"360","7","0","0","0","90","1"
"380","12","0","0","0","79","0"
"400","29","0","0","0","62","2"
"420","44","0","0","0","17","9"
"440","58","0","0","0","13","13"
"460","52","0","0","0","8","4"
"480","40","0","0","0","38","5"
"500","31","0","0","0","38","18"
"520","27","0","0","0","28","33"
"540","13","0","0","0","19","53"
"560","13","0","0","0","15","27"
"580","1","0","0","0","41","30"
"600","0","0","0","0","80","14"
"620","0","0","0","0","76","10"
"640","0","0","0","0","90","8"
"660","0","0","0","0","99","0"
"680","0","0","0","0","100","0"
"700","0","0","0","0","99","1"
"720","0","0","0","0","99","0"
"740","0","0","0","0","100","0"
"760","0","0","0","0","100","0"
"780","0","0","0","0","100","0"
"800","0","0","0","0","97","3"
"820","1","0","0","0","99","0"
"840","0","0","0","0","92","6"
"860","0","0","0","0","76","16"
"880","0","0","0","0","67","27"
"900","0","0","0","0","52","42"
"920","0","0","0","0","43","51"
"940","0","0","0","0","46","44"
"960","0","0","0","0","63","26"
"980","0","0","0","0","74","7"
"1000","0","0","0","0","77","5"
"1020","0","0","0","0","96","1"
"1040","0","0","0","0","100","0"
"1060","0","0","0","0","99","0"
