#node	date	numeric date
NODE_0000000	0593-09-07	593.682301
NODE_0000098	0674-04-24	674.311819
NODE_0000099	1394-12-21	1394.969892
NC_006271.1	2004-01-19	2004.050546
NODE_0000100	1458-06-28	1458.490164
NC_005281.1	2007-07-03	2007.502740
NODE_0000101	1532-01-18	1532.048154
NODE_0000102	1692-04-03	1692.256696
NC_038301.1	2012-11-29	2012.911202
NC_003785.2	1997-12-19	1997.965753
NODE_0000103	1597-02-18	1597.133944
NC_015414.1	2009-02-15	2009.124658
NC_015492.1	2003-08-19	2003.631507
NODE_0000104	1034-07-25	1034.562881
NODE_0000105	1521-04-11	1521.274725
NC_026921.1	2007-01-12	2007.031507
NODE_0000106	1591-12-22	1591.973832
NC_021178.1	2007-11-10	2007.858904
NODE_0000107	1711-02-21	1711.142424
NC_036585.1	2014-11-14	2014.869863
NC_016405.1	2011-01-10	2011.026027
NODE_0000108	1103-09-07	1103.683023
NODE_0000109	1152-03-20	1152.216677
NODE_0000110	1683-10-22	1683.805997
NC_025474.1	2007-01-12	2007.031507
NC_035115.1	2014-11-15	2014.872603
NODE_0000111	1628-03-17	1628.209408
NC_027917.1	2002-02-15	2002.124658
NODE_0000112	1750-09-12	1750.697986
NC_025890.1	2008-11-12	2008.864754
NC_035455.1	2005-02-17	2005.130137
NODE_0000113	1142-11-15	1142.873214
NODE_0000114	1198-06-26	1198.482834
NC_033824.1	1986-07-01	1986.497260
NODE_0000115	1228-06-19	1228.467124
NODE_0000116	1928-10-25	1928.816498
NC_031688.1	2016-06-25	2016.482240
NC_031687.1	2016-06-17	2016.460383
NODE_0000117	1281-12-28	1281.991390
NODE_0000118	1691-04-19	1691.297003
NC_004365.1	2008-08-02	2008.586066
NODE_0000119	1934-08-07	1934.597776
NC_034973.1	2015-02-15	2015.124658
NC_035184.1	2006-10-17	2006.793151
NODE_0000120	1591-10-08	1591.768307
NC_003924.1	1999-12-20	1999.968493
NODE_0000121	1666-05-31	1666.412870
NC_006559.1	2004-05-24	2004.394809
NODE_0000122	1782-10-07	1782.766833
NC_002548.1	1999-04-11	1999.275342
NODE_0000123	1850-02-04	1850.095692
NC_023021.1	2008-05-13	2008.364754
NODE_0000124	1882-09-16	1882.707793
NC_009025.1	2009-01-04	2009.009589
NC_004807.1	2003-04-13	2003.280822
NODE_0000125	1181-09-05	1181.678250
NODE_0000126	1213-12-15	1213.955097
NODE_0000127	1280-02-14	1280.122174
NC_009758.1	2006-12-26	2006.984932
NC_001834.1	1997-07-16	1997.538356
NODE_0000128	1243-02-28	1243.159379
NODE_0000129	1296-02-19	1296.136391
NC_003783.1	1999-08-17	1999.626027
NC_003782.1	1998-08-20	1998.634247
NODE_0000130	1275-10-17	1275.794481
NODE_0000131	1316-10-26	1316.817586
NC_003779.1	1997-08-12	1997.612329
NODE_0000132	1349-02-01	1349.086126
NC_025219.1	2007-01-13	2007.034247
NC_003784.1	1999-09-06	1999.680822
NODE_0000133	1326-01-01	1326.002552
NC_029052.1	2007-01-15	2007.039726
NODE_0000134	1476-03-30	1476.243772
NODE_0000135	1533-02-15	1533.125202
NC_040798.1	2007-02-16	2007.127397
NODE_0000136	1863-01-10	1863.026612
NC_040832.1	2015-12-17	2015.960274
NODE_0000137	1889-05-23	1889.389215
NC_040574.1	2007-01-15	2007.039726
NC_040716.1	2004-01-17	2004.045082
NODE_0000138	1565-09-14	1565.702881
NC_033152.1	2007-01-14	2007.036986
NODE_0000139	1665-11-18	1665.881053
NODE_0000140	1701-07-16	1701.537722
NC_028364.1	2007-01-14	2007.036986
NODE_0000141	1781-08-16	1781.623006
NC_001489.1	1987-08-05	1987.593151
NODE_0000142	1830-10-31	1830.831550
NC_038315.1	2007-01-10	2007.026027
NC_028363.1	2007-01-12	2007.031507
NODE_0000143	1691-07-11	1691.525634
NODE_0000144	1783-02-27	1783.156584
