molecule,start,end,mid,gene,type
Eidolon,477,1407,942,L,full
Eidolon,1408,1657,1532.5,VP4,full
Eidolon,1658,2737,2197.5,VP2,full
Eidolon,2738,3627,3182.5,VP3,full
Eidolon,3628,4654,4141,VP1,full
Eidolon,4655,5513,5084,2A,full
Eidolon,5514,5933,5723.5,2B,full
Eidolon,5934,7231,6582.5,2C,full
Eidolon,7232,7646,7300,3A,full
Eidolon,7647,7734,7690.5,3B,full
Eidolon,7735,8521,8128,3C,full
Eidolon,8522,10383,9300,3D,full
Eidolon,1194,1235,1214.5,L,p1
Eidolon,1236,1396,1316,VP4,p1
Eidolon,1397,2340,1868.5,VP2,p1
Eidolon,2341,2732,2536.5,VP3,p1
Pteropus,1380,1601,1490.5,L,all
Pteropus,1602,2636,2119,VP0,all
Pteropus,2637,3494,3065.5,VP3,all
Pteropus,3495,4399,3947,VP1,all
Pteropus,4400,4514,4457,2A,all
Pteropus,4515,5057,4786,2B,all
Pteropus,5058,5170,5114,3C,all
Rousettus,816,1020,918,L,full
Rousettus,1021,1235,1200,VP4,full
Rousettus,1236,2068,1700,VP2,full
Rousettus,2069,2822,2445.5,VP3,full
Rousettus,2823,3863,3343,VP1,full
Rousettus,3864,4673,4268.5,2A,full
Rousettus,4674,5037,4855.5,2B,full
Rousettus,5038,6105,5571.5,2C,full
Rousettus,6106,6480,6100,3A,full
Rousettus,6481,6558,6519.5,3B,full
Rousettus,6559,7235,6897,3C,full
Rousettus,7236,8702,7800,3D,full
Rousettus,5366,6133,5749.5,2C,all
Rousettus,6134,6498,6316,3A,all
Eidolon,1,476,400,5'UTR,full
Eidolon,10387,10583,10200,3'UTR,full
Pteropus,1,1379,690,3'UTR,all
Rousettus,1,815,390,5'UTR,full
Rousettus,8706,8845,8500,3'UTR,full
