pointer,PP766469 - OQ818325,PP766469 - Shanbavirus_A,OQ818325 - Shanbavirus_A
20,99,1,0
40,100,0,0
60,99,0,1
80,96,4,0
100,99,1,0
120,96,3,1
140,95,2,3
160,100,0,0
180,100,0,0
200,98,1,0
220,97,3,0
240,88,11,1
260,91,8,1
280,100,0,0
300,100,0,0
320,99,1,0
340,100,0,0
360,100,0,0
380,100,0,0
400,100,0,0
420,100,0,0
440,100,0,0
460,100,0,0
480,97,2,1
500,99,0,1
520,97,1,2
540,91,6,3
560,55,28,15
580,61,23,13
600,43,25,25
620,72,23,3
640,93,7,0
660,93,7,0
680,84,14,2
700,61,23,11
720,63,32,3
740,82,16,2
760,91,8,1
780,75,24,0
800,82,16,2
820,87,8,4
840,69,8,23
860,50,7,41
880,40,25,34
900,70,4,25
920,90,2,7
940,75,4,20
960,85,11,4
980,70,11,18
1000,64,15,19
1020,66,17,13
1040,56,19,25
1060,62,10,26
1080,82,4,14
1100,86,7,7
1120,62,28,10
1140,92,7,1
1160,97,0,1
1180,98,0,2
1200,98,1,1
1220,97,1,2
1240,99,1,0
1260,97,1,1
1280,95,3,1
1300,98,2,0
1320,91,6,3
1340,97,1,2
1360,87,2,11
1380,66,14,17
1400,85,9,6
1420,92,4,4
1440,99,0,1
1460,99,0,1
1480,99,0,1
1500,99,0,1
1520,100,0,0
1540,99,0,1
1560,99,0,1
1580,100,0,0
1600,98,1,1
1620,96,2,2
1640,93,5,0
1660,82,14,2
1680,74,19,6
1700,91,1,8
1720,78,4,16
1740,58,17,23
1760,63,10,24
1780,40,20,35
1800,36,8,53
1820,50,12,31
1840,13,41,34
1860,36,23,35
1880,25,32,36
1900,19,45,29
1920,15,59,18
1940,12,41,38
1960,14,36,40
1980,10,57,27
2000,25,47,23
2020,11,53,30
2040,3,62,27
2060,8,71,12
2080,9,86,2
2100,12,83,4
2120,19,73,4
2140,18,81,1
2160,3,97,0
2180,4,95,0
2200,2,96,1
2220,20,78,0
2240,24,65,8
2260,25,60,12
2280,6,51,38
2300,2,24,68
2320,0,3,96
2340,0,13,78
2360,0,2,92
2380,0,8,89
2400,0,3,93
2420,0,1,97
2440,0,5,93
2460,1,3,91
2480,4,4,90
2500,35,25,36
2520,58,18,20
2540,91,6,2
