Position,Coverage
1,1.00
2,1.00
3,3.00
4,3.00
5,3.00
6,3.00
7,3.00
8,3.00
9,3.00
10,3.00
11,3.00
12,3.00
13,3.00
14,3.00
15,3.00
16,3.00
17,3.00
18,3.00
19,3.00
20,3.00
21,3.00
22,5.00
23,5.00
24,7.00
25,7.00
26,7.00
27,7.00
28,7.00
29,7.00
30,7.00
31,7.00
32,7.00
33,7.00
34,7.00
35,7.00
36,7.00
37,7.00
38,7.00
39,7.00
40,7.00
41,7.00
42,7.00
43,7.00
44,7.00
45,7.00
46,7.00
47,7.00
48,7.00
49,7.00
50,7.00
51,7.00
52,7.00
53,7.00
54,7.00
55,7.00
56,7.00
57,7.00
58,7.00
59,7.00
60,7.00
61,7.00
62,7.00
63,7.00
64,7.00
65,7.00
66,7.00
67,7.00
68,7.00
69,7.00
70,7.00
71,7.00
72,7.00
73,7.00
74,7.00
75,7.00
76,7.00
77,7.00
78,7.00
79,7.00
80,7.00
81,7.00
82,7.00
83,7.00
84,7.00
85,7.00
86,8.00
87,9.00
88,9.00
89,9.00
90,9.00
91,9.00
92,9.00
93,9.00
94,9.00
95,9.00
96,9.00
97,9.00
98,9.00
99,9.00
100,9.00
101,9.00
102,9.00
103,9.00
104,9.00
105,9.00
106,9.00
107,9.00
108,9.00
109,9.00
110,9.00
111,9.00
112,9.00
113,9.00
114,9.00
115,9.00
116,9.00
117,9.00
118,9.00
119,9.00
120,9.00
121,9.00
122,9.00
123,9.00
124,9.00
125,9.00
126,9.00
127,9.00
128,9.00
129,9.00
130,11.00
131,11.00
132,11.00
133,11.00
134,11.00
135,11.00
136,11.00
137,11.00
138,11.00
139,11.00
140,11.00
141,11.00
142,11.00
143,11.00
144,11.00
145,11.00
146,11.00
147,10.00
148,10.00
149,8.00
150,8.00
151,8.00
152,8.00
153,8.00
154,8.00
155,8.00
156,8.00
157,8.00
158,8.00
159,8.00
160,8.00
161,8.00
162,8.00
163,8.00
164,8.00
165,8.00
166,8.00
167,8.00
168,6.00
169,6.00
170,4.00
171,4.00
172,4.00
173,4.00
174,4.00
175,4.00
176,4.00
177,4.00
178,4.00
179,4.00
180,4.00
181,4.00
182,4.00
183,4.00
184,4.00
185,4.00
186,4.00
187,4.00
188,4.00
189,4.00
190,4.00
191,4.00
192,5.00
193,5.00
194,5.00
195,5.00
196,5.00
197,5.00
198,5.00
199,6.00
200,6.00
201,6.00
202,6.00
203,6.00
204,6.00
205,6.00
206,6.00
207,7.00
208,7.00
209,7.00
210,7.00
211,7.00
212,7.00
213,7.00
214,7.00
215,7.00
216,7.00
217,7.00
218,7.00
219,7.00
220,8.00
221,8.00
222,8.00
223,8.00
224,8.00
225,8.00
226,8.00
227,8.00
228,8.00
229,8.00
230,8.00
231,8.00
232,8.00
233,6.00
234,6.00
235,6.00
236,6.00
237,6.00
238,6.00
239,6.00
240,6.00
241,6.00
242,6.00
243,6.00
244,6.00
245,6.00
246,6.00
247,6.00
248,6.00
249,6.00
250,6.00
251,6.00
252,6.00
253,6.00
254,6.00
255,6.00
256,6.00
257,6.00
258,6.00
259,6.00
260,7.00
261,7.00
262,7.00
263,7.00
264,7.00
265,7.00
266,7.00
267,7.00
268,7.00
269,7.00
270,7.00
271,7.00
272,7.00
273,7.00
274,7.00
275,7.00
276,5.00
277,6.00
278,6.00
279,6.00
280,6.00
281,6.00
282,6.00
283,6.00
284,6.00
285,6.00
286,6.00
287,6.00
288,6.00
289,6.00
290,6.00
291,6.00
292,6.00
293,6.00
294,6.00
295,6.00
296,8.00
297,8.00
298,8.00
299,8.00
300,8.00
301,8.00
302,8.00
303,8.00
304,8.00
305,8.00
306,8.00
307,8.00
308,8.00
309,8.00
310,8.00
311,8.00
312,8.00
313,8.00
314,8.00
315,8.00
316,8.00
317,8.00
318,8.00
319,8.00
320,8.00
321,8.00
322,8.00
323,8.00
324,8.00
325,8.00
326,8.00
327,9.00
328,9.00
329,9.00
330,9.00
331,9.00
332,9.00
333,9.00
334,9.00
335,9.00
336,9.00
337,9.00
338,9.00
339,8.00
340,9.00
341,9.00
342,9.00
343,9.00
344,9.00
345,8.00
346,9.00
347,9.00
348,10.00
349,10.00
350,10.00
351,10.00
352,10.00
353,9.00
354,9.00
355,9.00
356,9.00
357,9.00
358,9.00
359,9.00
360,9.00
361,9.00
362,9.00
363,9.00
364,9.00
365,9.00
366,8.00
367,8.00
368,8.00
369,8.00
370,8.00
371,8.00
372,8.00
373,8.00
374,8.00
375,8.00
376,8.00
377,10.00
378,11.00
379,11.00
380,11.00
381,11.00
382,11.00
383,11.00
384,11.00
385,11.00
386,11.00
387,13.00
388,13.00
389,13.00
390,13.00
391,14.00
392,14.00
393,14.00
394,14.00
395,14.00
396,14.00
397,16.00
398,16.00
399,16.00
400,16.00
401,16.00
402,16.00
403,16.00
404,16.00
405,16.00
406,15.00
407,15.00
408,15.00
409,15.00
410,15.00
411,15.00
412,15.00
413,15.00
414,15.00
415,15.00
416,15.00
417,15.00
418,15.00
419,15.00
420,15.00
421,15.00
422,15.00
423,14.00
424,14.00
425,14.00
426,14.00
427,14.00
428,14.00
429,14.00
430,14.00
431,14.00
432,15.00
433,15.00
434,15.00
435,15.00
436,15.00
437,15.00
438,15.00
439,15.00
440,15.00
441,15.00
442,13.00
443,13.00
444,15.00
445,15.00
446,15.00
447,15.00
448,15.00
449,15.00
450,15.00
451,15.00
452,15.00
453,15.00
454,15.00
455,15.00
456,15.00
457,15.00
458,15.00
459,15.00
460,15.00
461,15.00
462,15.00
463,15.00
464,15.00
465,15.00
466,15.00
467,15.00
468,15.00
469,15.00
470,15.00
471,15.00
472,15.00
473,14.00
474,14.00
475,14.00
476,14.00
477,14.00
478,14.00
479,14.00
480,14.00
481,14.00
482,14.00
483,14.00
484,14.00
485,14.00
486,13.00
487,13.00
488,13.00
489,13.00
490,13.00
491,13.00
492,12.00
493,12.00
494,11.00
495,11.00
496,11.00
497,11.00
498,11.00
499,11.00
500,11.00
501,11.00
502,11.00
503,12.00
504,12.00
505,12.00
506,12.00
507,12.00
508,12.00
509,12.00
510,12.00
511,12.00
512,12.00
513,12.00
514,12.00
515,12.00
516,12.00
517,12.00
518,12.00
519,12.00
520,12.00
521,12.00
522,12.00
523,11.00
524,9.00
525,9.00
526,9.00
527,9.00
528,9.00
529,10.00
530,10.00
531,10.00
532,10.00
533,8.00
534,8.00
535,8.00
536,8.00
537,8.00
538,8.00
539,7.00
540,7.00
541,7.00
542,7.00
543,5.00
544,5.00
545,5.00
546,5.00
547,5.00
548,5.00
549,5.00
550,5.00
551,5.00
552,5.00
553,5.00
554,5.00
555,5.00
556,5.00
557,5.00
558,5.00
559,5.00
560,5.00
561,5.00
562,5.00
563,5.00
564,5.00
565,5.00
566,5.00
567,5.00
568,5.00
569,5.00
570,5.00
571,5.00
572,5.00
573,5.00
574,5.00
575,5.00
576,5.00
577,5.00
578,4.00
579,4.00
580,4.00
581,4.00
582,4.00
583,4.00
584,5.00
585,5.00
586,6.00
587,6.00
588,6.00
589,6.00
590,4.00
591,4.00
592,4.00
593,4.00
594,5.00
595,5.00
596,5.00
597,5.00
598,5.00
599,5.00
600,5.00
601,5.00
602,5.00
603,5.00
604,5.00
605,5.00
606,5.00
607,5.00
608,5.00
609,5.00
610,5.00
611,5.00
612,5.00
613,5.00
614,5.00
615,5.00
616,5.00
617,5.00
618,5.00
619,5.00
620,5.00
621,5.00
622,5.00
623,5.00
624,5.00
625,6.00
626,6.00
627,6.00
628,6.00
629,6.00
630,6.00
631,6.00
632,6.00
633,6.00
634,6.00
635,6.00
636,6.00
637,6.00
638,6.00
639,6.00
640,6.00
641,6.00
642,6.00
643,6.00
644,6.00
645,6.00
646,6.00
647,6.00
648,6.00
649,5.00
650,5.00
651,5.00
652,5.00
653,5.00
654,5.00
655,5.00
656,5.00
657,5.00
658,5.00
659,5.00
660,5.00
661,5.00
662,6.00
663,6.00
664,6.00
665,6.00
666,6.00
667,6.00
668,6.00
669,6.00
670,7.00
671,7.00
672,7.00
673,7.00
674,7.00
675,7.00
676,7.00
677,7.00
678,7.00
679,7.00
680,7.00
681,7.00
682,7.00
683,9.00
684,9.00
685,9.00
686,9.00
687,9.00
688,9.00
689,9.00
690,9.00
691,9.00
692,9.00
693,9.00
694,9.00
695,9.00
696,10.00
697,10.00
698,10.00
699,10.00
700,11.00
701,11.00
702,11.00
703,11.00
704,11.00
705,11.00
706,11.00
707,11.00
708,11.00
709,11.00
710,12.00
711,12.00
712,12.00
713,13.00
714,13.00
715,13.00
716,13.00
717,13.00
718,13.00
719,13.00
720,13.00
721,13.00
722,13.00
723,13.00
724,13.00
725,13.00
726,13.00
727,13.00
728,13.00
729,13.00
730,12.00
731,12.00
732,11.00
733,11.00
734,11.00
735,11.00
736,11.00
737,11.00
738,11.00
739,11.00
740,10.00
741,10.00
742,10.00
743,10.00
744,10.00
745,10.00
746,10.00
747,10.00
748,10.00
749,10.00
750,10.00
751,10.00
752,10.00
753,10.00
754,10.00
755,10.00
756,10.00
757,10.00
758,10.00
759,10.00
760,10.00
761,10.00
762,10.00
763,10.00
764,10.00
765,10.00
766,11.00
767,11.00
768,11.00
769,11.00
770,11.00
771,10.00
772,10.00
773,10.00
774,10.00
775,10.00
776,10.00
777,11.00
778,11.00
779,11.00
780,11.00
781,11.00
782,11.00
783,11.00
784,11.00
785,11.00
786,11.00
787,11.00
788,11.00
789,11.00
790,11.00
791,11.00
792,11.00
793,11.00
794,11.00
795,11.00
796,11.00
797,11.00
798,11.00
799,11.00
800,11.00
801,12.00
802,12.00
803,12.00
804,12.00
805,12.00
806,12.00
807,12.00
808,11.00
809,11.00
810,11.00
811,11.00
812,11.00
813,11.00
814,12.00
815,12.00
816,11.00
817,11.00
818,11.00
819,11.00
820,11.00
821,10.00
822,10.00
823,10.00
824,10.00
825,11.00
826,11.00
827,11.00
828,11.00
829,9.00
830,9.00
831,9.00
832,9.00
833,9.00
834,9.00
835,10.00
836,12.00
837,12.00
838,12.00
839,12.00
840,12.00
841,12.00
842,11.00
843,11.00
844,11.00
845,11.00
846,10.00
847,10.00
848,10.00
849,10.00
850,10.00
851,10.00
852,10.00
853,10.00
854,10.00
855,10.00
856,9.00
857,9.00
858,9.00
859,8.00
860,8.00
861,8.00
862,8.00
863,8.00
864,9.00
865,9.00
866,9.00
867,9.00
868,9.00
869,10.00
870,10.00
871,10.00
872,10.00
873,10.00
874,10.00
875,10.00
876,10.00
877,10.00
878,10.00
879,10.00
880,10.00
881,10.00
882,10.00
883,10.00
884,10.00
885,10.00
886,10.00
887,10.00
888,10.00
889,10.00
890,10.00
891,10.00
892,10.00
893,10.00
894,10.00
895,10.00
896,10.00
897,10.00
898,10.00
899,10.00
900,10.00
901,10.00
902,10.00
903,10.00
904,10.00
905,10.00
906,10.00
907,10.00
908,10.00
909,10.00
910,10.00
911,10.00
912,9.00
913,9.00
914,9.00
915,9.00
916,9.00
917,9.00
918,9.00
919,9.00
920,9.00
921,9.00
922,9.00
923,8.00
924,8.00
925,8.00
926,8.00
927,8.00
928,8.00
929,8.00
930,8.00
931,8.00
932,8.00
933,8.00
934,8.00
935,8.00
936,8.00
937,8.00
938,8.00
939,8.00
940,8.00
941,8.00
942,8.00
943,8.00
944,8.00
945,8.00
946,8.00
947,8.00
948,8.00
949,8.00
950,8.00
951,8.00
952,8.00
953,9.00
954,9.00
955,9.00
956,9.00
957,9.00
958,9.00
959,9.00
960,8.00
961,8.00
962,8.00
963,8.00
964,8.00
965,8.00
966,8.00
967,8.00
968,8.00
969,8.00
970,8.00
971,7.00
972,7.00
973,7.00
974,7.00
975,7.00
976,7.00
977,7.00
978,9.00
979,9.00
980,9.00
981,8.00
982,7.00
983,7.00
984,7.00
985,7.00
986,7.00
987,7.00
988,7.00
989,7.00
990,7.00
991,7.00
992,7.00
993,7.00
994,7.00
995,7.00
996,7.00
997,7.00
998,7.00
999,7.00
1000,7.00
1001,7.00
1002,7.00
1003,7.00
1004,7.00
1005,7.00
1006,7.00
1007,7.00
1008,7.00
1009,7.00
1010,6.00
1011,6.00
1012,6.00
1013,6.00
1014,6.00
1015,5.00
1016,5.00
1017,5.00
1018,5.00
1019,5.00
1020,6.00
1021,6.00
1022,6.00
1023,6.00
1024,6.00
1025,6.00
1026,6.00
1027,6.00
1028,6.00
1029,6.00
1030,6.00
1031,6.00
1032,6.00
1033,6.00
1034,6.00
1035,6.00
1036,6.00
1037,6.00
1038,6.00
1039,6.00
1040,7.00
1041,7.00
1042,7.00
1043,7.00
1044,7.00
1045,7.00
1046,8.00
1047,8.00
1048,8.00
1049,8.00
1050,8.00
1051,8.00
1052,8.00
1053,8.00
1054,9.00
1055,9.00
1056,9.00
1057,9.00
1058,9.00
1059,9.00
1060,9.00
1061,9.00
1062,9.00
1063,9.00
1064,10.00
1065,10.00
1066,10.00
1067,10.00
1068,10.00
1069,10.00
1070,10.00
1071,10.00
1072,10.00
1073,10.00
1074,11.00
1075,11.00
1076,11.00
1077,11.00
1078,11.00
1079,11.00
1080,11.00
1081,11.00
1082,11.00
1083,11.00
1084,11.00
1085,11.00
1086,11.00
1087,11.00
1088,11.00
1089,11.00
1090,11.00
1091,11.00
1092,11.00
1093,10.00
1094,10.00
1095,10.00
1096,10.00
1097,10.00
1098,12.00
1099,11.00
1100,11.00
1101,11.00
1102,11.00
1103,11.00
1104,11.00
1105,11.00
1106,11.00
1107,11.00
1108,11.00
1109,11.00
1110,11.00
1111,11.00
1112,11.00
1113,11.00
1114,11.00
1115,11.00
1116,11.00
1117,11.00
1118,11.00
1119,11.00
1120,11.00
1121,11.00
1122,11.00
1123,11.00
1124,9.00
1125,9.00
1126,9.00
1127,9.00
1128,8.00
1129,8.00
1130,8.00
1131,8.00
1132,8.00
1133,8.00
