FileName: D:\hepato_bootscan_align_nt.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Query","PP766455"
"Ref","PP766457","PP766457"
"Ref","Hipposideros_bat_hepatovirus","Hipposideros_bat_hepatovirus"
"Ref","NC_028366.1","NC_028366.1"
"Ref","NC_028981.1","NC_028981.1"
"Ref","NC_038313.1","NC_038313.1"


"CenterPos","PP766457","Hipposideros_bat_hepatovirus","NC_028366.1","NC_028981.1","NC_038313.1"
"100","26","0","17","0","1"
"120","58","0","10","0","1"
"140","71","0","15","0","4"
"160","73","0","15","0","2"
"180","63","0","20","0","4"
"200","76","0","3","0","0"
"220","66","0","1","0","2"
"240","68","0","5","0","2"
"260","89","0","0","0","2"
"280","99","0","0","0","0"
"300","98","0","0","0","2"
"320","97","0","0","0","2"
"340","89","0","0","0","10"
"360","96","0","0","0","2"
"380","97","0","0","0","1"
"400","99","0","0","0","0"
"420","92","0","0","0","5"
"440","95","0","0","0","2"
"460","99","0","0","0","1"
"480","100","0","0","0","0"
"500","100","0","0","0","0"
"520","99","0","0","0","0"
"540","100","0","0","0","0"
"560","100","0","0","0","0"
"580","100","0","0","0","0"
"600","98","0","0","1","0"
"620","99","0","0","1","0"
"640","100","0","0","0","0"
"660","100","0","0","0","0"
"680","100","0","0","0","0"
"700","100","0","0","0","0"
"720","100","0","0","0","0"
"740","100","0","0","0","0"
"760","100","0","0","0","0"
"780","100","0","0","0","0"
"800","100","0","0","0","0"
"820","100","0","0","0","0"
"840","100","0","0","0","0"
"860","100","0","0","0","0"
"880","100","0","0","0","0"
"900","100","0","0","0","0"
"920","100","0","0","0","0"
"940","100","0","0","0","0"
"960","100","0","0","0","0"
"980","100","0","0","0","0"
"1000","100","0","0","0","0"
"1020","100","0","0","0","0"
"1040","100","0","0","0","0"
"1060","100","0","0","0","0"
"1080","100","0","0","0","0"
"1100","100","0","0","0","0"
"1120","100","0","0","0","0"
"1140","100","0","0","0","0"
"1160","100","0","0","0","0"
"1180","100","0","0","0","0"
"1200","100","0","0","0","0"
"1220","100","0","0","0","0"
"1240","100","0","0","0","0"
"1260","100","0","0","0","0"
"1280","100","0","0","0","0"
"1300","100","0","0","0","0"
"1320","100","0","0","0","0"
"1340","100","0","0","0","0"
"1360","100","0","0","0","0"
"1380","100","0","0","0","0"
"1400","100","0","0","0","0"
"1420","100","0","0","0","0"
"1440","100","0","0","0","0"
"1460","100","0","0","0","0"
"1480","100","0","0","0","0"
"1500","100","0","0","0","0"
"1520","100","0","0","0","0"
"1540","100","0","0","0","0"
"1560","100","0","0","0","0"
"1580","100","0","0","0","0"
"1600","100","0","0","0","0"
"1620","100","0","0","0","0"
"1640","100","0","0","0","0"
"1660","100","0","0","0","0"
"1680","100","0","0","0","0"
"1700","100","0","0","0","0"
"1720","100","0","0","0","0"
"1740","100","0","0","0","0"
"1760","100","0","0","0","0"
"1780","100","0","0","0","0"
"1800","100","0","0","0","0"
"1820","100","0","0","0","0"
"1840","100","0","0","0","0"
"1860","100","0","0","0","0"
"1880","100","0","0","0","0"
"1900","100","0","0","0","0"
"1920","100","0","0","0","0"
"1940","100","0","0","0","0"
"1960","100","0","0","0","0"
"1980","100","0","0","0","0"
"2000","100","0","0","0","0"
"2020","100","0","0","0","0"
"2040","100","0","0","0","0"
"2060","100","0","0","0","0"
"2080","100","0","0","0","0"
"2100","100","0","0","0","0"
"2120","100","0","0","0","0"
"2140","100","0","0","0","0"
"2160","100","0","0","0","0"
"2180","100","0","0","0","0"
"2200","100","0","0","0","0"
"2220","100","0","0","0","0"
"2240","100","0","0","0","0"
"2260","100","0","0","0","0"
"2280","100","0","0","0","0"
"2300","100","0","0","0","0"
"2320","100","0","0","0","0"
"2340","100","0","0","0","0"
"2360","100","0","0","0","0"
"2380","100","0","0","0","0"
"2400","100","0","0","0","0"
"2420","100","0","0","0","0"
"2440","100","0","0","0","0"
"2460","100","0","0","0","0"
"2480","100","0","0","0","0"
"2500","100","0","0","0","0"
"2520","100","0","0","0","0"
"2540","100","0","0","0","0"
"2560","100","0","0","0","0"
"2580","100","0","0","0","0"
"2600","100","0","0","0","0"
"2620","100","0","0","0","0"
"2640","100","0","0","0","0"
"2660","100","0","0","0","0"
"2680","100","0","0","0","0"
"2700","100","0","0","0","0"
"2720","100","0","0","0","0"
"2740","100","0","0","0","0"
"2760","100","0","0","0","0"
"2780","100","0","0","0","0"
"2800","100","0","0","0","0"
"2820","100","0","0","0","0"
