FileName: D:\sapelo_bootscan_align_all_nt_mid1.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","OQ818321","OQ818321"
"Ref","OQ818320","OQ818320"
"Query","OQ818329"
"Ref","PP766462","PP766462"
"Ref","PP766466","PP766466"
"Ref","NC_003987.1","NC_003987.1"
"Ref","NC_033820.1","NC_033820.1"
"Ref","Pteropodidae_bat_sapelovirus","Pteropodidae_bat_sapelovirus"


"CenterPos","OQ818321","OQ818320","PP766462","PP766466","NC_003987.1","NC_033820.1","Pteropodidae_bat_sapelovirus"
"100","0","0","0","0","1","0","74"
"120","0","0","0","0","0","0","67"
"140","0","0","0","0","1","0","79"
"160","0","0","0","0","0","0","97"
"180","0","0","0","0","0","0","93"
"200","0","0","0","0","5","0","86"
"220","0","0","0","0","3","0","90"
"240","0","0","0","0","6","0","77"
"260","0","0","0","0","3","0","84"
"280","0","0","0","0","14","0","68"
"300","0","0","0","0","13","0","57"
"320","0","0","0","0","12","0","77"
"340","0","0","0","0","18","0","81"
"360","0","0","0","0","15","0","83"
"380","0","0","0","0","5","0","92"
"400","0","0","0","0","2","0","91"
"420","0","0","0","0","0","0","87"
"440","0","0","0","0","3","0","80"
"460","0","0","0","0","0","0","82"
"480","0","0","0","0","2","0","95"
"500","0","0","0","0","0","0","96"
"520","0","0","0","0","2","0","88"
"540","0","0","0","0","0","0","88"
"560","0","0","0","0","1","0","74"
"580","0","0","0","0","0","0","82"
"600","0","0","0","0","4","0","85"
"620","0","0","0","0","8","0","79"
"640","0","0","0","0","4","0","83"
"660","0","0","0","0","3","0","85"
"680","0","0","0","0","14","0","58"
"700","0","0","0","0","4","0","79"
"720","0","0","0","0","3","0","84"
"740","0","0","0","0","8","0","64"
"760","0","0","0","0","13","0","84"
"780","0","0","0","0","2","0","93"
"800","0","0","0","0","3","0","95"
"820","0","0","0","0","7","0","91"
"840","0","0","0","0","5","0","95"
"860","0","0","0","0","7","0","88"
"880","0","0","0","0","2","0","94"
"900","0","0","0","0","4","0","96"
"920","0","0","0","0","3","0","97"
"940","0","0","0","0","0","0","100"
"960","0","0","0","0","1","0","99"
"980","0","0","0","0","0","0","100"
"1000","0","0","0","0","0","0","100"
