molecule,from,to,gene,type
Eidolon,477,1407,L,full
Eidolon,1408,1657,VP4,full
Eidolon,1658,2737,VP2,full
Eidolon,2738,3627,VP3,full
Eidolon,3628,4654,VP1,full
Eidolon,4655,5513,2A,full
Eidolon,5514,5933,2B,full
Eidolon,5934,7231,2C,full
Eidolon,7232,7646,3A,full
Eidolon,7647,7734,3B,full
Eidolon,7735,8521,3C,full
Eidolon,8522,10383,3D,full
Eidolon,1194,1235,L,p1
Eidolon,1236,1396,VP4,p1
Eidolon,1397,2340,VP2,p1
Eidolon,2341,2732,VP3,p1
Pteropus,1380,1601,L,all
Pteropus,1602,2636,VP0,all
Pteropus,2637,3494,VP3,all
Pteropus,3495,4399,VP1,all
Pteropus,4400,4514,2A,all
Pteropus,4515,5057,2B,all
Pteropus,5058,5170,3C,all
Rousettus,816,1020,L,full
Rousettus,1021,1235,VP4,full
Rousettus,1236,2068,VP2,full
Rousettus,2069,2822,VP3,full
Rousettus,2823,3863,VP1,full
Rousettus,3864,4673,2A,full
Rousettus,4674,5037,2B,full
Rousettus,5038,6105,2C,full
Rousettus,6106,6480,3A,full
Rousettus,6481,6558,3B,full
Rousettus,6559,7235,3C,full
Rousettus,7236,8702,3D,full
Rousettus,5366,6133,2C,all
Rousettus,6134,6498,3A,all
