Position in alignment,Pteropodidae_bat_sapelovirus - OQ818320,Pteropodidae_bat_sapelovirus - OQ818321,OQ818320 - OQ818321
20,0,0,0
40,0,0,0
60,0,0,0
80,0,0,0
100,0,0,0
120,0,0,0
140,0,0,0
160,0,0,0
180,0,0,0
200,0,0,0
220,0,0,0
240,0,0,0
260,0,0,0
280,0,0,0
300,0,0,0
320,62,0,0
340,57,0,12
360,22,19,38
380,4,6,85
400,1,0,99
420,0,0,100
440,1,3,96
460,0,15,85
480,0,14,85
500,0,3,97
520,0,2,98
540,0,4,96
560,0,3,97
580,0,4,96
600,0,2,98
620,0,0,100
640,0,0,100
660,0,0,100
680,0,0,100
700,0,0,100
720,0,0,100
740,0,0,100
760,0,0,100
780,0,0,100
800,0,0,100
820,0,0,100
840,1,0,99
860,6,0,93
880,9,10,79
900,27,11,58
920,48,13,29
940,67,14,11
960,97,0,3
980,98,0,0
1000,86,6,0
1020,94,4,0
1040,77,15,0
1060,87,10,0
1080,83,10,0
1100,75,21,0
1120,44,49,0
1140,56,37,0
1160,52,36,0
1180,28,66,0
1200,46,46,0
1220,16,71,0
1240,20,75,0
1260,12,81,0
1280,25,60,0
1300,16,79,0
1320,45,41,0
1340,40,43,0
1360,65,26,0
1380,91,4,0
1400,84,6,0
1420,81,12,0
1440,96,2,0
1460,98,1,0
1480,99,0,0
1500,81,10,0
1520,91,4,0
1540,92,7,0
1560,80,10,4
1580,78,19,0
1600,85,8,1
1620,83,9,1
1640,46,40,0
1660,14,82,0
1680,14,80,0
1700,29,61,1
1720,5,92,0
1740,15,76,0
1760,9,84,0
1780,9,86,0
1800,4,94,0
1820,9,85,0
1840,14,82,0
1860,59,31,0
1880,66,27,0
1900,56,44,0
1920,74,26,0
1940,54,46,0
1960,74,26,0
1980,77,22,0
2000,86,14,0
2020,71,29,0
2040,79,21,0
2060,28,72,0
2080,19,81,0
2100,29,60,0
2120,38,54,0
2140,42,48,0
2160,17,73,0
2180,13,84,0
2200,4,94,0
2220,11,85,0
2240,17,77,0
2260,54,32,0
2280,49,43,0
2300,30,59,0
2320,25,60,0
2340,32,56,0
2360,86,8,0
2380,89,6,0
2400,97,1,0
2420,100,0,0
2440,99,1,0
2460,100,0,0
2480,90,6,0
2500,94,4,0
2520,88,9,0
2540,81,15,0
2560,90,8,0
2580,66,29,0
2600,77,19,0
2620,58,35,0
2640,71,20,0
2660,80,14,0
2680,94,3,0
2700,97,2,0
2720,97,0,0
2740,97,2,0
2760,99,0,0
2780,96,2,0
2800,90,4,0
2820,42,50,1
2840,24,72,0
2860,6,91,0
2880,6,88,0
2900,0,97,0
2920,2,95,0
2940,3,90,0
2960,1,98,1
2980,0,99,0
3000,2,96,0
3020,24,61,0
3040,34,56,1
3060,60,30,0
3080,76,14,1
3100,70,19,0
3120,54,34,0
3140,41,43,0
3160,66,21,0
3180,87,8,0
3200,57,35,0
3220,33,54,2
3240,28,63,0
3260,31,56,0
3280,24,73,0
3300,16,67,6
3320,58,27,4
3340,14,57,24
3360,2,23,74
3380,0,18,81
3400,2,6,92
3420,0,2,98
3440,0,1,99
3460,1,0,99
3480,0,0,100
3500,1,1,98
3520,0,1,99
3540,1,0,99
3560,3,0,97
3580,15,0,85
3600,7,0,93
3620,10,10,80
3640,10,4,86
3660,11,5,84
3680,6,5,89
3700,11,10,78
3720,9,3,88
3740,4,8,88
3760,3,3,94
3780,4,4,92
3800,6,23,68
3820,5,7,87
3840,15,22,60
3860,1,70,29
3880,5,83,10
3900,2,84,14
3920,4,50,45
3940,0,62,35
3960,1,22,76
3980,2,45,51
4000,2,26,71
4020,7,17,75
4040,0,18,82
4060,0,25,75
4080,0,1,99
4100,0,1,99
4120,2,10,88
4140,7,7,86
4160,20,24,55
4180,11,14,73
4200,5,2,93
4220,12,13,73
4240,8,11,81
4260,8,0,90
4280,5,1,94
4300,0,8,92
4320,0,4,96
4340,0,0,100
4360,0,5,95
4380,0,13,87
4400,12,31,54
4420,5,43,52
4440,5,44,49
4460,5,29,62
4480,8,42,49
4500,1,19,80
4520,1,22,77
4540,0,47,52
4560,2,21,76
4580,1,13,85
4600,1,4,94
4620,3,7,90
4640,6,11,82
4660,31,25,41
4680,25,39,31
4700,31,30,29
4720,57,34,5
4740,38,39,14
4760,9,71,15
4780,11,73,8
4800,16,73,6
4820,6,80,8
4840,7,74,14
4860,16,62,11
4880,26,54,10
4900,28,50,12
4920,38,16,40
4940,56,18,21
4960,89,1,9
4980,79,0,19
5000,81,0,19
5020,68,0,32
5040,69,0,30
5060,29,0,71
5080,27,1,72
5100,50,0,50
5120,81,0,17
5140,46,0,54
5160,51,0,49
5180,81,0,17
5200,95,1,1
5220,93,1,2
5240,99,0,1
5260,86,10,0
5280,54,38,0
5300,58,35,1
5320,58,30,3
5340,51,42,0
5360,46,42,1
5380,33,53,7
5400,9,23,68
5420,5,63,32
5440,5,79,16
5460,10,66,24
5480,44,28,28
5500,17,46,36
5520,13,23,64
5540,18,25,57
5560,10,52,38
5580,16,45,39
5600,30,57,7
5620,30,50,11
5640,26,40,27
5660,24,38,32
5680,42,42,7
5700,35,53,4
5720,57,32,2
5740,45,48,0
5760,93,5,1
5780,88,10,0
5800,85,8,5
5820,83,7,8
5840,91,0,9
5860,75,0,25
5880,58,0,41
5900,71,0,29
5920,42,14,35
5940,48,8,41
5960,47,16,28
5980,23,28,48
6000,47,17,31
6020,55,16,22
6040,70,20,2
6060,59,27,1
6080,53,34,3
6100,37,47,3
6120,66,27,3
6140,44,49,0
6160,18,75,0
6180,25,64,1
6200,30,64,1
6220,22,71,0
6240,7,79,8
6260,5,76,18
6280,9,84,6
6300,14,75,4
6320,11,74,11
6340,33,50,6
6360,55,22,15
6380,28,47,21
6400,7,78,10
6420,10,69,14
6440,22,58,12
6460,34,54,1
6480,32,59,0
6500,29,57,0
6520,37,50,0
6540,1,96,0
6560,0,100,0
6580,0,100,0
6600,0,100,0
6620,3,96,0
6640,1,98,0
6660,0,99,0
6680,1,98,0
6700,0,100,0
6720,0,100,0
6740,7,90,0
