Pointer,NC_003987 - OQ818320,NC_003987 - OQ818329,OQ818320 - OQ818329
20,30,0,66
40,22,1,70
60,29,0,69
80,12,0,88
100,1,0,99
120,2,0,98
140,2,0,98
160,2,0,98
180,1,0,99
200,0,0,100
220,0,0,100
240,0,0,100
260,0,0,100
280,0,0,100
300,0,0,100
320,0,0,100
340,0,0,100
360,0,0,100
380,0,0,100
400,0,0,100
420,0,0,100
440,0,0,100
460,0,0,100
480,0,0,100
500,0,0,100
520,0,0,100
540,2,5,93
560,4,8,88
580,0,2,98
600,0,0,100
620,9,3,88
640,33,6,61
660,59,1,40
680,71,8,21
700,53,14,33
720,38,19,42
740,35,27,38
760,17,9,74
780,16,19,65
800,14,44,40
820,4,26,69
840,11,21,68
860,4,11,85
880,1,6,93
900,0,0,100
920,0,6,94
940,2,0,98
960,0,0,100
980,0,0,100
1000,0,0,100
1020,0,0,100
1040,2,0,96
1060,3,0,97
1080,3,1,90
1100,22,0,75
1120,24,1,72
1140,35,0,62
1160,36,0,57
1180,33,1,61
1200,58,0,38
1220,32,1,60
1240,13,0,85
1260,12,1,82
1280,17,0,83
1300,6,0,93
1320,2,0,98
1340,0,0,100
1360,4,0,95
1380,3,0,97
1400,0,0,100
1420,0,3,97
1440,0,11,89
1460,0,6,94
1480,0,6,94
1500,0,10,90
1520,0,7,93
1540,1,4,95
1560,6,14,80
1580,4,10,86
1600,34,2,64
1620,25,0,71
1640,32,0,61
1660,55,1,37
1680,52,12,26
1700,19,28,46
1720,31,13,51
1740,12,8,75
1760,3,3,92
1780,0,18,77
1800,2,11,86
1820,3,10,80
1840,0,9,89
1860,1,4,90
1880,0,3,96
1900,0,1,99
1920,0,5,95
1940,4,13,83
1960,0,9,91
1980,0,0,100
2000,0,3,97
2020,0,2,98
2040,0,0,100
2060,0,0,100
2080,2,0,98
2100,1,0,99
2120,1,0,99
2140,0,1,99
2160,1,4,95
2180,4,6,90
2200,8,0,91
2220,0,3,96
2240,2,12,85
2260,0,8,89
2280,0,18,81
2300,0,5,93
2320,0,3,96
2340,0,2,98
2360,0,0,100
2380,0,0,100
2400,0,0,100
2420,0,0,100
2440,0,0,100
2460,0,0,100
2480,0,0,100
2500,0,0,100
2520,0,0,100
2540,0,0,100
2560,0,0,100
2580,0,0,100
2600,2,0,98
2620,7,1,92
2640,4,1,94
2660,11,0,89
2680,0,0,100
2700,3,0,97
2720,2,0,98
2740,0,0,100
2760,0,0,100
2780,1,1,98
2800,3,0,97
2820,1,0,99
2840,3,1,96
2860,3,0,97
2880,2,0,98
2900,5,0,95
2920,7,0,93
2940,7,0,93
2960,1,1,98
2980,0,0,100
3000,0,0,100
3020,0,0,100
3040,0,1,99
3060,0,0,100
3080,0,0,100
3100,0,0,100
3120,0,0,100
3140,0,0,100
3160,0,0,100
3180,0,0,100
3200,0,0,100
3220,0,0,100
3240,1,0,99
3260,1,0,99
3280,3,4,93
3300,11,16,73
3320,3,22,72
3340,36,41,21
3360,12,66,21
3380,17,72,6
3400,11,82,3
3420,3,89,8
3440,3,83,14
3460,13,69,17
3480,1,23,76
3500,9,24,67
3520,8,9,81
3540,1,14,85
3560,1,12,87
3580,0,7,93
3600,1,1,98
3620,2,0,98
3640,5,0,95
3660,2,1,97
3680,43,0,57
3700,32,0,68
3720,54,0,46
3740,50,5,45
3760,15,1,84
3780,6,0,93
3800,13,0,87
3820,39,1,58
3840,58,0,41
3860,24,0,76
3880,37,8,54
3900,30,6,63
3920,7,2,91
3940,15,5,80
3960,39,8,51
3980,34,25,40
4000,20,34,43
4020,1,40,59
4040,8,27,65
4060,6,37,55
4080,2,20,78
4100,6,39,54
4120,4,78,17
4140,17,59,24
4160,7,53,40
4180,13,67,19
4200,4,53,43
4220,3,47,48
4240,3,55,41
4260,1,72,26
4280,0,80,20
4300,0,73,27
4320,1,53,46
4340,0,69,31
4360,5,87,8
4380,1,76,23
4400,6,80,14
4420,3,45,52
4440,3,50,47
4460,12,34,54
