pointer,MK153132
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,2.0
65,2.0
66,2.0
67,2.0
68,3.0
69,4.0
70,4.0
71,4.0
72,4.0
73,5.0
74,5.0
75,6.0
76,6.0
77,7.000000000000001
78,7.000000000000001
79,7.000000000000001
80,8.0
81,8.0
82,9.0
83,9.0
84,9.0
85,10.0
86,10.0
87,11.0
88,12.0
89,13.0
90,13.0
91,13.0
92,13.0
93,14.000000000000002
94,14.000000000000002
95,14.000000000000002
96,15.0
97,16.0
98,17.0
99,17.0
100,18.0
101,19.0
102,19.0
103,19.0
104,20.0
105,21.0
106,21.0
107,22.0
108,23.0
109,24.0
110,25.0
111,26.0
112,27.0
113,28.000000000000004
114,28.999999999999996
115,30.0
116,31.0
117,32.0
118,32.0
119,33.0
120,34.0
121,35.0
122,35.0
123,36.0
124,37.0
125,38.0
126,39.0
127,40.0
128,40.0
129,41.0
130,42.0
131,43.0
132,44.0
133,45.0
134,46.0
135,47.0
136,48.0
137,49.0
138,49.0
139,49.0
140,49.0
141,49.0
142,50.0
143,50.0
144,50.0
145,50.0
146,50.0
147,51.0
148,52.0
149,52.0
150,53.0
151,54.0
152,55.00000000000001
153,56.00000000000001
154,56.00000000000001
155,56.99999999999999
156,57.99999999999999
157,59.0
158,60.0
159,59.0
160,60.0
161,61.0
162,61.0
163,61.0
164,60.0
165,61.0
166,61.0
167,62.0
168,62.0
169,62.0
170,62.0
171,63.0
172,63.0
173,62.0
174,62.0
175,61.0
176,62.0
177,62.0
178,62.0
179,63.0
180,63.0
181,63.0
182,63.0
183,64.0
184,64.0
185,64.0
186,64.0
187,63.0
188,63.0
189,62.0
190,63.0
191,63.0
192,64.0
193,64.0
194,64.0
195,64.0
196,64.0
197,64.0
198,64.0
199,65.0
200,65.0
201,65.0
202,66.0
203,67.0
204,67.0
205,67.0
206,68.0
207,67.0
208,67.0
209,67.0
210,67.0
211,67.0
212,67.0
213,67.0
214,67.0
215,67.0
216,67.0
217,67.0
218,67.0
219,66.0
220,66.0
221,66.0
222,67.0
223,66.0
224,66.0
225,66.0
226,66.0
227,66.0
228,67.0
229,67.0
230,67.0
231,67.0
232,66.0
233,65.0
234,65.0
235,65.0
236,64.0
237,64.0
238,65.0
239,66.0
240,67.0
241,68.0
242,68.0
243,68.0
244,69.0
245,70.0
246,71.0
247,71.0
248,70.0
249,71.0
250,71.0
251,71.0
252,71.0
253,71.0
254,72.0
255,72.0
256,72.0
257,72.0
258,72.0
259,73.0
260,73.0
261,73.0
262,74.0
263,75.0
264,76.0
265,75.0
266,76.0
267,76.0
268,75.0
269,75.0
270,76.0
271,76.0
272,77.0
273,78.0
274,79.0
275,80.0
276,80.0
277,80.0
278,80.0
279,80.0
280,79.0
281,80.0
282,80.0
283,80.0
284,80.0
285,80.0
286,81.0
287,82.0
288,82.0
289,83.0
290,83.0
291,84.0
292,83.0
293,83.0
294,84.0
295,84.0
296,83.0
297,83.0
298,83.0
299,83.0
300,82.0
301,81.0
302,81.0
303,81.0
304,81.0
305,81.0
306,81.0
307,82.0
308,82.0
309,81.0
310,80.0
311,79.0
312,79.0
313,79.0
314,79.0
315,79.0
316,79.0
317,79.0
318,79.0
319,79.0
320,79.0
321,79.0
322,79.0
323,80.0
324,80.0
325,80.0
326,79.0
327,79.0
328,79.0
329,79.0
330,78.0
331,78.0
332,79.0
333,80.0
334,80.0
335,79.0
336,80.0
337,80.0
338,80.0
339,80.0
340,80.0
341,80.0
342,79.0
343,80.0
344,80.0
345,79.0
346,79.0
347,78.0
348,79.0
349,78.0
350,77.0
351,77.0
352,76.0
353,76.0
354,75.0
355,74.0
356,73.0
357,73.0
358,72.0
359,72.0
360,72.0
361,71.0
362,70.0
363,70.0
364,70.0
365,70.0
366,70.0
367,69.0
368,70.0
369,69.0
370,69.0
371,68.0
372,68.0
373,68.0
374,68.0
375,68.0
376,68.0
377,67.0
378,68.0
379,68.0
380,68.0
381,68.0
382,68.0
383,68.0
384,69.0
385,69.0
386,68.0
387,67.0
388,66.0
389,65.0
390,65.0
391,65.0
392,66.0
393,65.0
394,65.0
395,66.0
396,67.0
397,66.0
398,66.0
399,65.0
400,66.0
401,66.0
402,65.0
403,65.0
404,64.0
405,64.0
406,64.0
407,64.0
408,64.0
409,65.0
410,66.0
411,67.0
412,67.0
413,67.0
414,66.0
415,66.0
416,65.0
417,64.0
418,65.0
419,65.0
420,64.0
421,64.0
422,63.0
423,63.0
424,63.0
425,63.0
426,63.0
427,62.0
428,61.0
429,60.0
430,61.0
431,61.0
432,60.0
433,59.0
434,57.99999999999999
435,59.0
436,57.99999999999999
437,57.99999999999999
438,57.99999999999999
439,57.99999999999999
440,57.99999999999999
441,56.99999999999999
442,57.99999999999999
443,57.99999999999999
444,57.99999999999999
445,57.99999999999999
446,56.99999999999999
447,56.99999999999999
448,56.99999999999999
449,57.99999999999999
450,59.0
451,59.0
452,59.0
453,57.99999999999999
454,59.0
455,60.0
456,61.0
457,60.0
458,61.0
459,60.0
460,59.0
461,59.0
462,59.0
463,57.99999999999999
464,56.99999999999999
465,56.99999999999999
466,56.00000000000001
467,56.00000000000001
468,56.00000000000001
469,56.00000000000001
470,56.00000000000001
471,56.00000000000001
472,55.00000000000001
473,54.0
474,54.0
475,53.0
476,52.0
477,52.0
478,51.0
479,51.0
480,51.0
481,51.0
482,50.0
483,50.0
484,49.0
485,49.0
486,49.0
487,49.0
488,50.0
489,51.0
490,51.0
491,50.0
492,50.0
493,50.0
494,49.0
495,48.0
496,47.0
497,47.0
