pointer,OQ818316,OQ818332,OQ818336,OQ818334,OQ818330,OQ818335,OQ818333
840,1,12,1,0,2,22,3
860,0,4,2,0,4,5,6
880,1,1,6,3,1,8,17
900,1,5,1,3,7,0,13
920,16,0,1,4,2,6,12
940,13,1,0,3,4,4,8
960,20,0,1,3,3,12,10
980,16,0,0,3,1,18,15
1000,43,0,0,4,11,1,13
1020,35,0,0,1,24,4,22
1040,28,0,0,5,24,8,18
1060,20,0,0,2,38,8,9
1080,21,0,0,13,17,14,2
1100,23,0,0,12,23,15,0
1120,7,0,0,3,51,12,0
1140,7,0,0,5,49,2,9
1160,4,0,0,2,54,3,11
1180,4,0,0,7,48,0,19
1200,0,0,0,4,29,8,17
1220,0,0,0,17,7,4,16
1240,0,0,0,12,29,3,14
1260,4,0,0,10,23,3,23
1280,3,1,0,3,39,2,39
1300,2,0,0,1,26,9,50
1320,0,0,1,4,2,8,56
1340,0,0,0,6,15,21,23
1360,0,1,1,10,3,38,12
1380,0,1,1,4,3,27,24
1400,0,1,2,8,0,13,22
1420,0,0,0,7,1,20,19
1440,1,2,0,6,0,7,17
1460,0,0,2,13,0,3,19
1480,4,1,2,14,0,14,10
1500,9,0,1,6,1,21,3
1520,58,0,0,5,0,1,2
1540,55,0,1,3,0,10,2
1560,60,0,0,3,1,3,0
1580,77,0,0,3,0,1,0
1600,63,0,0,3,1,14,4
1620,81,0,0,2,0,2,5
1640,45,0,0,2,8,17,7
1660,36,0,0,0,10,27,13
1680,24,0,0,4,26,9,18
1700,20,0,1,3,6,20,36
1720,9,0,0,0,16,16,42
1740,8,0,0,1,47,11,24
1760,14,0,0,0,40,13,27
1780,9,0,0,1,65,13,6
1800,10,1,0,0,57,7,12
1820,11,0,0,0,56,22,3
1840,32,0,0,0,36,10,7
1860,32,0,0,1,24,18,6
1880,28,3,0,0,29,23,0
1900,22,0,0,0,33,31,1
1920,16,0,0,0,45,24,0
1940,4,7,0,2,4,30,0
1960,1,0,0,14,8,24,0
1980,0,0,0,8,7,41,0
2000,1,0,0,11,0,43,1
2020,3,0,0,7,0,16,9
2040,3,0,0,8,5,23,3
2060,2,0,0,14,4,21,5
2080,1,0,0,21,1,14,10
2100,2,0,0,13,7,17,7
2120,2,0,0,21,2,18,4
2140,1,0,0,31,1,22,4
2160,3,0,0,24,1,29,11
2180,10,3,0,13,4,17,3
2200,8,1,0,17,4,9,1
2220,8,0,0,10,16,16,0
2240,9,0,1,17,3,16,0
2260,4,2,2,3,3,29,1
2280,5,0,0,6,4,45,0
2300,8,0,0,4,3,40,0
2320,10,0,0,1,6,36,4
2340,10,0,0,2,4,12,8
2360,7,0,0,4,5,16,10
2380,4,1,0,6,2,35,6
2400,6,0,0,0,1,53,8
2420,0,0,0,5,0,59,17
2440,3,0,0,3,3,66,8
2460,9,0,0,13,2,37,7
2480,17,0,0,6,2,28,17
2500,13,0,0,17,1,15,21
2520,5,0,0,30,4,41,0
2540,4,0,0,22,0,39,0
2560,15,0,0,28,8,23,0
2580,9,0,1,38,17,2,0
2600,26,0,0,21,10,1,1
2620,38,0,0,7,7,0,0
2640,26,0,0,2,26,0,10
2660,18,0,1,6,24,0,10
2680,17,0,0,7,12,1,14
2700,33,1,2,0,5,2,11
2720,32,0,0,0,8,1,33
2740,30,0,0,0,19,1,21
2760,5,0,0,1,12,5,24
2780,12,0,0,1,8,13,18
2800,2,0,0,0,3,13,26
2820,1,0,0,1,2,20,38
2840,0,0,0,0,1,26,35
2860,1,0,0,1,1,22,20
2880,3,0,0,1,3,29,23
2900,0,0,0,8,8,19,17
2920,0,0,0,12,2,25,15
2940,3,0,0,9,3,28,19
2960,1,0,0,15,1,39,25
2980,0,0,0,8,0,42,31
3000,0,0,0,19,0,52,14
3020,3,0,0,6,1,73,3
3040,3,0,0,3,0,77,1
3060,3,0,0,1,1,84,1
3080,1,0,0,2,3,54,1
3100,1,0,0,4,1,73,1
3120,0,0,0,6,1,61,3
3140,0,0,0,3,0,63,2
3160,0,0,0,4,1,59,2
3180,0,0,0,4,0,56,3
3200,0,0,0,5,0,38,3
3220,0,0,0,10,0,56,1
3240,4,0,0,2,0,26,53
3260,3,0,0,2,0,27,54
3280,2,0,0,2,1,28,49
3300,4,0,0,1,0,35,45
3320,2,0,0,1,1,49,34
3340,3,0,0,9,0,15,59
3360,4,0,0,7,0,23,43
3380,4,0,0,9,0,35,19
3400,1,0,0,9,1,47,17
3420,0,0,0,2,0,24,40
3440,0,0,0,1,0,36,27
3460,0,0,0,0,0,28,17
3480,0,2,0,0,0,22,20
3500,0,0,1,0,0,31,15
3520,0,0,0,0,0,24,5
3540,0,0,0,0,0,23,10
3560,1,0,1,0,0,52,10
3580,0,0,0,0,0,66,12
3600,0,0,0,0,0,40,12
3620,0,0,0,3,0,38,0
3640,0,0,0,1,0,53,1
3660,0,0,0,5,5,55,1
3680,0,0,0,5,4,48,1
3700,0,0,0,7,6,32,2
3720,1,0,0,11,1,53,1
3740,0,0,0,0,3,65,3
3760,0,0,0,1,10,53,0
3780,1,0,0,1,32,23,2
3800,0,0,0,0,67,20,0
3820,5,0,0,2,72,11,0
3840,0,0,0,0,74,15,0
3860,1,0,0,4,53,27,0
3880,3,0,0,0,38,30,4
3900,4,0,1,3,21,47,0
3920,1,0,0,0,39,21,2
3940,6,0,0,0,59,17,1
3960,16,0,0,4,39,2,1
3980,31,0,0,2,37,0,8
4000,26,0,0,11,19,2,7
4020,13,0,0,5,13,7,33
4040,7,0,0,18,36,5,4
4060,7,0,0,11,19,31,2
4080,7,0,0,7,20,45,1
4100,11,0,0,5,9,47,1
4120,15,0,0,6,11,48,0
4140,7,0,0,5,1,59,3
4160,3,0,0,6,4,64,2
4180,0,0,0,4,0,84,1
4200,0,0,0,1,4,65,0
4220,0,0,0,2,6,66,1
4240,2,0,0,0,2,56,1
4260,0,0,0,2,0,71,0
4280,3,0,0,0,0,75,4
4300,1,0,0,0,16,57,7
4320,1,0,0,0,8,71,7
4340,0,0,0,0,12,60,11
4360,0,0,0,0,15,71,6
4380,0,0,0,0,13,71,9
4400,0,0,0,0,2,85,11
4420,0,0,0,3,4,78,11
4440,0,0,0,4,3,69,15
4460,0,0,0,4,6,47,32
4480,0,0,0,1,7,47,34
4500,1,0,0,8,19,32,20
4520,0,0,0,8,4,32,28
4540,0,0,0,17,1,45,13
4560,0,0,1,7,2,56,13
4580,4,1,3,14,3,49,9
4600,8,1,7,4,7,27,25
4620,1,0,1,6,23,15,44
4640,3,0,1,0,9,30,45
4660,1,0,0,2,4,22,35
4680,1,0,0,1,3,25,35
4700,0,0,0,6,0,27,41
4720,0,0,0,11,4,11,51
4740,4,0,0,1,1,19,46
4760,0,0,0,3,7,20,43
4780,0,0,0,2,0,18,65
4800,1,0,0,16,3,20,23
4820,0,0,0,4,0,22,22
4840,2,0,0,4,0,24,28
4860,1,0,0,0,5,57,6
4880,0,0,0,4,5,82,1
4900,0,0,0,1,4,81,0
4920,3,0,0,4,2,70,0
4940,6,1,0,13,4,58,0
4960,9,0,0,7,0,53,0
4980,6,0,0,6,1,60,0
5000,4,2,2,10,1,67,0
5020,10,2,5,2,3,56,0
5040,13,0,0,7,2,62,2
5060,16,0,1,18,3,31,1
5080,32,0,0,13,0,16,3
5100,32,0,0,20,0,1,11
5120,7,0,0,5,8,8,37
5140,2,0,0,3,2,6,46
5160,2,0,0,3,0,3,72
5180,7,0,0,5,1,0,65
5200,4,0,0,0,2,0,75
5220,8,0,0,0,1,6,61
5240,4,1,0,0,0,1,44
5260,1,0,0,0,0,3,67
5280,-1,-1,-1,-1,-1,-1,-1
