Position,Coverage,rPM,rPM_log10
1,1,0.008526894,-2.069209136
2,3,0.025580681,-1.592087898
3,3,0.025580681,-1.592087898
4,5,0.042634469,-1.370239142
5,5,0.042634469,-1.370239142
6,5,0.042634469,-1.370239142
7,5,0.042634469,-1.370239142
8,5,0.042634469,-1.370239142
9,5,0.042634469,-1.370239142
10,5,0.042634469,-1.370239142
11,5,0.042634469,-1.370239142
12,5,0.042634469,-1.370239142
13,5,0.042634469,-1.370239142
14,6,0.051161363,-1.291057894
15,6,0.051161363,-1.291057894
16,6,0.051161363,-1.291057894
17,6,0.051161363,-1.291057894
18,6,0.051161363,-1.291057894
19,6,0.051161363,-1.291057894
20,6,0.051161363,-1.291057894
21,6,0.051161363,-1.291057894
22,6,0.051161363,-1.291057894
23,6,0.051161363,-1.291057894
24,6,0.051161363,-1.291057894
25,6,0.051161363,-1.291057894
26,6,0.051161363,-1.291057894
27,6,0.051161363,-1.291057894
28,6,0.051161363,-1.291057894
29,6,0.051161363,-1.291057894
30,6,0.051161363,-1.291057894
31,6,0.051161363,-1.291057894
32,6,0.051161363,-1.291057894
33,7,0.059688257,-1.224111103
34,7,0.059688257,-1.224111103
35,7,0.059688257,-1.224111103
36,7,0.059688257,-1.224111103
37,7,0.059688257,-1.224111103
38,7,0.059688257,-1.224111103
39,7,0.059688257,-1.224111103
40,7,0.059688257,-1.224111103
41,7,0.059688257,-1.224111103
42,7,0.059688257,-1.224111103
43,7,0.059688257,-1.224111103
44,7,0.059688257,-1.224111103
45,7,0.059688257,-1.224111103
46,7,0.059688257,-1.224111103
47,7,0.059688257,-1.224111103
48,7,0.059688257,-1.224111103
49,7,0.059688257,-1.224111103
50,7,0.059688257,-1.224111103
51,7,0.059688257,-1.224111103
52,7,0.059688257,-1.224111103
53,7,0.059688257,-1.224111103
54,7,0.059688257,-1.224111103
55,7,0.059688257,-1.224111103
56,7,0.059688257,-1.224111103
57,7,0.059688257,-1.224111103
58,7,0.059688257,-1.224111103
59,7,0.059688257,-1.224111103
60,7,0.059688257,-1.224111103
61,7,0.059688257,-1.224111103
62,8,0.068215151,-1.166119155
63,8,0.068215151,-1.166119155
64,10,0.085268938,-1.069209146
65,10,0.085268938,-1.069209146
66,10,0.085268938,-1.069209146
67,10,0.085268938,-1.069209146
68,10,0.085268938,-1.069209146
69,10,0.085268938,-1.069209146
70,10,0.085268938,-1.069209146
71,10,0.085268938,-1.069209146
72,11,0.093795832,-1.02781646
73,13,0.11084962,-0.955265791
74,13,0.11084962,-0.955265791
75,13,0.11084962,-0.955265791
76,13,0.11084962,-0.955265791
77,13,0.11084962,-0.955265791
78,13,0.11084962,-0.955265791
79,13,0.11084962,-0.955265791
80,13,0.11084962,-0.955265791
81,13,0.11084962,-0.955265791
82,13,0.11084962,-0.955265791
83,13,0.11084962,-0.955265791
84,14,0.119376514,-0.923081107
85,14,0.119376514,-0.923081107
86,14,0.119376514,-0.923081107
87,14,0.119376514,-0.923081107
88,14,0.119376514,-0.923081107
89,14,0.119376514,-0.923081107
90,14,0.119376514,-0.923081107
91,14,0.119376514,-0.923081107
92,14,0.119376514,-0.923081107
93,14,0.119376514,-0.923081107
94,16,0.136430301,-0.865089163
95,16,0.136430301,-0.865089163
96,16,0.136430301,-0.865089163
97,16,0.136430301,-0.865089163
98,16,0.136430301,-0.865089163
99,16,0.136430301,-0.865089163
100,16,0.136430301,-0.865089163
101,16,0.136430301,-0.865089163
102,16,0.136430301,-0.865089163
103,16,0.136430301,-0.865089163
104,16,0.136430301,-0.865089163
105,16,0.136430301,-0.865089163
106,16,0.136430301,-0.865089163
107,16,0.136430301,-0.865089163
108,16,0.136430301,-0.865089163
109,16,0.136430301,-0.865089163
110,16,0.136430301,-0.865089163
111,16,0.136430301,-0.865089163
112,16,0.136430301,-0.865089163
113,16,0.136430301,-0.865089163
114,16,0.136430301,-0.865089163
115,16,0.136430301,-0.865089163
116,17,0.144957195,-0.838760223
117,17,0.144957195,-0.838760223
118,17,0.144957195,-0.838760223
119,17,0.144957195,-0.838760223
120,17,0.144957195,-0.838760223
121,17,0.144957195,-0.838760223
122,17,0.144957195,-0.838760223
123,17,0.144957195,-0.838760223
124,17,0.144957195,-0.838760223
125,17,0.144957195,-0.838760223
126,17,0.144957195,-0.838760223
127,17,0.144957195,-0.838760223
128,17,0.144957195,-0.838760223
129,17,0.144957195,-0.838760223
130,18,0.153484089,-0.813936639
131,18,0.153484089,-0.813936639
132,18,0.153484089,-0.813936639
133,18,0.153484089,-0.813936639
134,18,0.153484089,-0.813936639
135,19,0.162010983,-0.790455543
136,19,0.162010983,-0.790455543
137,19,0.162010983,-0.790455543
138,19,0.162010983,-0.790455543
139,19,0.162010983,-0.790455543
140,19,0.162010983,-0.790455543
141,19,0.162010983,-0.790455543
142,19,0.162010983,-0.790455543
143,19,0.162010983,-0.790455543
144,21,0.17906477,-0.746989851
145,21,0.17906477,-0.746989851
146,21,0.17906477,-0.746989851
147,20,0.170537876,-0.76817915
148,18,0.153484089,-0.813936639
149,18,0.153484089,-0.813936639
150,16,0.136430301,-0.865089163
151,16,0.136430301,-0.865089163
152,16,0.136430301,-0.865089163
153,16,0.136430301,-0.865089163
154,16,0.136430301,-0.865089163
155,16,0.136430301,-0.865089163
156,16,0.136430301,-0.865089163
157,16,0.136430301,-0.865089163
158,16,0.136430301,-0.865089163
159,16,0.136430301,-0.865089163
160,15,0.127903407,-0.893117887
161,15,0.127903407,-0.893117887
162,15,0.127903407,-0.893117887
163,15,0.127903407,-0.893117887
164,15,0.127903407,-0.893117887
165,15,0.127903407,-0.893117887
166,15,0.127903407,-0.893117887
167,15,0.127903407,-0.893117887
168,15,0.127903407,-0.893117887
169,16,0.136430301,-0.865089163
170,16,0.136430301,-0.865089163
171,16,0.136430301,-0.865089163
172,16,0.136430301,-0.865089163
173,16,0.136430301,-0.865089163
174,19,0.162010983,-0.790455543
175,19,0.162010983,-0.790455543
176,19,0.162010983,-0.790455543
177,19,0.162010983,-0.790455543
178,19,0.162010983,-0.790455543
179,18,0.153484089,-0.813936639
180,18,0.153484089,-0.813936639
181,18,0.153484089,-0.813936639
182,18,0.153484089,-0.813936639
183,18,0.153484089,-0.813936639
184,18,0.153484089,-0.813936639
185,18,0.153484089,-0.813936639
186,18,0.153484089,-0.813936639
187,18,0.153484089,-0.813936639
188,18,0.153484089,-0.813936639
189,19,0.162010983,-0.790455543
190,19,0.162010983,-0.790455543
191,19,0.162010983,-0.790455543
192,20,0.170537876,-0.76817915
193,20,0.170537876,-0.76817915
194,20,0.170537876,-0.76817915
195,20,0.170537876,-0.76817915
196,20,0.170537876,-0.76817915
197,20,0.170537876,-0.76817915
198,20,0.170537876,-0.76817915
199,20,0.170537876,-0.76817915
200,20,0.170537876,-0.76817915
201,20,0.170537876,-0.76817915
202,20,0.170537876,-0.76817915
203,20,0.170537876,-0.76817915
204,20,0.170537876,-0.76817915
205,20,0.170537876,-0.76817915
206,20,0.170537876,-0.76817915
207,20,0.170537876,-0.76817915
208,19,0.162010983,-0.790455543
209,19,0.162010983,-0.790455543
210,17,0.144957195,-0.838760223
211,17,0.144957195,-0.838760223
212,17,0.144957195,-0.838760223
213,17,0.144957195,-0.838760223
214,17,0.144957195,-0.838760223
215,17,0.144957195,-0.838760223
216,17,0.144957195,-0.838760223
217,17,0.144957195,-0.838760223
218,16,0.136430301,-0.865089163
219,14,0.119376514,-0.923081107
220,14,0.119376514,-0.923081107
221,14,0.119376514,-0.923081107
222,14,0.119376514,-0.923081107
223,14,0.119376514,-0.923081107
224,14,0.119376514,-0.923081107
225,14,0.119376514,-0.923081107
226,15,0.127903407,-0.893117887
227,15,0.127903407,-0.893117887
228,15,0.127903407,-0.893117887
229,15,0.127903407,-0.893117887
230,15,0.127903407,-0.893117887
231,15,0.127903407,-0.893117887
232,15,0.127903407,-0.893117887
233,15,0.127903407,-0.893117887
234,15,0.127903407,-0.893117887
235,18,0.153484089,-0.813936639
236,18,0.153484089,-0.813936639
237,19,0.162010983,-0.790455543
238,19,0.162010983,-0.790455543
239,19,0.162010983,-0.790455543
240,18,0.153484089,-0.813936639
241,18,0.153484089,-0.813936639
242,18,0.153484089,-0.813936639
243,18,0.153484089,-0.813936639
244,22,0.187591664,-0.726786464
245,22,0.187591664,-0.726786464
246,22,0.187591664,-0.726786464
247,22,0.187591664,-0.726786464
248,22,0.187591664,-0.726786464
249,22,0.187591664,-0.726786464
250,22,0.187591664,-0.726786464
251,22,0.187591664,-0.726786464
252,22,0.187591664,-0.726786464
253,22,0.187591664,-0.726786464
254,22,0.187591664,-0.726786464
255,23,0.196118558,-0.707481309
256,23,0.196118558,-0.707481309
257,23,0.196118558,-0.707481309
258,23,0.196118558,-0.707481309
259,23,0.196118558,-0.707481309
260,23,0.196118558,-0.707481309
261,23,0.196118558,-0.707481309
262,22,0.187591664,-0.726786464
263,22,0.187591664,-0.726786464
264,23,0.196118558,-0.707481309
265,23,0.196118558,-0.707481309
266,23,0.196118558,-0.707481309
267,23,0.196118558,-0.707481309
268,23,0.196118558,-0.707481309
269,24,0.204645452,-0.688997903
270,24,0.204645452,-0.688997903
271,24,0.204645452,-0.688997903
272,24,0.204645452,-0.688997903
273,24,0.204645452,-0.688997903
274,24,0.204645452,-0.688997903
275,24,0.204645452,-0.688997903
276,23,0.196118558,-0.707481309
277,23,0.196118558,-0.707481309
278,23,0.196118558,-0.707481309
279,23,0.196118558,-0.707481309
280,23,0.196118558,-0.707481309
281,22,0.187591664,-0.726786464
282,22,0.187591664,-0.726786464
283,22,0.187591664,-0.726786464
284,22,0.187591664,-0.726786464
285,22,0.187591664,-0.726786464
286,22,0.187591664,-0.726786464
287,22,0.187591664,-0.726786464
288,22,0.187591664,-0.726786464
289,22,0.187591664,-0.726786464
290,20,0.170537876,-0.76817915
291,20,0.170537876,-0.76817915
292,21,0.17906477,-0.746989851
293,22,0.187591664,-0.726786464
294,22,0.187591664,-0.726786464
295,22,0.187591664,-0.726786464
296,22,0.187591664,-0.726786464
297,22,0.187591664,-0.726786464
298,22,0.187591664,-0.726786464
299,22,0.187591664,-0.726786464
300,22,0.187591664,-0.726786464
301,22,0.187591664,-0.726786464
302,22,0.187591664,-0.726786464
303,22,0.187591664,-0.726786464
304,23,0.196118558,-0.707481309
305,23,0.196118558,-0.707481309
306,23,0.196118558,-0.707481309
307,23,0.196118558,-0.707481309
308,23,0.196118558,-0.707481309
309,23,0.196118558,-0.707481309
310,23,0.196118558,-0.707481309
311,24,0.204645452,-0.688997903
312,24,0.204645452,-0.688997903
313,24,0.204645452,-0.688997903
314,24,0.204645452,-0.688997903
315,23,0.196118558,-0.707481309
316,23,0.196118558,-0.707481309
317,23,0.196118558,-0.707481309
318,23,0.196118558,-0.707481309
319,23,0.196118558,-0.707481309
320,20,0.170537876,-0.76817915
321,20,0.170537876,-0.76817915
322,20,0.170537876,-0.76817915
323,20,0.170537876,-0.76817915
324,20,0.170537876,-0.76817915
325,20,0.170537876,-0.76817915
326,21,0.17906477,-0.746989851
327,21,0.17906477,-0.746989851
328,21,0.17906477,-0.746989851
329,21,0.17906477,-0.746989851
330,21,0.17906477,-0.746989851
331,21,0.17906477,-0.746989851
332,22,0.187591664,-0.726786464
333,22,0.187591664,-0.726786464
334,23,0.196118558,-0.707481309
335,22,0.187591664,-0.726786464
336,22,0.187591664,-0.726786464
337,22,0.187591664,-0.726786464
338,21,0.17906477,-0.746989851
