pointer,OQ818340,OQ818345,OQ818347,OQ818348,JN699046,KM056394,NC_033776,MW856468,MZ291974,OM105025
2620,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2640,42,0,4,8,2,0,0,0,0,0
2660,24,0,2,5,2,0,0,0,0,0
2680,9,2,3,1,5,0,0,0,0,0
2700,18,2,2,4,0,0,0,0,0,0
2720,21,5,2,6,0,0,0,0,0,1
2740,19,10,6,10,0,0,0,1,0,3
2760,14,8,4,7,0,0,0,0,0,4
2780,26,10,3,4,0,0,0,0,0,5
2800,42,1,1,6,0,0,0,0,0,0
2820,43,7,0,4,0,0,0,0,0,13
2840,16,7,3,0,0,0,0,0,0,7
2860,53,4,0,0,0,0,2,0,0,5
2880,62,3,1,1,0,0,2,0,0,2
2900,35,1,0,0,0,0,3,0,0,5
2920,40,0,3,0,0,0,5,0,0,1
2940,64,0,1,0,0,0,3,0,0,0
2960,64,0,1,0,0,0,1,0,0,0
2980,59,0,4,0,0,0,1,0,0,0
3000,46,0,0,0,0,1,0,0,0,0
3020,41,0,0,0,0,1,0,0,0,0
3040,71,0,0,0,0,0,0,0,0,0
3060,57,1,0,1,0,1,0,3,0,0
3080,62,0,0,0,0,0,0,8,0,0
3100,67,1,0,0,0,5,0,10,0,0
3120,48,4,0,0,0,0,0,16,0,0
3140,47,5,0,0,0,0,0,16,0,1
3160,65,7,0,0,0,1,0,1,0,0
3180,70,5,0,0,0,1,0,0,0,0
3200,61,6,0,0,0,2,0,0,0,0
3220,69,0,0,0,0,0,1,0,0,0
3240,77,0,0,0,0,0,0,0,1,0
3260,72,0,0,0,0,0,1,0,0,0
3280,52,1,0,0,0,2,3,0,0,0
3300,85,0,0,0,0,2,0,0,0,0
3320,89,0,1,0,0,3,3,0,0,0
3340,75,0,0,0,2,1,0,0,0,0
3360,46,0,0,1,2,1,3,0,2,1
3380,52,0,1,1,1,0,3,0,0,0
3400,54,0,0,0,0,0,1,0,10,0
3420,45,0,0,0,0,0,9,0,7,1
3440,41,2,0,0,0,0,6,0,17,3
3460,60,0,1,0,1,0,1,0,14,0
3480,68,3,0,0,0,0,7,0,8,0
3500,28,2,0,0,0,0,6,0,5,0
3520,40,0,0,0,0,0,4,0,5,2
3540,53,0,0,0,0,0,4,0,6,10
3560,75,0,0,0,1,0,6,0,3,5
3580,91,0,0,0,1,0,1,0,2,2
3600,86,0,0,0,2,1,2,0,0,0
3620,96,0,0,0,2,0,0,0,0,0
3640,78,0,0,0,9,0,0,0,0,1
3660,78,0,0,0,10,0,0,0,0,0
3680,86,0,0,0,4,0,0,0,0,0
3700,94,0,1,0,4,0,0,0,0,0
3720,91,0,0,0,2,1,0,0,0,1
3740,96,0,0,0,1,0,0,0,0,0
3760,96,0,0,0,1,0,0,0,0,0
3780,94,0,0,0,0,0,0,0,0,0
3800,100,0,0,0,0,0,0,0,0,0
3820,100,0,0,0,0,0,0,0,0,0
3840,100,0,0,0,0,0,0,0,0,0
3860,99,0,0,0,0,0,0,0,0,0
3880,92,1,0,0,0,0,0,0,0,0
3900,85,0,0,0,0,1,11,0,0,0
3920,88,0,0,0,1,0,4,0,0,0
3940,75,0,0,0,0,0,6,0,0,0
3960,52,0,1,1,0,0,28,0,0,1
3980,29,0,1,0,0,0,45,0,0,0
4000,22,0,0,0,0,0,36,0,0,1
4020,7,0,5,0,0,1,30,0,0,0
4040,4,0,9,0,0,0,39,0,0,3
4060,0,0,7,0,2,1,50,0,0,0
4080,3,0,9,3,2,1,22,0,0,1
4100,7,0,5,3,2,0,8,0,0,0
4120,4,2,4,3,3,2,8,0,0,2
4140,7,0,2,1,0,7,4,0,0,0
4160,21,0,5,1,0,3,2,0,0,0
4180,28,0,14,2,0,0,5,0,0,0
4200,38,0,7,2,0,0,5,0,0,0
4220,48,0,0,0,0,0,2,0,0,1
4240,84,0,1,0,0,0,0,0,0,0
4260,95,0,0,0,0,0,0,0,0,0
4280,89,0,0,0,0,0,0,0,0,0
4300,91,0,0,0,0,0,0,0,0,0
4320,98,0,0,0,0,0,0,0,0,0
4340,97,0,0,0,0,0,0,0,0,0
4360,88,0,0,0,0,0,0,0,0,0
4380,56,0,0,0,0,0,0,0,0,0
4400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
