molecule,start,end,gene,type
Bat picornavirus,10,586,5'UTR,full
Bat picornavirus,587,7730,Polyprotein,full
Cheravirus,436,3705,Polyprotein,partial
Felisavirus,637,1749,Non-structural polyprotein,partial
Hepatovirus,1,960,5'UTR,partial
Hepatovirus,981,6504,Polyprotein,partial
Kobuvirus,1,850,5'UTR,full
Kobuvirus,851,8997,Polyprotein,full
Kobuvirus,8990,9318,3'UTR,full
Kunsagivirus,1,619,5'UTR,full
Kunsagivirus,620,7953,Polyprotein,full
Kunsagivirus,7954,8098,3'UTR,full
Mischivirus,10,1513,5'UTR,full
Mischivirus,1514,9195,Polyprotein,full
Mischivirus,9243,9571,3'UTR,full
Sapovirus,1127,1511,5'UTR,full
Sapovirus,1512,7216,Polyprotein,full
Sapovirus,7251,7905,Putative minor structural protein,full
Sapovirus,3212,4326,Polyprotein,partial
Sapelovirus,1,746,5'UTR,full
Sapelovirus,747,8480,Polyprotein,full
Sapelovirus,8481,8623,3'UTR,full
Sapelovirus,1,746,5'UTR,partial
Sapelovirus,747,8480,Polyprotein,partial
Sapelovirus,8481,8623,3'UTR,partial
Teschovirus,21,601,5'UTR,full
Teschovirus,602,7621,Polyprotein,full
Teschovirus,7622,7725,3'UTR,full
