Position in alignment,NC_028981.1 - PP766455,NC_028981.1 - NC_028366.1,PP766455 - NC_028366.1
20,0,0,0
40,0,0,0
60,0,0,0
80,0,0,0
100,7,15,69
120,7,20,73
140,1,26,72
160,0,10,90
180,1,13,86
200,1,3,96
220,0,0,100
240,0,0,100
260,0,0,100
280,0,0,100
300,0,0,100
320,0,0,100
340,0,0,100
360,0,0,100
380,0,0,100
400,0,0,100
420,0,0,100
440,0,0,100
460,0,0,100
480,0,0,100
500,0,0,100
520,0,0,100
540,0,0,100
560,0,0,100
580,0,0,100
600,0,0,100
620,0,0,100
640,0,0,100
660,0,0,100
680,0,0,100
700,0,0,100
720,0,0,100
740,0,0,100
760,1,2,97
780,12,18,70
800,17,60,21
820,18,33,48
840,31,44,23
860,22,33,44
880,15,34,48
900,4,41,50
920,0,16,81
940,0,7,88
960,2,8,89
980,0,5,89
1000,0,24,71
1020,0,34,58
1040,0,14,82
1060,0,28,65
1080,0,17,77
1100,1,15,79
1120,1,12,80
1140,5,19,66
1160,6,20,65
1180,6,15,72
1200,2,34,58
1220,3,27,56
1240,1,47,43
1260,7,42,45
1280,2,75,21
1300,9,60,27
1320,2,46,43
1340,4,77,14
1360,2,31,60
1380,7,23,68
1400,3,1,96
1420,2,1,94
1440,6,3,87
1460,8,2,88
1480,8,0,88
1500,2,2,96
1520,8,0,87
1540,25,0,70
1560,15,1,79
1580,25,6,62
1600,37,14,33
1620,8,21,64
1640,5,3,84
1660,0,0,99
1680,1,1,98
1700,3,0,97
1720,2,0,98
1740,0,0,100
1760,0,1,98
1780,0,0,100
1800,1,1,97
1820,0,0,100
1840,0,0,100
1860,3,0,95
1880,3,12,78
1900,6,6,78
1920,38,11,45
1940,17,19,56
1960,53,7,31
1980,26,9,58
2000,33,3,51
2020,46,14,28
2040,66,11,17
2060,38,22,32
2080,49,23,20
2100,59,15,16
2120,34,27,26
2140,49,7,31
2160,37,11,44
2180,24,11,56
2200,14,3,77
2220,14,1,81
2240,6,4,89
2260,3,0,96
2280,0,0,98
2300,0,0,100
2320,0,0,100
2340,0,1,99
2360,0,0,100
2380,0,1,99
2400,0,0,100
2420,0,1,99
2440,0,1,98
2460,0,0,99
2480,0,0,99
2500,0,0,100
2520,0,0,100
2540,0,0,100
2560,2,0,98
2580,1,1,97
2600,3,0,94
2620,2,1,96
2640,5,8,82
2660,3,4,89
2680,3,4,85
2700,4,10,76
2720,0,1,97
2740,1,0,98
2760,0,3,95
2780,0,1,97
2800,0,0,100
2820,0,0,100
2840,0,0,100
2860,0,1,99
2880,0,0,100
2900,0,0,100
2920,0,5,95
2940,0,5,94
2960,0,6,93
2980,0,8,90
3000,0,25,68
3020,0,19,78
3040,0,3,96
3060,0,1,99
3080,0,3,94
3100,2,5,91
3120,1,1,96
3140,16,8,72
3160,11,7,75
3180,12,15,68
3200,5,2,88
3220,8,0,92
3240,20,3,69
3260,6,3,88
3280,20,6,74
3300,11,6,82
3320,6,8,85
3340,4,4,90
3360,0,0,100
3380,2,2,95
3400,7,4,89
3420,3,0,97
3440,2,0,98
3460,2,1,97
3480,3,0,97
3500,0,0,100
3520,0,0,100
3540,0,0,100
3560,0,0,100
3580,0,0,100
3600,0,0,100
3620,0,0,100
3640,0,0,100
3660,0,0,100
3680,0,0,100
3700,0,0,100
3720,0,0,100
3740,0,0,100
3760,0,0,100
3780,0,0,100
3800,0,0,100
3820,0,0,100
3840,0,0,100
3860,0,0,100
3880,0,0,100
3900,2,0,98
3920,8,0,91
3940,8,0,87
3960,10,0,87
3980,31,0,65
4000,8,1,86
4020,12,0,87
4040,26,1,62
4060,6,0,90
4080,20,0,77
4100,19,1,73
4120,5,2,91
4140,5,0,90
4160,4,1,90
4180,16,7,71
4200,25,4,67
4220,4,8,83
4240,6,12,81
4260,20,11,57
4280,38,3,55
4300,17,1,70
4320,18,2,75
4340,32,6,56
4360,20,10,66
4380,9,6,76
4400,5,10,81
4420,2,4,94
4440,2,2,96
4460,0,0,100
4480,0,0,99
4500,0,5,94
4520,3,7,89
4540,1,4,90
4560,9,3,85
4580,13,8,76
4600,14,12,63
4620,22,11,60
4640,45,12,39
4660,20,30,38
4680,30,33,27
4700,6,25,62
4720,4,44,42
4740,0,26,68
4760,1,39,53
4780,1,27,64
4800,0,4,93
4820,1,12,83
4840,1,1,98
4860,1,3,93
4880,0,17,81
4900,0,6,94
4920,0,7,89
4940,6,5,86
4960,0,0,100
4980,0,2,97
5000,2,0,96
5020,0,13,85
5040,0,10,88
5060,0,11,87
5080,0,1,98
5100,0,1,99
5120,0,0,99
5140,0,2,96
5160,0,1,99
5180,0,1,98
5200,0,1,95
5220,0,0,99
5240,2,1,95
5260,1,1,96
5280,2,1,96
5300,7,3,86
5320,2,2,96
5340,3,1,96
5360,0,6,91
5380,1,3,94
5400,3,1,95
5420,0,0,100
5440,1,1,98
5460,2,3,95
5480,6,7,85
5500,7,14,79
5520,9,7,84
5540,12,4,84
5560,5,7,88
5580,5,10,85
5600,6,22,72
5620,24,44,29
5640,11,18,65
5660,21,17,53
5680,35,10,44
5700,21,12,59
5720,18,16,52
5740,20,9,67
5760,33,5,57
5780,24,8,60
5800,8,5,81
5820,5,8,84
5840,1,13,80
5860,0,0,99
5880,0,5,94
5900,0,1,96
5920,0,3,96
5940,0,10,87
5960,0,5,91
5980,2,3,92
6000,0,3,97
6020,5,1,93
6040,6,6,87
6060,27,6,57
6080,33,6,58
6100,35,2,60
6120,61,3,30
6140,58,4,34
6160,10,0,83
6180,9,4,82
6200,2,4,90
6220,1,3,96
6240,2,4,93
6260,0,3,97
6280,0,4,95
6300,0,19,78
6320,0,9,88
6340,1,5,94
6360,0,9,86
6380,0,15,75
6400,0,9,89
6420,0,12,85
6440,0,2,97
6460,0,0,100
6480,0,1,99
6500,0,0,100
6520,0,0,100
6540,0,0,99
6560,0,0,100
6580,0,0,100
6600,0,1,99
6620,3,2,94
6640,3,0,97
6660,4,1,92
6680,2,3,93
6700,6,4,89
6720,1,12,83
6740,4,0,94
6760,0,1,99
6780,2,0,96
