pointer,NC_033818,NC_034206,HF677705
100,-1,-1,-1
120,-1,-1,-1
140,40,58,2
160,43,56,1
180,66,26,8
200,61,28,11
220,87,11,2
240,84,10,6
260,88,10,2
280,57,13,30
300,68,11,21
320,46,13,41
340,57,6,37
360,28,7,65
380,39,16,45
400,42,21,37
420,62,18,20
440,81,10,9
460,47,20,33
480,42,32,26
500,38,34,28
520,87,8,5
540,75,14,11
560,95,4,1
580,99,1,0
600,96,2,2
620,100,0,0
640,100,0,0
660,100,0,0
680,100,0,0
700,100,0,0
720,100,0,0
740,100,0,0
760,99,1,0
780,100,0,0
800,100,0,0
820,100,0,0
840,100,0,0
860,100,0,0
880,100,0,0
900,100,0,0
920,99,0,1
940,100,0,0
960,98,0,2
980,100,0,0
1000,100,0,0
1020,97,1,2
1040,94,2,4
1060,97,0,3
1080,91,6,3
1100,95,2,3
1120,95,2,3
1140,96,2,2
1160,92,6,2
1180,99,1,0
1200,97,3,0
1220,98,1,1
1240,96,4,0
1260,99,1,0
1280,94,0,6
1300,91,1,8
1320,98,0,2
1340,100,0,0
1360,97,2,1
1380,93,1,6
1400,96,1,3
1420,97,0,3
1440,97,1,2
1460,95,4,1
1480,96,4,0
1500,86,13,1
1520,73,25,2
1540,91,8,1
1560,96,3,1
1580,92,6,2
1600,75,19,6
1620,90,8,2
1640,98,1,1
1660,100,0,0
1680,97,2,1
1700,95,5,0
1720,91,6,3
1740,94,6,0
1760,88,12,0
1780,96,3,1
1800,96,4,0
1820,76,23,1
1840,73,24,3
1860,58,40,2
1880,69,26,5
1900,82,6,12
1920,61,27,12
1940,55,35,10
1960,82,10,8
1980,77,13,10
2000,71,17,12
2020,74,4,22
2040,66,1,33
2060,58,2,40
2080,88,0,12
2100,98,0,2
2120,99,0,1
2140,97,0,3
2160,98,0,2
2180,99,0,1
2200,100,0,0
2220,100,0,0
2240,100,0,0
2260,100,0,0
2280,100,0,0
2300,100,0,0
2320,99,0,1
2340,100,0,0
2360,99,1,0
2380,100,0,0
