pointer,OQ818318,OQ818324,OM105029,OM966657
100,3,60,0,0
120,2,82,0,0
140,0,77,0,0
160,3,82,0,0
180,0,96,0,0
200,4,91,0,0
220,5,90,0,0
240,7,90,0,0
260,10,87,0,0
280,5,95,0,0
300,5,93,0,0
320,6,93,0,0
340,1,99,0,0
360,0,100,0,0
380,0,100,0,0
400,1,98,0,0
420,7,93,0,0
440,8,90,0,0
460,13,87,0,0
480,16,84,0,0
500,24,75,0,0
520,37,63,0,0
540,50,50,0,0
560,56,44,0,0
580,58,42,0,0
600,69,31,0,0
620,59,36,0,0
640,45,47,0,0
660,40,57,0,0
680,29,54,0,0
700,26,68,0,0
720,12,54,0,0
740,6,70,0,0
760,12,58,0,0
780,4,86,0,0
800,3,95,0,0
820,0,99,0,0
840,0,100,0,0
860,2,97,0,0
880,1,99,0,0
900,5,92,0,0
920,2,98,0,0
940,3,96,0,0
960,1,99,0,0
980,7,93,0,0
1000,0,98,0,0
1020,2,95,0,0
1040,1,99,0,0
1060,1,93,0,0
1080,6,93,0,0
1100,4,96,0,0
1120,1,85,0,0
1140,1,95,0,0
1160,0,97,0,0
1180,1,90,0,0
1200,6,87,0,0
1220,2,96,0,0
1240,12,84,0,0
1260,28,63,0,0
1280,10,70,0,0
1300,5,75,0,0
1320,13,85,0,0
1340,36,63,0,0
1360,31,69,0,0
1380,34,40,0,0
1400,23,62,0,0
1420,31,55,0,0
1440,21,43,0,0
1460,7,45,0,0
1480,14,65,0,0
1500,25,50,0,0
1520,38,37,0,0
1540,35,20,0,0
1560,41,19,0,0
1580,24,75,0,0
1600,35,56,0,0
1620,31,51,0,0
1640,32,64,0,0
1660,20,77,0,0
1680,26,68,0,0
1700,8,91,0,0
1720,1,99,0,0
1740,0,100,0,0
1760,0,100,0,0
1780,1,99,0,0
1800,0,100,0,0
1820,0,96,0,0
1840,1,95,0,0
1860,3,81,0,0
1880,6,68,0,0
1900,30,22,0,0
1920,25,32,0,0
1940,40,19,0,0
1960,14,20,0,0
1980,5,64,0,0
2000,15,60,0,0
2020,8,77,0,0
2040,1,87,0,0
2060,1,95,0,0
2080,2,97,0,0
2100,0,100,0,0
2120,0,98,0,0
2140,1,91,0,0
2160,0,99,0,0
2180,6,93,0,0
2200,0,98,0,0
2220,1,98,0,0
2240,3,97,0,0
2260,4,94,0,0
2280,0,100,0,0
2300,2,96,0,0
2320,3,97,0,0
2340,0,99,0,0
2360,0,99,0,0
2380,1,99,0,0
2400,3,97,0,0
2420,1,99,0,0
2440,3,97,0,0
2460,1,99,0,0
2480,0,100,0,0
2500,4,96,0,0
2520,3,97,0,0
2540,2,98,0,0
2560,1,99,0,0
2580,0,100,0,0
2600,4,96,0,0
2620,8,92,0,0
