,OQ818319,OQ818340,OQ818345,OQ818347,OQ818348,KX759618.1,KX759619.1,KX759621.1,KX759622.1,KX759623.1,KX759624.1,NC_033776.1
OQ818319,,85.728,9.934,64.730,43.889,55.726,57.741,55.865,53.789,60.938,83.087,53.789
OQ818340,85.728,,2.250,60.241,38.484,61.574,68.947,61.574,60.093,67.967,0.000,60.093
OQ818345,9.934,2.250,,2.073,2.200,9.365,9.935,9.365,9.318,9.466,25.316,9.318
OQ818347,64.730,60.241,2.073,,49.302,64.869,63.398,64.869,64.177,65.975,0.000,64.177
OQ818348,43.889,38.484,2.200,49.302,,42.222,41.842,42.222,42.333,43.222,0.000,42.333
KX759618.1,55.726,61.574,9.365,64.869,42.222,,50.002,99.509,76.301,53.823,49.167,76.256
KX759619.1,57.741,68.947,9.935,63.398,41.842,50.002,,50.047,50.633,72.195,48.497,50.633
KX759621.1,55.865,61.574,9.365,64.869,42.222,99.509,50.047,,76.110,53.315,49.375,76.070
KX759622.1,53.789,60.093,9.318,64.177,42.333,76.301,50.633,76.110,,53.792,50.000,99.960
KX759623.1,60.938,67.967,9.466,65.975,43.222,53.823,72.195,53.315,53.792,,59.158,53.792
KX759624.1,83.087,0.000,25.316,0.000,0.000,49.167,48.497,49.375,50.000,59.158,,50.000
NC_033776.1,53.789,60.093,9.318,64.177,42.333,76.256,50.633,76.070,99.960,53.792,50.000,
