molecule,start,end,gene,type
Bat picornavirus,1,616,5'UTR,full
Bat picornavirus,617,8124,Polyprotein,full
Bat picornavirus,8125,8398,3'UTR,full
Hepatovirus,1,805,5'UTR,full
Hepatovirus,806,7761,Polyprotein,full
Hepatovirus,7762,7917,3'UTR,full
Kobuvirus,1,762,5'UTR,full
Kobuvirus,763,8177,Polyprotein,full
Kobuvirus,8178,8533,3'UTR,full
Kunsagivirus,1,629,5'UTR,full
Kunsagivirus,630,7798,Polyprotein,full
Kunsagivirus,7799,7971,3'UTR,full
Mischivirus,1,1318,5'UTR,full
Mischivirus,1319,8637,Polyprotein,full
Mischivirus,8638,8889,3'UTR,full
Sapelovirus,1,516,5'UTR,full
Sapelovirus,517,8010,Polyprotein,full
Sapelovirus,8011,8225,3'UTR,full
Teschovirus,1,602,5'UTR,full
Teschovirus,603,7578,Polyprotein,full
Teschovirus,7579,7696,3'UTR,full
Sapovirus,1,7023,Polyprotein,full
Sapovirus,7087,7798,Minor structural protein,full
Sapovirus,7799,7911,3'UTR,full
Bat picornavirus left,1,628,5'UTR,partial
Bat picornavirus left,629,2834,Polyprotein,partial
Bat picornavirus mid,2779,5424,Polyprotein,partial
Bat picornavirus right,5530,6165,Polyprotein,partial
Kobuvirus mid,2489,5326,Polyprotein,partial
Sapovirus mid,2695,4850,Polyprotein,partial
Sapovirus right,6667,7022,Polyprotein,partial
Sapovirus right,7086,7842,Minor structural protein,partial
Sapovirus right,7843,7890,3'UTR,partial
Teschovirus all,4561,7591,Polyprotein,partial
