Position in alignment,rhinolophus_BtSY4 - OQ818325,rhinolophus_BtSY4 - PP766469,OQ818325 - PP766469
20,0,0,0
40,0,0,0
60,0,0,0
80,0,0,0
100,0,0,0
120,0,0,0
140,0,0,0
160,0,0,0
180,0,52,0
200,38,11,30
220,13,50,27
240,3,47,41
260,0,86,11
280,2,84,11
300,2,28,60
320,4,63,30
340,3,54,41
360,3,44,53
380,8,35,56
400,1,31,68
420,5,6,88
440,15,4,81
460,7,5,87
480,16,3,80
500,22,13,64
520,16,1,81
540,22,6,71
560,60,6,33
580,86,1,12
600,78,6,16
620,97,2,1
640,96,3,1
660,95,4,1
680,98,1,1
700,97,3,0
720,86,13,0
740,91,5,3
760,32,11,56
780,39,0,61
800,42,0,58
820,14,0,86
840,3,0,97
860,0,0,100
880,0,0,100
900,0,0,100
920,0,0,100
940,0,0,100
960,0,0,100
980,0,0,100
1000,0,0,100
1020,0,0,100
1040,0,0,100
1060,0,1,99
1080,0,0,100
1100,2,5,93
1120,2,5,93
1140,4,1,95
1160,14,25,58
1180,6,23,70
1200,28,11,60
1220,49,19,27
1240,21,10,67
1260,40,22,36
1280,29,44,18
1300,31,21,46
1320,40,12,44
1340,30,38,22
1360,18,6,76
1380,22,2,76
1400,9,0,90
1420,0,0,100
1440,17,0,83
1460,8,0,92
1480,5,0,95
1500,1,0,99
1520,2,0,98
1540,0,0,100
1560,0,0,100
1580,1,0,99
1600,1,0,99
1620,0,0,100
1640,1,0,99
1660,0,0,100
1680,0,0,100
1700,2,6,92
1720,1,2,97
1740,0,2,97
1760,31,6,60
1780,30,2,66
1800,57,2,40
1820,78,3,16
1840,60,13,25
1860,40,11,47
1880,70,2,26
1900,62,22,11
1920,72,11,9
1940,74,15,6
1960,41,33,16
1980,24,48,17
2000,26,64,2
2020,22,60,9
2040,55,32,4
2060,69,14,6
2080,84,2,13
2100,56,2,42
2120,40,0,59
2140,34,2,64
2160,39,0,60
2180,13,0,87
2200,3,0,97
2220,1,0,99
2240,0,0,100
2260,1,0,99
2280,0,3,97
2300,4,26,70
2320,4,34,62
2340,17,16,66
2360,17,12,66
2380,59,5,33
2400,34,1,64
2420,50,0,47
2440,27,1,71
2460,15,6,75
2480,2,6,91
2500,1,1,97
2520,7,1,92
2540,15,8,77
2560,22,3,73
2580,13,2,84
2600,19,3,78
2620,21,1,76
2640,24,1,75
2660,18,3,78
2680,21,0,79
2700,22,1,76
2720,13,2,81
2740,4,4,92
2760,1,2,97
2780,0,0,100
2800,0,3,97
2820,2,4,93
2840,0,1,99
2860,0,1,99
2880,0,0,100
2900,0,0,100
2920,0,0,100
2940,0,0,100
2960,0,5,95
2980,0,1,99
3000,0,2,98
3020,0,0,100
3040,0,4,96
3060,0,12,88
3080,1,3,96
3100,9,6,85
3120,1,4,95
3140,5,5,89
3160,2,0,98
3180,1,0,99
3200,0,0,100
3220,0,0,100
3240,0,0,100
3260,0,0,100
3280,0,0,100
3300,0,0,100
3320,0,0,100
3340,0,0,100
3360,0,0,100
3380,0,0,100
3400,0,0,100
3420,0,0,100
3440,0,0,100
3460,0,0,100
3480,0,0,100
3500,0,0,100
3520,0,0,100
3540,0,0,100
3560,0,0,100
3580,0,0,100
3600,0,0,100
3620,1,0,99
3640,4,1,92
3660,0,0,99
3680,0,0,97
3700,0,0,95
3720,11,0,89
3740,10,0,90
3760,9,3,86
3780,69,1,29
3800,38,3,57
3820,38,8,54
3840,9,0,91
3860,12,0,87
3880,7,3,90
3900,5,2,93
3920,0,0,100
3940,0,6,94
3960,1,7,91
3980,0,6,94
4000,0,7,93
4020,0,8,92
4040,0,4,95
4060,0,9,91
4080,0,0,100
4100,0,0,100
4120,0,0,100
4140,0,0,100
4160,0,0,100
4180,0,0,100
4200,0,0,100
4220,0,0,100
4240,0,0,100
4260,0,0,100
4280,0,0,100
4300,1,0,99
4320,0,0,100
4340,0,0,100
4360,0,1,99
4380,0,0,100
4400,0,0,100
4420,0,2,98
4440,0,0,100
4460,0,0,100
4480,0,0,100
4500,0,0,100
4520,0,0,100
4540,0,0,100
4560,0,0,100
4580,0,0,100
4600,0,0,100
4620,0,0,100
4640,0,0,100
4660,0,0,100
4680,0,0,100
4700,0,0,100
4720,0,0,100
4740,1,0,99
4760,0,2,98
4780,0,0,100
4800,0,2,98
4820,0,4,96
4840,6,1,93
4860,1,7,92
4880,2,17,81
4900,7,20,71
4920,16,17,67
4940,21,12,66
4960,25,1,73
4980,18,0,81
5000,23,2,75
5020,34,0,66
5040,57,1,41
5060,31,0,69
5080,32,0,68
5100,25,0,75
5120,21,0,79
5140,62,1,35
5160,22,5,73
5180,34,2,64
5200,14,0,86
5220,6,6,86
5240,2,10,88
5260,23,10,62
5280,60,18,14
5300,76,14,4
5320,63,19,7
5340,60,23,10
5360,64,20,0
5380,44,47,1
5400,44,46,0
5420,54,38,0
5440,72,21,1
5460,56,31,2
5480,51,36,5
5500,27,44,25
5520,26,30,37
5540,32,34,31
5560,28,11,56
5580,71,3,23
5600,64,9,23
5620,61,2,37
5640,39,3,57
5660,18,3,79
5680,10,0,90
5700,3,3,94
5720,8,6,86
5740,16,10,73
5760,4,15,81
5780,2,7,91
5800,2,2,96
5820,0,38,62
5840,1,68,31
5860,1,80,19
5880,12,80,8
5900,16,82,1
5920,36,57,4
5940,17,82,0
5960,4,94,0
5980,8,89,0
6000,17,82,0
6020,14,81,2
6040,16,80,1
6060,19,75,0
6080,40,45,0
6100,37,51,5
6120,17,34,47
6140,37,7,55
6160,13,1,85
6180,1,0,99
6200,0,8,92
6220,0,3,96
6240,1,5,93
6260,0,4,96
6280,0,1,99
6300,0,15,85
6320,1,20,78
6340,7,48,43
6360,10,42,45
6380,29,43,19
6400,82,6,10
6420,82,10,1
6440,70,19,6
6460,74,14,11
6480,73,15,9
6500,83,15,1
6520,66,11,19
6540,64,5,30
6560,57,8,30
6580,23,3,74
6600,7,0,93
6620,6,0,94
6640,12,1,87
6660,22,8,70
6680,21,13,65
6700,27,2,68
6720,51,8,40
6740,56,2,37
6760,67,10,16
