molecule,start,end,mid,gene,type
Bat picornavirus,1,521,370,5'UTR,full
Bat picornavirus,7907,8133,7700,3'UTR,full
Cheravirus,406,3593,1999.5,Polyprotein,partial
Felisavirus,1,5665,1000,Non-structural polyprotein,partial
Felisavirus,5739,8738,6000,Structural polyprotein,partial
Felisavirus,8739,9188,8739,3'UTR,partial
Hepatovirus,1,903,300,5'UTR,partial
Kobuvirus,1,850,500,5'UTR,full
Kobuvirus,8990,9318,8990,3'UTR,full
Kunsagivirus,1,612,400,5'UTR,full
Kunsagivirus,7804,7946,7700,3'UTR,full
Mischivirus,1,1519,500,5'UTR,full
Mischivirus,8745,8930,8600,3'UTR,full
Sapelovirus,1,498,400,5'UTR,full
Sapelovirus,8244,8318,7900,3'UTR,full
Sapelovirus,1,746,746,5'UTR,partial
Sapelovirus,8481,8623,8481,3'UTR,partial
Teschovirus,1,578,300,5'UTR,full
Teschovirus,7384,7396,7100,3'UTR,full
Bat picornavirus,521,835,700,L,full
Bat picornavirus,836,1033,970,VP4,full
Bat picornavirus,1034,1777,1500,VP2,full
Bat picornavirus,1778,2479,2128.5,VP3,full
Bat picornavirus,2480,3415,2947.5,VP1,full
Bat picornavirus,3416,4114,3765,2A,full
Bat picornavirus,4115,4465,4290,2B,full
Bat picornavirus,4466,5461,4963.5,2C,full
Bat picornavirus,5462,5860,5400,3A,full
Bat picornavirus,5861,5929,5895,3B,full
Bat picornavirus,5930,6478,6400,3C,full
Bat picornavirus,6479,7610,6950,3D,full
Hepatovirus,904,982,943,VP4,full
Hepatovirus,983,1648,1400,VP2,full
Hepatovirus,1649,2413,2031,VP3,full
Hepatovirus,2414,3175,2794.5,VP1/2A,full
Hepatovirus,3176,3484,3330,2B,full
Hepatovirus,3485,4405,3945,2C,full
Hepatovirus,4406,5410,4500,3A,full
Hepatovirus,5411,5770,5590.5,3B,full
Hepatovirus,5771,6299,6035,3C,full
Kobuvirus,851,1638,1244.5,L,full
Kobuvirus,1639,2814,2226.5,VP0,full
Kobuvirus,2815,3491,3153,VP3,full
Kobuvirus,3492,4395,3943.5,VP1,full
Kobuvirus,4396,4871,4633.5,2A,full
Kobuvirus,4872,5499,5185.5,2B,full
Kobuvirus,5500,6539,6019.5,2C,full
Kobuvirus,6540,6838,6540,3A,full
Kobuvirus,6839,6950,6894.5,3B,full
Kobuvirus,6951,7550,7400,3C,full
Kobuvirus,7551,8975,8263,3D,full
Kunsagivirus,613,1593,1103,VP0,full
Kunsagivirus,1594,2277,1935.5,VP3,full
Kunsagivirus,2278,3061,2669.5,VP1,full
Kunsagivirus,3062,3577,3319.5,2A,full
Kunsagivirus,3578,3911,3744.5,2B,full
Kunsagivirus,3912,5135,4523.5,2C,full
Kunsagivirus,5136,5561,5150,3A,full
Kunsagivirus,5562,5633,5597.5,3B,full
Kunsagivirus,5634,6267,6000,3C,full
Kunsagivirus,6268,7764,6900,3D,full
Mischivirus,1520,1751,1635.5,L,full
Mischivirus,1752,2891,2321.5,VP0,full
Mischivirus,2892,3704,3298,VP3,full
Mischivirus,3705,4493,4099,VP1,full
Mischivirus,4494,4622,4558,2A,full
Mischivirus,4623,5102,5000,2B,full
Mischivirus,5103,6165,5634,2C,full
Mischivirus,6166,6593,6200,3A,full
Mischivirus,6594,6764,6679,3B,full
Mischivirus,6765,7478,7121.5,3C,full
Mischivirus,7479,8723,7900,3D,full
Sapelovirus,499,1142,900,L,full
Sapelovirus,1143,1295,1280,VP4,full
Sapelovirus,1296,2009,1800,VP2,full
Sapelovirus,2010,2729,2369.5,VP3,full
Sapelovirus,2730,3656,3193,VP1,full
Sapelovirus,3657,4506,4081.5,2A,full
Sapelovirus,4507,4889,4748,2B,full
Sapelovirus,4899,5924,5411.5,2C,full
Sapelovirus,5925,6230,5800,3A,full
Sapelovirus,6231,6296,6263.5,3B,full
Sapelovirus,6297,6842,6700,3C,full
Sapelovirus,6843,8240,7200,3D,full
Sapelovirus,5451,5882,5666.5,2C,partial
Sapelovirus,5883,6188,6035.5,3A,partial
Sapelovirus,6189,6254,6221.5,3B,partial
Sapelovirus,6255,6800,6527.5,3C,partial
Sapelovirus,6801,7596,7198.5,3D,partial
Teschovirus,579,840,720,L,full
Teschovirus,841,1053,980,VP4,full
Teschovirus,1054,1941,1497.5,VP2,full
Teschovirus,1948,2682,2315,VP3,full
Teschovirus,2683,3525,3104,VP1,full
Teschovirus,3526,3582,3554,2A,full
Teschovirus,3583,4044,3900,2B,full
Teschovirus,4045,5019,4532,2C,full
Teschovirus,5020,5325,5000,3A,full
Teschovirus,5326,5400,5363,3B,full
Teschovirus,5401,6021,5711,3C,full
Teschovirus,6022,7368,6300,3D,full
Sapovirus,1062,2053,1557.5,Helicase,full
Sapovirus,2054,2897,2475.5,NS4,full
Sapovirus,2898,3251,3074.5,Vpg,full
Sapovirus,3252,5297,4274.5,Pro-Pol,full
Sapovirus,5298,6963,6130.5,VP1,full
Sapovirus,7001,7645,7323,VP2,full
