pointer,OQ818321,OQ818329,OQ818342,OQ818344,NC_033820.1
5048,71,78,93,90,58
5049,72,78,93,91,58
5050,72,78,93,92,59
5051,72,78,93,93,59
5052,72,77,93,94,60
5053,72,76,93,95,61
5054,72,75,93,96,61
5055,73,75,92,97,61
5056,73,75,92,98,60
5057,73,75,92,99,60
5058,74,76,92,100,60
5059,74,75,92,100,60
5060,73,74,92,100,61
5061,73,73,92,100,60
5062,73,73,92,100,59
5063,72,72,92,100,60
5064,72,73,92,100,61
5065,72,72,92,100,62
5066,71,71,92,100,62
5067,71,72,92,100,62
5068,71,72,92,100,62
5069,70,71,92,100,62
5070,71,72,92,100,63
5071,71,73,92,100,63
5072,70,74,91,100,64
5073,70,75,92,100,64
5074,70,76,92,100,64
5075,70,75,92,100,64
5076,71,75,92,100,65
5077,71,75,92,100,65
5078,71,74,92,100,65
5079,70,74,93,100,66
5080,70,75,93,100,66
5081,70,75,93,100,66
5082,71,75,93,100,66
5083,71,75,93,100,66
5084,70,74,93,100,66
5085,70,74,93,100,66
5086,70,74,93,100,66
5087,69,73,93,100,66
5088,70,73,94,100,66
5089,70,73,94,100,66
5090,69,72,94,100,67
5091,69,72,94,100,67
5092,69,72,94,100,67
5093,68,71,94,100,67
5094,69,71,94,100,68
5095,70,71,94,100,68
5096,69,70,93,99,67
5097,70,70,93,99,67
5098,70,69,94,99,68
5099,69,68,94,99,69
5100,69,68,94,99,69
5101,69,68,94,99,69
5102,68,67,94,99,69
5103,68,68,94,99,69
5104,68,68,94,99,69
5105,68,67,94,99,69
5106,69,68,95,99,69
5107,69,68,95,99,68
5108,69,68,95,99,67
5109,69,68,95,99,67
5110,69,68,95,99,67
5111,69,68,95,99,66
5112,69,68,95,99,66
5113,69,68,95,99,65
5114,69,67,95,99,66
5115,70,67,95,99,67
5116,70,67,95,99,67
5117,70,67,94,99,66
5118,70,67,94,99,66
5119,69,67,94,99,66
5120,69,66,94,99,67
5121,70,67,95,99,68
5122,71,68,95,99,68
5123,72,68,95,99,68
5124,73,68,95,99,69
5125,73,68,95,99,69
5126,72,68,95,99,68
5127,73,68,95,99,68
5128,74,68,95,99,67
5129,73,67,95,99,67
5130,73,68,95,99,67
5131,73,68,95,99,67
5132,73,67,95,99,67
5133,73,66,95,99,68
5134,73,66,95,99,68
5135,72,65,95,99,68
5136,73,65,96,99,68
5137,73,64,96,99,69
5138,73,63,96,99,69
5139,74,62,96,99,69
5140,74,62,96,99,69
5141,74,62,96,99,68
5142,75,62,96,99,68
5143,74,61,96,99,69
5144,73,61,96,98,69
5145,74,61,96,98,70
5146,74,61,96,98,69
5147,73,61,95,97,68
5148,74,62,95,97,68
5149,74,62,95,97,68
5150,73,61,95,97,68
5151,72,60,95,97,69
5152,72,61,95,97,69
5153,71,61,95,97,69
5154,71,61,95,97,69
5155,71,60,96,97,70
5156,71,59,96,97,70
5157,71,59,96,97,70
5158,71,58,96,97,70
5159,71,58,96,97,69
5160,72,58,96,97,69
5161,72,58,96,97,70
5162,72,57,96,97,70
5163,73,57,96,97,69
5164,73,56,96,97,68
5165,73,56,96,97,68
5166,73,56,96,97,68
5167,72,55,96,97,68
5168,71,54,96,97,67
5169,72,54,96,97,67
5170,71,53,96,97,67
5171,71,52,96,97,67
5172,72,51,97,97,67
5173,72,50,97,97,67
5174,72,49,97,97,67
5175,72,49,97,97,67
5176,72,49,97,97,67
5177,72,49,97,97,68
5178,71,50,97,97,68
5179,72,50,97,97,67
5180,71,49,97,97,67
5181,70,49,97,97,68
5182,70,49,97,97,68
5183,70,48,97,97,67
5184,70,48,97,97,67
5185,70,48,97,97,66
5186,70,48,97,97,65
5187,71,48,97,97,65
5188,71,49,97,97,65
5189,70,49,97,97,65
5190,70,50,97,97,65
5191,69,50,97,97,65
5192,69,50,97,97,65
5193,70,51,97,97,64
5194,70,51,97,97,64
5195,70,51,97,97,64
5196,71,51,98,98,65
5197,71,50,98,98,65
5198,71,51,98,98,65
5199,72,52,98,98,65
5200,72,52,98,98,65
5201,72,51,98,98,65
5202,73,52,98,98,64
5203,74,52,98,98,64
5204,73,51,98,98,63
5205,72,51,98,98,63
5206,72,50,98,98,64
5207,71,49,98,98,64
5208,71,49,98,98,65
5209,71,50,98,98,65
5210,70,49,98,98,65
5211,69,48,98,98,66
5212,70,47,98,98,67
5213,70,47,98,98,68
5214,70,48,98,98,68
5215,69,47,98,98,68
5216,69,46,98,98,68
5217,68,45,99,98,69
5218,68,44,99,98,70
5219,68,44,98,98,70
5220,67,45,98,98,69
5221,66,45,98,98,68
5222,65,45,98,98,67
