FileName: D:\kobu_bootscan_align_all_nt_mid.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","OQ818322","OQ818322"
"Ref","PP766456","PP766456"
"Ref","PP766451","PP766451"
"Query","OP287812.1"
"Ref","NC_034971.1","NC_034971.1"
"Ref","Rhinolophus_kobuvirus","Rhinolophus_kobuvirus"


"CenterPos","OQ818322","PP766456","PP766451","NC_034971.1","Rhinolophus_kobuvirus"
"100","41","10","0","0","0"
"120","43","7","5","0","0"
"140","33","15","4","0","0"
"160","38","7","3","0","0"
"180","39","9","1","0","0"
"200","44","10","3","0","0"
"220","55","1","6","0","0"
"240","87","0","2","0","0"
"260","82","6","5","0","0"
"280","84","4","8","0","0"
"300","79","5","5","0","0"
"320","55","2","41","0","0"
"340","55","1","36","0","0"
"360","51","1","44","0","0"
"380","71","0","19","0","0"
"400","55","0","34","0","0"
"420","62","1","30","0","0"
"440","32","3","50","0","0"
"460","21","4","62","0","0"
"480","25","4","55","0","0"
"500","31","2","49","0","0"
"520","32","27","2","0","0"
"540","35","21","1","0","0"
"560","36","22","0","0","0"
"580","10","50","17","0","0"
"600","49","21","3","0","0"
"620","52","23","1","0","0"
"640","62","20","2","0","0"
"660","51","22","5","0","0"
"680","44","5","14","0","0"
"700","33","5","4","0","0"
"720","19","3","0","0","0"
"740","21","3","1","0","0"
"760","23","4","0","0","0"
"780","23","4","0","0","0"
"800","10","13","1","0","0"
"820","7","11","1","0","0"
"840","49","7","1","0","0"
"860","52","2","0","0","0"
"880","64","2","0","0","0"
"900","84","5","0","0","0"
"920","96","2","1","0","0"
"940","91","4","0","0","0"
"960","98","0","0","0","0"
"980","89","3","0","0","0"
"1000","92","1","0","0","0"
"1020","95","2","0","0","0"
"1040","73","16","2","0","0"
"1060","64","20","0","0","0"
"1080","63","16","0","0","0"
"1100","84","5","0","0","0"
"1120","80","1","0","0","0"
"1140","71","1","0","0","0"
"1160","73","2","0","0","0"
"1180","74","1","0","0","0"
"1200","68","0","0","0","0"
"1220","51","2","0","0","0"
"1240","55","1","0","0","0"
"1260","53","0","0","0","0"
"1280","34","0","0","0","0"
"1300","0","1","0","0","0"
"1320","17","7","0","0","0"
"1340","58","2","2","0","0"
"1360","49","2","1","0","0"
"1380","60","3","0","0","0"
"1400","59","2","0","0","0"
"1420","76","8","0","0","0"
"1440","87","4","0","0","0"
"1460","99","0","0","0","0"
"1480","93","7","0","0","0"
"1500","95","5","0","0","0"
"1520","96","1","1","0","0"
"1540","74","12","7","0","0"
"1560","75","11","7","0","0"
"1580","78","15","6","0","0"
"1600","76","15","5","0","0"
"1620","90","4","2","0","0"
"1640","93","4","1","0","0"
"1660","62","5","15","0","0"
"1680","72","13","8","0","0"
"1700","70","14","8","0","0"
"1720","66","17","14","0","0"
"1740","70","6","2","0","0"
"1760","78","6","6","0","0"
"1780","62","6","10","0","0"
"1800","30","3","4","0","0"
"1820","65","0","0","0","0"
"1840","69","4","4","0","0"
"1860","65","0","1","0","0"
"1880","62","7","4","0","0"
"1900","69","2","1","0","0"
"1920","60","1","3","0","0"
"1940","76","2","3","0","0"
"1960","65","1","0","0","0"
"1980","66","1","1","0","0"
"2000","88","1","5","0","0"
"2020","70","4","6","0","0"
"2040","75","4","8","0","0"
"2060","75","8","7","0","0"
"2080","74","9","5","0","0"
"2100","43","0","2","0","0"
"2120","38","3","7","0","0"
"2140","47","1","3","0","0"
"2160","40","1","6","0","0"
"2180","49","5","3","0","0"
"2200","50","6","2","0","0"
"2220","64","6","3","0","0"
"2240","55","6","0","0","0"
"2260","50","8","1","0","0"
"2280","43","3","1","0","0"
"2300","30","0","0","0","0"
"2320","37","1","1","0","0"
"2340","29","0","0","0","0"
"2360","30","0","0","0","0"
"2380","30","1","0","0","0"
"2400","5","1","0","0","0"
"2420","37","0","1","0","0"
"2440","44","0","0","0","0"
"2460","50","1","0","0","0"
"2480","63","0","0","0","0"
"2500","96","1","0","0","0"
"2520","98","0","0","0","0"
"2540","99","0","0","0","0"
"2560","97","0","1","0","0"
"2580","97","0","1","0","0"
"2600","74","0","0","0","0"
"2620","51","6","0","0","0"
"2640","60","0","0","0","0"
"2660","56","3","0","0","0"
"2680","41","0","0","0","0"
"2700","43","1","0","0","0"
"2720","36","0","3","0","0"
"2740","40","2","5","0","0"
"2760","41","1","18","0","0"
