pointer,NC_033818,OP589993
49,NA,58
50,NA,58
51,NA,59
52,NA,58
53,NA,57
54,NA,58
55,NA,57
56,NA,58
57,NA,58
58,NA,58
59,NA,58
60,NA,58
61,NA,57
62,NA,58
63,NA,58
64,NA,59
65,NA,59
66,NA,59
67,NA,59
68,NA,58
69,NA,58
70,NA,58
71,NA,58
72,NA,58
73,NA,58
74,NA,58
75,NA,58
76,NA,58
77,NA,57
78,NA,56
79,NA,57
80,NA,56
81,NA,55
82,NA,54
83,NA,53
84,NA,52
85,NA,51
86,NA,52
87,NA,53
88,NA,54
89,NA,54
90,NA,54
91,NA,54
92,NA,55
93,NA,55
94,NA,55
95,NA,56
96,NA,56
97,NA,55
98,NA,54
99,NA,54
100,NA,55
101,NA,54
102,NA,54
103,NA,53
104,NA,53
105,NA,54
106,NA,53
107,NA,53
108,NA,54
109,NA,54.54545455
110,NA,54.54545455
111,NA,55.55555556
112,NA,56.56565657
113,NA,55.55555556
114,NA,55.55555556
115,NA,55.55555556
116,NA,54.54545455
117,NA,54.54545455
118,NA,53.53535354
119,NA,52.52525253
120,NA,52.52525253
121,NA,52.52525253
122,NA,52.52525253
123,NA,53.53535354
124,NA,53.53535354
125,NA,53.53535354
126,NA,53.53535354
127,NA,53.53535354
128,NA,53.53535354
129,NA,54.54545455
130,NA,55.55555556
131,29,56.56565657
132,30,57.57575758
133,31,58.58585859
134,32,59.5959596
135,33,60.60606061
136,34,60.60606061
137,35,60.60606061
138,36,60.60606061
139,37,61.61616162
140,38,61.61616162
141,39,61.61616162
142,40,61.61616162
143,41,62.62626263
144,42,63.63636364
145,43,63.63636364
146,44,64.64646465
147,45,64.64646465
148,46,65.65656566
149,46,65.65656566
150,47,65.65656566
151,48,65.65656566
152,49,65.65656566
153,50,65.65656566
154,51,64.64646465
155,51,64.64646465
156,51,63.63636364
157,52,62.62626263
158,53,62.62626263
159,54,63.63636364
160,55,63.63636364
161,56,63.63636364
162,56,63.63636364
163,57,62.62626263
164,58,61.61616162
165,59,61.61616162
166,60,61.61616162
167,61,61.61616162
168,61,61.61616162
169,61,61.61616162
170,62,61.61616162
171,63,61.61616162
172,63,60.60606061
173,63,59.5959596
174,64,59.5959596
175,65,58.58585859
176,66,58.58585859
177,67,58.58585859
178,68,59.5959596
179,69,59.5959596
180,70,60.60606061
181,71,61.61616162
182,72,62.62626263
183,72,62.62626263
184,73,63.63636364
185,74,64.64646465
186,75,63.63636364
187,76,62.62626263
188,77,61.61616162
189,78,62.62626263
190,79,62.62626263
191,80,62.62626263
192,80,62.62626263
193,80,62.62626263
194,80,62.62626263
195,80,62.62626263
