pointer,AB040749,AB084788,EU787450,KJ641686,KT325853,LC055961,OP287812
49,37.362637362637365,38.0,40.65934065934066,21.176470588235293,0.0,2.3529411764705883,24.705882352941178
50,37.77777777777778,38.0,41.11111111111111,21.428571428571427,0.0,1.1904761904761905,25.0
51,37.07865168539326,37.0,40.44943820224719,20.481927710843372,0.0,1.2048192771084338,25.301204819277107
52,36.36363636363637,36.0,39.77272727272727,19.51219512195122,0.0,0.0,25.609756097560975
53,35.63218390804598,35.0,39.08045977011494,19.753086419753085,0.0,0.0,25.925925925925924
54,34.883720930232556,34.0,38.372093023255815,20.0,0.0,0.0,26.25
55,35.294117647058826,34.0,38.82352941176471,20.0,0.0,0.0,26.25
56,35.714285714285715,34.0,39.285714285714285,20.0,0.0,0.0,26.25
57,36.144578313253014,34.0,39.75903614457831,20.0,0.0,0.0,26.25
58,36.58536585365854,34.0,40.243902439024396,20.0,0.0,0.0,26.25
59,37.03703703703704,34.0,40.74074074074074,20.0,0.0,0.0,26.25
60,37.5,34.0,41.25,20.0,0.0,0.0,26.25
61,38.75,35.0,42.5,20.0,0.0,0.0,27.500000000000004
62,40.0,36.0,43.75,20.0,0.0,0.0,28.749999999999996
63,41.25,37.0,45.0,20.0,0.0,0.0,30.0
64,42.5,37.0,46.25,20.0,0.0,0.0,31.25
65,42.5,37.0,46.25,20.0,0.0,0.0,32.5
66,41.25,36.0,46.25,20.0,0.0,0.0,33.75
67,41.25,36.0,46.25,20.0,0.0,0.0,35.0
68,40.0,35.0,45.0,20.0,0.0,0.0,36.25
69,40.0,35.0,43.75,20.0,0.0,0.0,37.5
70,40.0,35.0,43.75,20.253164556962027,0.0,0.0,37.9746835443038
71,40.0,35.0,43.75,20.253164556962027,0.0,0.0,39.24050632911392
72,40.0,36.0,43.75,20.253164556962027,0.0,0.0,40.50632911392405
73,38.75,35.0,42.5,20.253164556962027,0.0,0.0,41.77215189873418
74,38.75,35.0,42.5,20.253164556962027,0.0,0.0,43.037974683544306
75,39.24050632911392,35.0,43.037974683544306,20.51282051282051,0.0,0.0,43.58974358974359
76,39.743589743589745,35.0,43.58974358974359,20.77922077922078,0.0,0.0,44.15584415584416
77,38.961038961038966,34.0,42.857142857142854,21.052631578947366,0.0,0.0,44.73684210526316
78,40.25974025974026,35.0,44.15584415584416,21.052631578947366,0.0,0.0,46.05263157894737
79,40.25974025974026,35.0,44.15584415584416,21.052631578947366,0.0,0.0,47.368421052631575
80,40.25974025974026,35.0,44.15584415584416,21.052631578947366,0.0,0.0,48.68421052631579
81,40.25974025974026,34.0,44.15584415584416,21.052631578947366,0.0,0.0,50.0
82,41.55844155844156,35.0,45.45454545454545,21.052631578947366,0.0,0.0,51.31578947368421
83,41.55844155844156,35.0,45.45454545454545,21.052631578947366,0.0,0.0,52.63157894736842
84,42.857142857142854,36.0,46.75324675324675,21.052631578947366,0.0,0.0,53.94736842105263
85,42.857142857142854,36.0,46.75324675324675,21.333333333333336,0.0,0.0,54.666666666666664
86,44.15584415584416,36.0,46.75324675324675,21.333333333333336,0.0,0.0,56.00000000000001
87,44.15584415584416,35.0,45.45454545454545,20.0,0.0,0.0,57.333333333333336
88,44.15584415584416,36.0,45.45454545454545,20.0,0.0,0.0,58.666666666666664
89,44.15584415584416,36.0,45.45454545454545,18.666666666666668,0.0,0.0,60.0
90,42.857142857142854,35.0,44.15584415584416,18.666666666666668,0.0,0.0,61.33333333333333
91,41.55844155844156,34.0,42.857142857142854,18.666666666666668,0.0,0.0,62.66666666666667
92,42.857142857142854,34.0,44.15584415584416,18.666666666666668,0.0,0.0,64.0
93,44.15584415584416,34.0,45.45454545454545,18.666666666666668,0.0,0.0,65.33333333333333
94,44.15584415584416,34.0,45.45454545454545,18.666666666666668,0.0,0.0,66.66666666666666
95,45.45454545454545,35.0,46.75324675324675,18.666666666666668,0.0,0.0,68.0
96,44.15584415584416,35.0,45.45454545454545,17.333333333333336,0.0,0.0,69.33333333333334
97,45.45454545454545,36.0,46.75324675324675,17.333333333333336,0.0,0.0,70.66666666666667
98,45.45454545454545,35.0,46.75324675324675,16.0,0.0,0.0,72.0
99,45.45454545454545,35.0,46.75324675324675,14.666666666666666,0.0,0.0,73.33333333333333
100,46.75324675324675,36.0,46.75324675324675,14.666666666666666,0.0,0.0,74.66666666666667
101,46.75324675324675,35.0,45.45454545454545,14.666666666666666,0.0,0.0,76.0
102,48.05194805194805,36.0,46.75324675324675,13.333333333333334,0.0,0.0,77.33333333333333
103,48.05194805194805,36.0,46.75324675324675,12.0,0.0,0.0,78.66666666666666
104,49.35064935064935,36.0,46.75324675324675,12.0,0.0,0.0,80.0
105,50.649350649350644,36.0,46.75324675324675,12.0,0.0,0.0,81.33333333333333
106,51.94805194805194,36.0,48.05194805194805,12.0,0.0,0.0,82.66666666666667
107,53.246753246753244,36.0,49.35064935064935,12.0,0.0,0.0,84.0
108,54.54545454545454,37.0,49.35064935064935,12.0,0.0,0.0,85.33333333333334
109,55.84415584415584,37.0,49.35064935064935,12.0,0.0,0.0,86.66666666666667
110,55.84415584415584,38.0,49.35064935064935,12.0,0.0,0.0,88.0
111,55.84415584415584,39.0,49.35064935064935,12.0,0.0,0.0,89.33333333333333
112,57.14285714285714,39.0,49.35064935064935,13.333333333333334,0.0,0.0,90.66666666666666
113,58.44155844155844,39.0,49.35064935064935,14.666666666666666,0.0,0.0,92.0
114,58.44155844155844,40.0,49.35064935064935,14.666666666666666,0.0,0.0,93.33333333333333
115,58.44155844155844,41.0,49.35064935064935,16.0,0.0,0.0,94.66666666666667
116,59.74025974025974,41.0,50.649350649350644,16.0,0.0,0.0,96.0
117,61.038961038961034,42.0,51.94805194805194,17.333333333333336,0.0,0.0,97.33333333333334
118,61.038961038961034,41.0,50.649350649350644,18.666666666666668,0.0,0.0,98.66666666666667
119,61.038961038961034,41.0,51.94805194805194,18.666666666666668,0.0,0.0,100.0
120,62.33766233766234,40.0,51.94805194805194,20.0,0.0,0.0,100.0
121,61.038961038961034,40.0,51.94805194805194,21.333333333333336,0.0,0.0,100.0
122,62.33766233766234,39.0,50.649350649350644,22.666666666666664,0.0,0.0,100.0
123,62.33766233766234,38.0,51.94805194805194,21.333333333333336,0.0,0.0,100.0
124,62.33766233766234,38.0,53.246753246753244,21.333333333333336,0.0,0.0,100.0
125,63.63636363636363,37.0,53.246753246753244,20.0,0.0,0.0,100.0
126,63.63636363636363,37.0,53.246753246753244,20.0,0.0,0.0,100.0
127,63.63636363636363,37.0,51.94805194805194,20.0,0.0,0.0,100.0
128,62.33766233766234,36.0,50.649350649350644,20.0,0.0,0.0,100.0
129,62.33766233766234,36.0,50.649350649350644,20.0,0.0,0.0,100.0
130,62.33766233766234,37.0,49.35064935064935,21.333333333333336,0.0,0.0,100.0
131,62.33766233766234,36.0,48.05194805194805,21.333333333333336,0.0,0.0,100.0
132,62.33766233766234,35.35353535353536,48.68421052631579,20.27027027027027,0.0,0.0,100.0
133,61.038961038961034,34.69387755102041,48.0,19.17808219178082,0.0,0.0,100.0
134,61.038961038961034,34.02061855670103,48.64864864864865,19.444444444444446,0.0,0.0,100.0
135,61.038961038961034,33.33333333333333,49.31506849315068,18.30985915492958,0.0,0.0,100.0
136,59.74025974025974,32.631578947368425,48.61111111111111,18.571428571428573,0.0,0.0,100.0
137,58.44155844155844,31.914893617021278,47.88732394366197,17.391304347826086,0.0,0.0,100.0
138,58.44155844155844,31.914893617021278,48.57142857142857,15.942028985507244,0.0,0.0,100.0
139,59.74025974025974,31.914893617021278,48.57142857142857,17.391304347826086,0.0,0.0,100.0
140,59.74025974025974,30.851063829787233,47.14285714285714,17.391304347826086,0.0,0.0,100.0
141,60.256410256410255,31.914893617021278,46.478873239436616,18.571428571428573,0.0,0.0,100.0
142,60.75949367088608,32.97872340425532,45.83333333333333,18.30985915492958,0.0,0.0,100.0
143,61.25000000000001,34.04255319148936,45.20547945205479,18.055555555555554,0.0,0.0,100.0
144,60.49382716049383,34.04255319148936,44.5945945945946,17.80821917808219,0.0,0.0,100.0
145,59.756097560975604,34.04255319148936,44.0,17.56756756756757,0.0,0.0,100.0
146,60.24096385542169,34.04255319148936,43.42105263157895,17.333333333333336,0.0,0.0,100.0
147,60.71428571428571,35.1063829787234,42.857142857142854,17.105263157894736,0.0,0.0,100.0
148,61.1764705882353,35.1063829787234,42.30769230769231,16.883116883116884,0.0,0.0,100.0
149,61.627906976744185,35.1063829787234,41.77215189873418,16.666666666666664,0.0,0.0,100.0
150,62.06896551724138,35.1063829787234,41.25,16.455696202531644,0.0,0.0,100.0
151,62.5,35.1063829787234,40.74074074074074,16.25,0.0,0.0,100.0
152,62.92134831460674,36.17021276595745,40.243902439024396,16.049382716049383,0.0,0.0,100.0
153,63.33333333333333,36.17021276595745,39.75903614457831,15.853658536585366,0.0,0.0,100.0
154,63.73626373626373,36.17021276595745,39.285714285714285,16.867469879518072,0.0,0.0,100.0
155,64.13043478260869,37.234042553191486,38.82352941176471,16.666666666666664,0.0,0.0,100.0
156,64.51612903225806,37.234042553191486,38.372093023255815,17.647058823529413,0.0,0.0,100.0
157,63.829787234042556,37.234042553191486,37.93103448275862,17.441860465116278,0.0,0.0,100.0
158,63.1578947368421,37.234042553191486,37.5,17.24137931034483,0.0,0.0,100.0
159,62.5,37.234042553191486,37.07865168539326,17.045454545454543,0.0,0.0,100.0
160,62.88659793814433,37.234042553191486,37.77777777777778,17.97752808988764,0.0,0.0,100.0
161,62.88659793814433,36.17021276595745,36.666666666666664,17.97752808988764,0.0,0.0,100.0
162,62.88659793814433,36.17021276595745,36.666666666666664,19.101123595505616,0.0,0.0,100.0
163,62.88659793814433,35.1063829787234,35.55555555555556,20.224719101123593,0.0,0.0,100.0
164,62.88659793814433,36.17021276595745,35.55555555555556,20.224719101123593,0.0,0.0,100.0
165,63.91752577319587,37.234042553191486,36.666666666666664,21.34831460674157,0.0,0.0,100.0
166,64.94845360824742,37.234042553191486,36.666666666666664,22.47191011235955,0.0,0.0,98.86363636363636
167,65.97938144329896,38.297872340425535,37.77777777777778,23.595505617977526,0.0,0.0,98.86363636363636
168,67.0103092783505,39.361702127659576,38.88888888888889,24.719101123595504,0.0,0.0,98.86363636363636
169,65.97938144329896,39.361702127659576,38.88888888888889,24.719101123595504,0.0,0.0,98.86363636363636
170,65.97938144329896,40.42553191489361,38.88888888888889,24.444444444444443,0.0,0.0,98.87640449438202
171,65.97938144329896,39.361702127659576,37.77777777777778,24.444444444444443,0.0,0.0,98.87640449438202
172,65.97938144329896,38.297872340425535,36.666666666666664,24.444444444444443,0.0,0.0,98.87640449438202
173,67.0103092783505,39.361702127659576,36.666666666666664,24.444444444444443,0.0,0.0,98.87640449438202
174,67.0103092783505,39.361702127659576,35.55555555555556,24.444444444444443,0.0,0.0,98.87640449438202
175,66.3265306122449,39.361702127659576,35.16483516483517,24.175824175824175,0.0,0.0,98.88888888888889
176,66.66666666666666,40.42553191489361,34.78260869565217,23.91304347826087,0.0,0.0,98.9010989010989
177,66.0,40.42553191489361,34.40860215053764,23.655913978494624,0.0,0.0,98.91304347826086
178,65.0,39.361702127659576,33.33333333333333,23.655913978494624,0.0,0.0,98.91304347826086
179,65.0,38.297872340425535,32.25806451612903,23.655913978494624,0.0,0.0,98.91304347826086
180,64.0,37.234042553191486,31.182795698924732,23.655913978494624,0.0,0.0,98.91304347826086
181,64.0,37.234042553191486,30.107526881720432,23.655913978494624,0.0,0.0,98.91304347826086
182,64.0,36.17021276595745,29.03225806451613,23.655913978494624,0.0,0.0,98.91304347826086
183,64.0,36.17021276595745,29.03225806451613,23.655913978494624,0.0,0.0,98.91304347826086
184,63.0,35.1063829787234,27.956989247311824,23.655913978494624,0.0,0.0,98.91304347826086
185,64.0,35.1063829787234,27.956989247311824,23.404255319148938,0.0,0.0,98.9247311827957
186,64.0,35.1063829787234,27.956989247311824,23.404255319148938,0.0,0.0,98.9247311827957
187,64.0,35.1063829787234,27.956989247311824,23.404255319148938,0.0,0.0,98.9247311827957
188,64.0,34.04255319148936,27.956989247311824,23.404255319148938,0.0,0.0,98.9247311827957
189,64.0,32.97872340425532,26.881720430107524,23.404255319148938,0.0,0.0,98.9247311827957
190,64.0,33.33333333333333,27.173913043478258,23.655913978494624,0.0,0.0,98.91304347826086
191,65.0,33.33333333333333,27.173913043478258,23.655913978494624,0.0,0.0,98.91304347826086
