pointer,OQ818325,PP711945,PP711912,PP711930,PP766469,PV788825
49,30.52631579,15.30612245,2.272727273,15.30612245,0,25.84269663
50,31.25,15.15151515,2.222222222,15.30612245,0,26.66666667
51,31.95876289,15.15151515,2.173913043,15.30612245,0,27.47252747
52,32.98969072,16.16161616,4.255319149,16.32653061,0,27.17391304
53,34.02061856,17.17171717,6.25,17.34693878,0,27.95698925
54,35.05154639,18.18181818,8.163265306,18.36734694,0,28.72340426
55,36.08247423,19.19191919,10,19.3877551,0,29.47368421
56,37.11340206,20.2020202,11.76470588,20.40816327,0,30.20833333
57,38.1443299,20.2020202,11.53846154,20.40816327,0,30.92783505
58,39.17525773,21.21212121,13.20754717,21.42857143,0,31.95876289
59,40.20618557,21.21212121,12.96296296,21.42857143,0,32.98969072
60,40.81632653,21.21212121,12.72727273,21.21212121,0,32.65306122
61,41.41414141,22.22222222,14.28571429,22,0,33.33333333
62,42.42424242,22.22222222,14.03508772,22,0,34.34343434
63,43.43434343,23.23232323,15.51724138,23,0,35.35353535
64,44.44444444,24.24242424,16.94915254,24,0,36.36363636
65,45.45454545,25.25252525,18.33333333,25,0,37.37373737
66,45.91836735,25.51020408,18.33333333,25.25252525,0,37.37373737
67,46.93877551,25.51020408,18.03278689,25.25252525,0,38.38383838
68,47.95918367,25.51020408,17.74193548,25.25252525,0,39.39393939
69,48.97959184,26.53061224,19.04761905,26.26262626,0,40.4040404
70,50,27.55102041,20.3125,27.27272727,0,41.41414141
71,51.02040816,28.57142857,21.53846154,28.28282828,0,42.42424242
72,52.04081633,29.59183673,22.72727273,29.29292929,0,43.43434343
73,53.06122449,30.6122449,23.88059701,30.3030303,0,44.44444444
74,54.08163265,30.6122449,23.52941176,30.3030303,0,44.44444444
75,55.10204082,30.6122449,23.1884058,30.3030303,0,44.44444444
76,56.12244898,30.6122449,22.85714286,30.3030303,0,44.44444444
77,57.14285714,31.63265306,23.94366197,31.31313131,0,45.45454545
78,58.16326531,31.63265306,23.61111111,31.31313131,0,45.45454545
79,59.18367347,32.65306122,24.65753425,32.32323232,0,45.45454545
80,60.20408163,33.67346939,25.67567568,33.33333333,0,46.46464646
81,61.2244898,34.69387755,26.66666667,33.33333333,0,47
82,62.24489796,34.69387755,27.63157895,33.33333333,0,48
83,63.26530612,35.71428571,28.57142857,34.34343434,0,48
84,64.28571429,36.73469388,28.20512821,34.34343434,0,49
85,65.30612245,37.75510204,29.11392405,34.34343434,0,50
86,66.32653061,38.7755102,30.37974684,35.35353535,0,51
87,67.34693878,39.79591837,31.64556962,36.36363636,0,52
88,68.36734694,40.81632653,32.91139241,37.37373737,0,53
89,69.3877551,41.83673469,34.17721519,38.38383838,0,54
90,70.40816327,42.85714286,35.44303797,39.39393939,0,55
91,71.42857143,42.85714286,36.70886076,40.4040404,0,56
92,72.44897959,42.85714286,36.70886076,40.4040404,0,57
93,73.46938776,43.87755102,37.97468354,41.41414141,0,58
94,74.48979592,44.89795918,39.24050633,42.42424242,0,59
95,75.51020408,45.91836735,40.50632911,43.43434343,0,60
96,76.53061224,45.91836735,40.50632911,43.43434343,0,61
97,77.31958763,46.39175258,41.02564103,43.87755102,0,61
98,78.35051546,46.39175258,42.30769231,44.89795918,0,62
99,79.3814433,47.42268041,43.58974359,45.91836735,0,63
100,79.3814433,47.42268041,44.87179487,45.91836735,0,63
101,80.41237113,48.45360825,45.56962025,46.93877551,0,64
102,81.44329897,48.45360825,46.25,47.95918367,0,65
103,82.4742268,49.48453608,46.91358025,48.97959184,0,65
104,83.50515464,50.51546392,47.56097561,50,0,65
105,84.53608247,51.54639175,48.19277108,51.02040816,0,66
106,85.56701031,51.54639175,47.61904762,51.02040816,0,67
107,86.59793814,52.57731959,48.23529412,52.04081633,0,68
108,87.62886598,53.60824742,48.8372093,53.06122449,0,69
109,88.65979381,54.63917526,49.42528736,54.08163265,0,70
110,89.69072165,54.63917526,48.86363636,54.08163265,0,70
111,90.72164948,55.67010309,49.43820225,55.10204082,0,70
112,91.75257732,55.67010309,50,56.12244898,0,71
113,92.78350515,56.70103093,50.54945055,57.14285714,0,72
114,93.81443299,56.70103093,50,57.14285714,0,72
115,93.81443299,56.70103093,49.46236559,57.14285714,0,72
116,94.84536082,56.70103093,50,58.16326531,0,72
117,95.83333333,57.29166667,50,58.7628866,0,72
118,96.875,57.29166667,49.47368421,58.7628866,0,73
119,97.91666667,58.33333333,50,59.79381443,0,74
120,97.91666667,57.29166667,50,58.7628866,0,74
121,97.91666667,57.29166667,50,58.7628866,0,74
122,97.91666667,58.33333333,51.04166667,59.79381443,0,74
123,97.91666667,59.375,52.08333333,60.82474227,0,74
124,97.91666667,59.375,53.125,60.82474227,0,74
125,97.91666667,59.375,54.16666667,61.8556701,0,75
126,97.91666667,60.41666667,54.16666667,62.88659794,0,75
127,97.93814433,60.82474227,54.63917526,63.91752577,0,76
128,97.93814433,60.82474227,55.67010309,63.91752577,0,76
129,97.93814433,60.82474227,56.70103093,63.91752577,0,76
130,97.93814433,60.82474227,57.73195876,63.91752577,0,76
131,97.93814433,59.79381443,57.73195876,62.88659794,0,76
132,97.93814433,59.79381443,57.73195876,62.88659794,0,76
133,97.93814433,59.79381443,58.7628866,62.88659794,0,76
134,97.93814433,58.7628866,58.7628866,61.8556701,0,76
135,97.93814433,58.7628866,59.79381443,61.8556701,0,76
136,97.93814433,58.7628866,59.79381443,60.82474227,0,76
137,97.93814433,57.73195876,59.79381443,59.79381443,0,76
138,97.93814433,57.73195876,59.79381443,59.79381443,0,75
139,97.93814433,56.70103093,59.79381443,58.7628866,0,74
140,97.93814433,56.70103093,60.82474227,58.7628866,0,74
141,97.93814433,57.73195876,61.8556701,59.79381443,0,75
142,97.93814433,58.7628866,62.88659794,60.82474227,0,76
143,97.93814433,59.79381443,63.91752577,61.8556701,0,77
144,97.93814433,60.82474227,64.94845361,62.88659794,0,78
145,97.93814433,61.8556701,65.97938144,63.91752577,0,79
146,97.93814433,60.82474227,65.97938144,62.88659794,0,79
147,97.93814433,60.82474227,65.97938144,62.88659794,0,79
148,97.93814433,60.82474227,65.97938144,62.88659794,0,78
149,97.93814433,60.82474227,65.97938144,62.88659794,0,78
150,97.93814433,60.82474227,65.97938144,62.88659794,0,78
151,97.93814433,61.8556701,67.01030928,63.91752577,1.030927835,78
152,97.93814433,60.82474227,65.97938144,62.88659794,2.06185567,79
153,97.93814433,59.79381443,64.94845361,61.8556701,3.092783505,79
154,97.93814433,58.7628866,63.91752577,60.82474227,3.092783505,78
155,97.93814433,58.7628866,63.91752577,60.82474227,4.12371134,78
156,97.93814433,58.7628866,63.91752577,60.82474227,5.154639175,78
157,97.91666667,58.7628866,63.91752577,60.82474227,5.208333333,77.77777778
158,97.91666667,57.73195876,62.88659794,59.79381443,5.208333333,76.76767677
159,97.91666667,57.73195876,62.88659794,59.79381443,5.208333333,75.75757576
160,97.91666667,57.73195876,62.88659794,59.79381443,5.208333333,75.75757576
161,97.91666667,57.73195876,62.88659794,59.79381443,6.25,75.75757576
162,97.91666667,57.73195876,62.88659794,60.82474227,7.291666667,75.75757576
163,97.91666667,56.70103093,61.8556701,59.79381443,7.291666667,74.74747475
164,97.91666667,56.70103093,61.8556701,59.79381443,8.333333333,74.74747475
165,97.91666667,55.67010309,60.82474227,58.7628866,9.375,74.74747475
166,96.90721649,55.10204082,60.20408163,58.16326531,9.278350515,74.74747475
167,96.90721649,55.10204082,60.20408163,58.16326531,9.278350515,73.73737374
168,96.90721649,55.10204082,61.2244898,58.16326531,9.278350515,72.72727273
169,96.90721649,54.08163265,60.20408163,57.14285714,9.278350515,71.71717172
170,96.90721649,54.08163265,60.20408163,56.12244898,10.30927835,71.71717172
171,96.90721649,54.08163265,60.20408163,55.10204082,11.34020619,71.71717172
172,96.90721649,53.06122449,59.18367347,54.08163265,11.34020619,70.70707071
173,96.90721649,52.04081633,58.16326531,53.06122449,11.34020619,69.6969697
