pointer,OQ818328,PP766469,Bat_picornavirus_3,Shanbavirus_A,OP963617.1
560,95,4,0,0,0
580,89,6,0,1,0
600,92,3,0,1,0
620,97,1,0,0,0
640,97,0,0,0,0
660,96,1,0,1,0
680,93,0,0,1,0
700,99,0,0,0,0
720,98,0,0,0,0
740,99,1,0,0,0
760,93,2,0,0,0
780,83,9,0,0,0
800,80,12,0,0,0
820,40,51,0,0,0
840,54,44,0,0,0
860,61,33,0,0,0
880,68,31,0,0,0
900,80,18,0,0,0
920,87,13,0,0,0
940,99,1,0,0,0
960,100,0,0,0,0
980,100,0,0,0,0
1000,100,0,0,0,0
1020,100,0,0,0,0
1040,100,0,0,0,0
1060,100,0,0,0,0
1080,100,0,0,0,0
1100,100,0,0,0,0
1120,100,0,0,0,0
1140,100,0,0,0,0
1160,100,0,0,0,0
1180,100,0,0,0,0
1200,100,0,0,0,0
1220,100,0,0,0,0
1240,100,0,0,0,0
1260,100,0,0,0,0
1280,100,0,0,0,0
1300,100,0,0,0,0
1320,100,0,0,0,0
1340,100,0,0,0,0
1360,100,0,0,0,0
1380,100,0,0,0,0
1400,97,0,0,0,0
1420,100,0,0,0,0
1440,100,0,0,0,0
1460,99,1,0,0,0
1480,97,0,0,0,0
1500,94,6,0,0,0
1520,81,19,0,0,0
1540,81,19,0,0,0
1560,93,7,0,0,0
1580,98,2,0,0,0
1600,100,0,0,0,0
1620,100,0,0,0,0
1640,100,0,0,0,0
1660,100,0,0,0,0
1680,100,0,0,0,0
1700,100,0,0,0,0
1720,100,0,0,0,0
1740,100,0,0,0,0
1760,100,0,0,0,0
1780,100,0,0,0,0
1800,100,0,0,0,0
1820,100,0,0,0,0
1840,100,0,0,0,0
1860,100,0,0,0,0
1880,100,0,0,0,0
1900,100,0,0,0,0
1920,100,0,0,0,0
1940,100,0,0,0,0
1960,100,0,0,0,0
1980,100,0,0,0,0
2000,100,0,0,0,0
2020,100,0,0,0,0
2040,100,0,0,0,0
2060,100,0,0,0,0
2080,100,0,0,0,0
2100,100,0,0,0,0
2120,100,0,0,0,0
2140,100,0,0,0,0
2160,100,0,0,0,0
2180,100,0,0,0,0
2200,100,0,0,0,0
2220,100,0,0,0,0
2240,100,0,0,0,0
2260,100,0,0,0,0
2280,100,0,0,0,0
2300,100,0,0,0,0
2320,100,0,0,0,0
2340,100,0,0,0,0
2360,100,0,0,0,0
2380,99,1,0,0,0
2400,100,0,0,0,0
2420,100,0,0,0,0
2440,100,0,0,0,0
2460,100,0,0,0,0
2480,99,0,0,0,0
2500,100,0,0,0,0
2520,100,0,0,0,0
2540,100,0,0,0,0
2560,100,0,0,0,0
2580,100,0,0,0,0
2600,100,0,0,0,0
2620,100,0,0,0,0
2640,100,0,0,0,0
2660,100,0,0,0,0
2680,100,0,0,0,0
2700,100,0,0,0,0
2720,100,0,0,0,0
2740,100,0,0,0,0
2760,100,0,0,0,0
2780,100,0,0,0,0
2800,100,0,0,0,0
2820,100,0,0,0,0
2840,100,0,0,0,0
2860,100,0,0,0,0
2880,100,0,0,0,0
2900,100,0,0,0,0
2920,100,0,0,0,0
2940,100,0,0,0,0
2960,100,0,0,0,0
2980,100,0,0,0,0
3000,100,0,0,0,0
3020,100,0,0,0,0
3040,100,0,0,0,0
3060,100,0,0,0,0
3080,100,0,0,0,0
3100,100,0,0,0,0
3120,100,0,0,0,0
3140,99,1,0,0,0
3160,100,0,0,0,0
3180,100,0,0,0,0
3200,99,1,0,0,0
3220,98,1,0,0,0
3240,98,2,0,0,0
3260,96,4,0,0,0
3280,98,2,0,0,0
3300,100,0,0,0,0
3320,96,4,0,0,0
3340,97,3,0,0,0
3360,98,2,0,0,0
3380,90,10,0,0,0
3400,99,1,0,0,0
3420,100,0,0,0,0
3440,99,1,0,0,0
3460,100,0,0,0,0
3480,100,0,0,0,0
3500,100,0,0,0,0
3520,99,1,0,0,0
3540,100,0,0,0,0
3560,100,0,0,0,0
3580,100,0,0,0,0
3600,100,0,0,0,0
3620,97,0,0,0,0
3640,100,0,0,0,0
3660,99,1,0,0,0
3680,97,0,0,0,0
3700,98,1,0,0,1
3720,100,0,0,0,0
3740,99,0,0,0,1
3760,89,2,0,0,4
3780,88,0,0,0,0
3800,99,0,0,0,0
3820,97,1,0,0,1
3840,97,0,0,0,0
3860,100,0,0,0,0
3880,100,0,0,0,0
3900,100,0,0,0,0
3920,100,0,0,0,0
3940,99,0,0,0,0
3960,98,0,0,0,0
3980,99,0,0,0,0
4000,99,0,0,0,0
4020,93,3,0,0,0
4040,95,3,0,0,0
4060,52,15,0,0,5
4080,76,10,0,0,3
4100,64,11,0,0,11
4120,62,21,0,0,2
4140,80,16,0,0,0
4160,99,1,0,0,0
4180,98,0,0,0,0
4200,94,4,0,0,0
4220,98,1,0,0,0
4240,97,2,0,0,0
4260,99,0,0,0,0
4280,99,1,0,0,0
4300,99,1,0,0,0
4320,99,1,0,0,0
4340,100,0,0,0,0
4360,99,0,0,0,0
4380,94,0,0,0,0
4400,99,0,0,0,0
4420,100,0,0,0,0
4440,100,0,0,0,0
4460,100,0,0,0,0
4480,100,0,0,0,0
4500,100,0,0,0,0
4520,100,0,0,0,0
4540,100,0,0,0,0
4560,100,0,0,0,0
4580,96,2,0,0,0
4600,100,0,0,0,0
4620,99,0,0,0,0
4640,100,0,0,0,0
4660,100,0,0,0,0
4680,100,0,0,0,0
4700,100,0,0,0,0
4720,100,0,0,0,0
4740,100,0,0,0,0
4760,100,0,0,0,0
4780,100,0,0,0,0
4800,100,0,0,0,0
4820,100,0,0,0,0
4840,100,0,0,0,0
4860,100,0,0,0,0
4880,100,0,0,0,0
4900,100,0,0,0,0
4920,100,0,0,0,0
4940,100,0,0,0,0
4960,100,0,0,0,0
4980,100,0,0,0,0
5000,100,0,0,0,0
5020,100,0,0,0,0
5040,100,0,0,0,0
5060,100,0,0,0,0
5080,100,0,0,0,0
5100,100,0,0,0,0
5120,100,0,0,0,0
5140,100,0,0,0,0
5160,100,0,0,0,0
5180,100,0,0,0,0
5200,100,0,0,0,0
5220,100,0,0,0,0
5240,100,0,0,0,0
5260,100,0,0,0,0
5280,100,0,0,0,0
5300,100,0,0,0,0
5320,100,0,0,0,0
5340,100,0,0,0,0
5360,100,0,0,0,0
5380,100,0,0,0,0
5400,100,0,0,0,0
5420,100,0,0,0,0
5440,100,0,0,0,0
5460,100,0,0,0,0
5480,100,0,0,0,0
5500,100,0,0,0,0
5520,100,0,0,0,0
5540,100,0,0,0,0
5560,100,0,0,0,0
5580,100,0,0,0,0
5600,100,0,0,0,0
5620,100,0,0,0,0
5640,100,0,0,0,0
5660,100,0,0,0,0
5680,100,0,0,0,0
5700,100,0,0,0,0
5720,100,0,0,0,0
5740,100,0,0,0,0
5760,100,0,0,0,0
5780,100,0,0,0,0
5800,99,0,0,0,0
5820,100,0,0,0,0
5840,100,0,0,0,0
5860,100,0,0,0,0
5880,100,0,0,0,0
5900,100,0,0,0,0
5920,100,0,0,0,0
5940,100,0,0,0,0
5960,100,0,0,0,0
5980,100,0,0,0,0
6000,100,0,0,0,0
6020,100,0,0,0,0
6040,99,0,0,0,0
6060,98,1,0,0,0
6080,95,4,0,0,0
6100,99,0,0,0,0
6120,100,0,0,0,0
6140,100,0,0,0,0
6160,100,0,0,0,0
6180,100,0,0,0,0
6200,100,0,0,0,0
6220,100,0,0,0,0
6240,100,0,0,0,0
6260,100,0,0,0,0
6280,100,0,0,0,0
6300,100,0,0,0,0
6320,100,0,0,0,0
6340,100,0,0,0,0
6360,100,0,0,0,0
6380,100,0,0,0,0
6400,100,0,0,0,0
6420,100,0,0,0,0
6440,100,0,0,0,0
6460,100,0,0,0,0
6480,100,0,0,0,0
6500,100,0,0,0,0
6520,100,0,0,0,0
6540,100,0,0,0,0
6560,100,0,0,0,0
6580,100,0,0,0,0
6600,100,0,0,0,0
6620,100,0,0,0,0
6640,100,0,0,0,0
6660,100,0,0,0,0
6680,100,0,0,0,0
6700,100,0,0,0,0
6720,100,0,0,0,0
6740,100,0,0,0,0
6760,100,0,0,0,0
6780,100,0,0,0,0
6800,100,0,0,0,0
6820,100,0,0,0,0
6840,100,0,0,0,0
6860,100,0,0,0,0
6880,100,0,0,0,0
6900,100,0,0,0,0
6920,100,0,0,0,0
6940,100,0,0,0,0
6960,100,0,0,0,0
6980,100,0,0,0,0
7000,100,0,0,0,0
7020,100,0,0,0,0
7040,100,0,0,0,0
7060,100,0,0,0,0
7080,100,0,0,0,0
7100,100,0,0,0,0
7120,100,0,0,0,0
7140,100,0,0,0,0
7160,100,0,0,0,0
7180,100,0,0,0,0
7200,100,0,0,0,0
7220,100,0,0,0,0
7240,100,0,0,0,0
7260,100,0,0,0,0
7280,100,0,0,0,0
7300,100,0,0,0,0
7320,100,0,0,0,0
7340,100,0,0,0,0
7360,100,0,0,0,0
7380,100,0,0,0,0
7400,100,0,0,0,0
7420,100,0,0,0,0
7440,100,0,0,0,0
7460,100,0,0,0,0
7480,100,0,0,0,0
7500,100,0,0,0,0
7520,100,0,0,0,0
7540,100,0,0,0,0
7560,100,0,0,0,0
7580,100,0,0,0,0
7600,100,0,0,0,0
7620,100,0,0,0,0
7640,100,0,0,0,0
7660,100,0,0,0,0
7680,100,0,0,0,0
7700,100,0,0,0,0
7720,100,0,0,0,0
7740,100,0,0,0,0
7760,100,0,0,0,0
7780,100,0,0,0,0
7800,100,0,0,0,0
7820,100,0,0,0,0
7840,100,0,0,0,0
7860,100,0,0,0,0
7880,100,0,0,0,0
7900,100,0,0,0,0
7920,97,3,0,0,0
7940,90,10,0,0,0
7960,96,4,0,0,0
7980,63,34,0,0,0
8000,62,36,0,0,2
8020,49,35,0,0,16
