pointer,KT452712.1,KT452713.1,KT452729.1,KT452731.1,KT452732.1,KT452743.1,KT452744.1,NC_028366.1,NC_038313.1,NC_038316.1
1173,45,46,58,47,48,43,43,57,53,57
1174,46,47,58,48,49,44,44,57,53,57
1175,46,47,57,48,49,44,44,56,52,56
1176,47,48,57,49,50,45,45,56,52,56
1177,48,49,58,50,51,46,46,57,53,57
1178,48,49,57,50,51,46,46,56,52,56
1179,48,49,57,50,51,46,46,56,52,56
1180,49,50,57,51,52,47,47,56,52,56
1181,49,50,57,51,52,47,47,55,52,56
1182,49,50,57,51,52,47,47,55,52,56
1183,49,50,56,51,52,47,47,54,51,55
1184,49,50,55,51,52,47,47,53,50,54
1185,50,51,55,52,53,47,47,53,49,54
1186,51,52,56,53,54,48,48,54,50,55
1187,52,53,56,53,54,48,48,55,50,55
1188,52,53,56,53,54,48,48,55,50,55
1189,53,54,56,54,55,49,49,55,50,55
1190,53,54,55,54,55,49,49,54,49,54
1191,53,54,55,54,55,49,49,54,49,54
1192,53,54,55,54,55,49,49,54,49,54
1193,53,54,55,54,55,50,50,54,50,54
1194,54,55,56,55,56,51,51,55,51,55
1195,54,55,56,55,56,51,51,55,51,55
1196,54,55,55,54,55,51,51,55,51,54
1197,55,56,54,54,55,51,51,56,51,54
1198,54,55,53,53,54,50,50,55,50,53
1199,54,55,53,53,54,50,50,55,50,53
1200,54,55,53,53,54,50,50,55,50,53
1201,54,55,53,53,54,50,50,55,50,53
1202,53,54,52,52,53,49,49,54,49,52
1203,54,55,53,53,54,50,50,55,50,53
1204,54,55,54,53,54,51,51,55,51,53
1205,54,55,55,54,54,51,51,55,51,54
1206,55,56,56,55,55,52,52,56,52,55
1207,55,56,56,55,55,52,52,56,52,55
1208,54,55,55,54,54,51,51,55,51,54
1209,55,56,55,54,54,52,52,56,52,54
1210,55,56,55,54,54,52,52,56,52,54
1211,56,57,55,54,55,53,53,57,53,54
1212,56,57,55,54,55,53,53,57,53,54
1213,55,56,54,53,54,52,52,56,52,53
1214,54,55,54,52,53,51,51,55,51,52
1215,54,55,54,52,53,51,51,55,51,52
1216,53,54,53,51,52,50,50,54,50,51
1217,53,54,52,50,51,49,49,54,49,50
1218,54,55,53,51,52,50,50,55,50,51
1219,54,55,53,51,52,50,50,55,50,51
1220,53,54,52,50,51,49,49,54,49,50
1221,53,54,51,49,51,49,49,54,49,49
1222,53,54,51,49,51,49,49,54,49,49
1223,52,53,50,48,50,49,49,53,49,48
1224,53,54,51,49,50,50,50,54,50,49
1225,54,55,52,50,51,51,51,55,51,50
1226,54,55,52,50,51,51,51,55,51,50
1227,55,56,53,51,52,52,52,56,52,51
1228,54,55,52,50,51,51,51,55,51,50
1229,53,54,51,49,50,50,50,54,50,49
1230,53,54,52,49,50,50,50,54,50,49
1231,53,54,52,49,50,50,50,54,50,49
1232,53,54,51,49,50,49,49,54,49,49
1233,53,54,51,49,50,49,49,54,49,49
1234,53,54,51,49,50,49,49,54,49,49
1235,52,53,50,48,49,48,48,53,48,48
1236,53,54,51,49,50,49,49,54,49,49
1237,52,53,50,48,49,48,48,53,48,48
1238,51,52,49,48,48,48,48,52,48,48
1239,52,53,50,49,49,49,49,53,49,49
1240,52,53,50,49,49,49,49,53,49,49
1241,53,53,50,49,49,49,49,53,49,49
1242,53,53,49,49,49,49,49,53,49,49
1243,53,53,49,50,49,49,49,53,49,50
1244,54,54,50,51,49,50,50,54,50,51
1245,55,55,51,52,50,51,51,55,51,52
1246,55,55,51,52,50,51,51,55,51,52
1247,54,54,50,51,49,50,50,54,50,51
1248,55,55,51,52,50,51,51,55,51,52
1249,55,55,51,52,50,51,51,55,51,52
1250,54,54,51,52,50,51,51,54,51,52
1251,55,55,51,53,51,52,52,55,52,53
1252,54,54,50,52,50,52,52,54,52,52
1253,54,54,50,52,50,52,52,54,52,52
1254,54,54,50,52,50,52,52,54,52,52
1255,54,54,50,52,50,52,52,54,52,52
1256,54,54,50,52,50,52,52,54,52,52
1257,54,54,50,52,50,52,52,54,52,52
1258,53,53,49,51,49,51,51,53,51,51
1259,52,52,48,50,48,50,50,52,50,50
1260,52,52,49,51,49,50,50,52,50,51
1261,51,51,48,50,48,49,49,51,49,50
1262,50,50,47,49,47,48,48,50,48,49
1263,50,50,47,49,47,48,48,50,48,49
1264,50,50,47,49,47,48,48,50,48,49
1265,49,49,46,48,46,47,47,49,47,48
1266,50,50,47,48,46,48,48,50,48,48
1267,50,50,47,48,46,48,48,50,48,48
1268,49,49,46,47,45,47,47,49,47,47
1269,50,50,46,48,46,47,47,50,47,48
1270,50,50,46,48,46,47,47,50,47,48
1271,50,50,45,48,46,47,47,50,47,48
1272,51,50,46,49,47,48,48,50,48,49
1273,52,51,47,50,48,49,49,51,49,50
1274,51,50,46,49,47,48,48,50,48,49
1275,52,51,47,50,48,49,49,51,49,50
1276,52,51,47,50,48,49,49,51,49,50
1277,52,51,46,49,47,48,48,51,48,49
1278,52,51,46,49,47,48,48,51,48,49
1279,53,52,47,50,48,49,49,52,49,50
1280,52,51,46,49,47,48,48,51,48,49
1281,53,52,47,50,48,49,49,52,49,50
1282,54,53,48,51,49,50,50,53,50,51
1283,54,53,48,51,49,50,50,53,50,51
1284,54,53,48,51,49,50,50,53,50,51
1285,53,52,47,50,48,50,50,52,50,50
1286,52,51,46,49,48,49,49,51,49,49
1287,52,51,47,50,49,50,50,51,50,50
1288,53,52,48,51,50,51,51,52,51,51
1289,52,51,47,51,49,51,51,51,51,51
1290,53,52,48,52,50,52,52,52,52,52
1291,54,53,49,53,51,53,53,53,53,53
1292,55,54,50,53,52,54,54,54,54,53
1293,56,55,51,54,53,54,54,55,54,54
1294,56,55,51,54,53,54,54,55,54,54
1295,55,54,50,53,52,53,53,54,53,53
1296,55,54,50,53,52,53,53,54,53,53
1297,55,54,50,52,51,53,53,54,53,52
1298,55,55,51,53,52,54,54,55,54,53
1299,55,55,51,53,52,54,54,55,54,53
1300,56,56,52,54,53,55,55,56,55,54
1301,55,55,51,53,52,54,54,55,54,53
1302,56,56,52,53,52,55,55,56,55,53
1303,56,56,52,52,51,55,55,56,55,52
1304,56,56,51,52,51,55,55,56,55,52
1305,57,57,51,52,52,56,56,57,56,52
1306,56,56,50,51,51,55,55,56,55,51
1307,55,55,49,50,50,54,54,55,54,50
1308,55,55,49,50,50,54,54,55,54,50
1309,55,55,49,50,50,54,54,55,54,50
1310,55,55,49,50,50,54,54,55,54,50
1311,55,55,50,51,50,54,54,55,54,51
1312,56,56,51,52,51,55,55,56,55,52
1313,56,56,51,52,51,55,55,56,55,52
