pointer,OQ818322,PP766456,NC_034971.1,Rhinolophus_kobuvirus
520,14,5,0,0
540,18,3,0,0
560,15,6,0,0
580,81,7,0,0
600,74,12,0,0
620,71,8,0,0
640,76,11,0,0
660,44,4,0,0
680,70,2,0,0
700,81,1,0,0
720,68,2,0,0
740,69,4,0,0
760,71,10,0,0
780,81,17,0,0
800,63,35,0,0
820,62,36,0,0
840,46,50,0,0
860,48,41,0,0
880,63,18,0,0
900,62,20,0,0
920,65,22,0,0
940,64,14,0,0
960,64,20,0,0
980,70,12,0,0
1000,59,21,0,0
1020,64,20,0,0
1040,69,14,0,0
1060,67,13,0,0
1080,47,27,0,0
1100,39,34,0,0
1120,18,73,0,0
1140,19,71,0,0
1160,20,69,0,0
1180,10,89,0,0
1200,19,80,0,0
1220,24,73,0,0
1240,19,79,0,0
1260,21,74,0,0
1280,21,76,0,0
1300,14,81,0,0
1320,67,27,0,0
1340,73,24,0,0
1360,87,7,0,0
1380,98,1,0,0
1400,99,0,0,0
1420,99,0,0,0
1440,98,1,0,0
1460,97,0,0,0
1480,98,0,0,0
1500,99,0,0,0
1520,98,0,0,0
1540,97,2,0,0
1560,99,0,0,0
1580,94,3,0,0
1600,91,6,0,0
1620,93,3,0,0
1640,92,4,0,0
1660,88,5,0,0
1680,90,5,0,0
1700,74,8,0,0
1720,89,8,0,0
1740,94,2,0,0
1760,99,0,0,0
1780,74,3,0,0
1800,83,0,0,0
1820,86,0,0,0
1840,90,0,0,0
1860,92,0,0,0
1880,94,0,0,0
1900,93,0,0,0
1920,67,0,0,0
1940,69,4,0,0
1960,71,3,0,0
1980,93,0,0,0
2000,89,1,0,0
2020,91,1,0,0
2040,84,0,0,0
2060,77,1,0,0
2080,85,3,0,0
2100,88,2,0,0
2120,82,11,0,0
2140,84,5,0,0
2160,86,7,0,0
2180,66,23,0,0
2200,66,20,0,0
2220,66,15,0,0
2240,41,52,0,0
2260,62,35,0,0
2280,62,35,0,0
2300,61,37,0,0
2320,49,51,0,0
2340,39,61,0,0
2360,53,47,0,0
2380,32,68,0,0
2400,23,77,0,0
2420,26,74,0,0
2440,41,59,0,0
2460,30,65,0,0
2480,27,73,0,0
2500,26,71,0,0
2520,9,48,0,0
2540,13,47,0,0
2560,12,45,0,0
2580,8,51,0,0
2600,13,43,0,0
2620,15,50,0,0
2640,12,44,0,0
2660,10,37,0,0
2680,47,49,0,0
2700,83,14,0,0
2720,90,9,0,0
2740,88,12,0,0
2760,83,17,0,0
2780,86,14,0,0
2800,81,18,0,0
