Position in alignment,NC_034971.1 - OR951365.1,NC_034971.1 - PP766456,OR951365.1 - PP766456
20,62,7,26
40,52,24,17
60,30,47,13
80,45,39,14
100,52,47,1
120,56,44,0
140,50,50,0
160,48,52,0
180,80,20,0
200,84,16,0
220,75,24,0
240,86,14,0
260,96,4,0
280,98,1,0
300,100,0,0
320,95,3,0
340,97,2,0
360,99,1,0
380,91,9,0
400,90,10,0
420,92,8,0
440,83,15,2
460,72,28,0
480,60,39,0
500,47,53,0
520,40,58,0
540,46,54,0
560,31,69,0
580,55,36,1
600,60,36,0
620,52,41,0
640,27,70,0
660,34,62,0
680,46,45,0
700,58,36,1
720,77,19,1
740,59,34,4
760,12,80,3
780,5,84,7
800,1,84,10
820,15,67,11
840,29,44,19
860,27,57,12
880,26,58,9
900,17,49,26
920,19,43,25
940,32,46,16
960,71,6,16
980,51,39,4
1000,58,23,8
1020,27,59,9
1040,2,78,11
1060,4,81,11
1080,6,80,8
1100,5,90,0
1120,4,92,2
1140,8,86,2
1160,3,95,1
1180,4,94,0
1200,8,89,0
1220,6,93,0
1240,8,91,0
1260,7,91,0
1280,4,85,4
1300,25,64,3
1320,55,28,9
1340,74,10,9
1360,90,5,3
1380,89,0,5
1400,97,0,3
1420,98,0,1
1440,99,0,0
1460,100,0,0
1480,100,0,0
1500,100,0,0
1520,100,0,0
1540,97,0,1
1560,90,5,1
1580,92,2,5
1600,69,3,19
1620,38,4,46
1640,10,11,68
1660,12,16,61
