,,,Breakpoint Positions,,,,,,,,,,,,,,,,,
,,In Alignment, ,In Recombinant Sequence, ,Relative to OQ818328,, , , , , , Detection Methods,,,,,,,
Recombination Event Number, Number In .RDP File, Begin, End,Begin, End,Begin, End, Recombinant Sequence(s), Minor Parental Sequence(s), Major Parental Sequence(s), RDP, GENECONV, Bootscan, Maxchi, Chimaera, SiSscan,PhylPro, LARD, 3Seq,
1,1~,184,836,8,177,28,585,^Shanbavirus_A,Unknown (OQ818328),OP963617.1,1.71E-07,NS,2.74E-05,1.56E-02,1.01E-03,NS,NS,NS,1.57E-02,
1,,,,,,,,,Unknown(OQ818325),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,5~,693,797,507,555,510,556,^OP963617.1,OQ818328,Bat_picornavirus_3,NS,NS,2.09E-03,NS,NS,NS,NS,NS,NS,
2,,,,,,,,,OQ818325,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,9~,528, 688*,222, 379*,348, 505*,^PP766469,Unknown (OP963617.1),OQ818328,4.16E-02,NS,NS,NS,NS,NS,NS,NS,2.15E-02,****
,,,,,,,,,,,,,,,,,,,,
Table Key:,,,,,,,,,,,,,,,,,,,,
~            = It is possible that this apparent recombination signal could have been caused by an evolutionary,,,,,,,,,,,,,,,,,,,,
               process other than recombination.,,,,,,,,,,,,,,,,,,,,
*            = The actual breakpoint position is undetermined (it was most likely overprinted by a subsequent ,,,,,,,,,,,,,,,,,,,,
               recombination event).,,,,,,,,,,,,,,,,,,,,
^            = The recombinant sequence may have been misidentified (one of the identified parents might be the recombinant),,,,,,,,,,,,,,,,,,,,
Minor Parent = Parent contributing the smaller fraction of sequence.,,,,,,,,,,,,,,,,,,,,
Major Parent = Parent contributing the larger fraction of sequence.,,,,,,,,,,,,,,,,,,,,
Unknown      = Only one parent and a recombinant need be in the alignment for a recombination event to be detectable.,,,,,,,,,,,,,,,,,,,,
               The sequence listed as unknown was used to infer the existance of a missing parental sequence.,,,,,,,,,,,,,,,,,,,,
NS           = No significant P-value was recorded for this recombination event using this method.,,,,,,,,,,,,,,,,,,,,
