pointer,HPA,KR703607,KT452637,KT452658,KT452685,KT452714,KT452730,KT452735,KT452742
100,-1,-1,-1,-1,-1,-1,-1,-1,-1
120,7,0,2,0,2,0,2,0,0
140,5,0,0,0,0,48,0,0,0
160,7,0,1,0,0,24,0,0,0
180,9,0,0,0,1,20,0,0,0
200,6,0,0,0,1,27,1,0,0
220,6,0,0,0,3,28,1,3,0
240,0,1,0,0,2,9,0,11,0
260,2,0,0,0,0,49,0,8,0
280,2,0,0,0,0,38,0,9,0
300,1,1,0,0,0,40,0,4,0
320,0,1,0,0,0,27,0,18,0
340,0,0,0,0,0,61,0,11,0
360,0,0,0,0,0,73,0,13,0
380,0,0,0,0,0,81,1,9,0
400,0,0,0,0,0,77,0,6,0
420,0,0,0,0,0,93,0,3,0
440,0,0,0,0,0,95,0,2,0
460,0,0,0,0,0,96,0,2,0
480,0,0,0,0,0,100,0,0,0
500,0,0,0,0,0,99,0,0,1
520,0,0,0,0,0,97,0,0,1
540,0,0,0,0,0,100,0,0,0
560,0,0,0,0,0,93,0,0,4
580,0,0,0,0,0,95,0,0,3
600,0,0,0,0,0,87,0,0,3
620,0,0,0,0,0,80,0,2,8
640,0,0,0,0,0,72,0,2,5
660,0,0,0,0,0,54,0,6,4
680,0,0,0,0,0,49,0,10,0
700,0,0,0,0,1,34,0,21,0
720,1,0,0,0,0,54,0,11,0
740,0,0,0,0,0,76,0,6,0
760,0,0,0,0,0,81,0,6,0
780,0,0,0,0,0,84,0,10,0
800,0,1,0,0,0,77,0,10,0
820,0,1,0,0,0,62,0,18,0
840,0,0,0,0,0,57,0,25,1
860,0,5,0,0,0,66,2,1,0
880,0,11,0,0,0,63,4,1,0
900,0,0,0,0,0,70,7,0,1
920,0,0,0,0,1,47,14,1,2
940,0,2,0,0,2,74,9,0,3
960,0,1,0,0,0,81,6,0,2
980,0,4,0,0,0,80,1,0,6
1000,0,1,0,0,0,94,0,0,0
1020,0,2,0,0,0,88,1,0,6
1040,0,3,0,0,0,91,2,0,3
1060,0,0,0,0,0,95,1,0,4
1080,0,0,0,0,0,98,0,0,2
1100,0,0,0,0,0,100,0,0,0
1120,0,1,0,0,0,99,0,0,0
1140,0,5,0,1,0,83,1,0,0
1160,0,0,0,0,0,73,5,0,3
1180,0,5,0,0,0,83,4,0,1
1200,0,7,2,0,0,38,11,0,12
1220,0,3,1,2,0,30,31,0,3
1240,0,1,1,0,0,22,31,0,3
1260,0,8,0,1,0,63,3,0,2
1280,0,20,0,0,0,44,6,0,0
1300,0,17,2,0,1,23,13,1,3
1320,0,47,3,0,0,10,6,0,0
1340,0,60,1,0,0,10,2,0,0
1360,0,56,2,0,1,16,4,1,0
