pointer,OQ818341,KX644943
1941,77,75
1942,76,74
1943,76,74
1944,76,74
1945,76,74
1946,76,75
1947,77,76
1948,76,76
1949,76,76
1950,76,77
1951,75,76
1952,74,75
1953,74,76
1954,74,75
1955,74,75
1956,75,76
1957,75,76
1958,76,77
1959,76,77
1960,76,77
1961,76,77
1962,76,77
1963,76,76
1964,76,76
1965,76,76
1966,76,75
1967,77,76
1968,77,76
1969,76,75
1970,77,75
1971,77,75
1972,76,74
1973,76,74
1974,76,74
1975,76,74
1976,76,74
1977,77,75
1978,77,74
1979,78,74
1980,78,74
1981,77,73
1982,78,73
1983,78,73
1984,77,72
1985,77,72
1986,77,73
1987,77,73
1988,78,74
1989,78,74
1990,77,74
1991,78,75
1992,78,75
1993,78,75
1994,78,75
1995,79,76
1996,78,75
1997,79,76
1998,79,76
1999,78,76
2000,78,76
2001,78,76
2002,78,75
2003,79,76
2004,79,76
2005,78,75
2006,78,75
2007,78,75
2008,77,74
2009,78,75
2010,78,75
2011,78,75
2012,79,76
2013,79,76
2014,78,76
2015,78,76
2016,78,76
2017,78,75
2018,78,76
2019,78,76
2020,79,77
2021,80,78
2022,80,78
2023,79,77
2024,80,77
2025,81,77
2026,81,76
2027,82,77
2028,82,77
2029,82,77
2030,82,77
2031,83,78
2032,82,77
2033,83,77
2034,83,77
2035,82,77
2036,82,77
2037,82,77
2038,82,77
2039,82,78
2040,83,79
2041,83,79
2042,84,80
2043,84,80
2044,84,80
2045,84,80
2046,84,80
2047,83,79
2048,84,80
2049,84,80
2050,84,80
2051,85,81
2052,86,82
2053,85,82
2054,85,83
2055,85,83
2056,85,82
2057,85,82
2058,85,82
2059,85,81
2060,85,81
2061,85,81
2062,85,81
2063,85,82
2064,85,82
2065,85,81
2066,85,82
2067,85,82
2068,84,81
2069,84,81
2070,84,82
2071,83,81
2072,84,82
2073,84,82
2074,84,82
2075,84,82
2076,84,82
2077,83,81
2078,82,81
2079,82,81
2080,81,80
2081,82,81
2082,82,81
2083,81,81
2084,82,82
2085,82,82
2086,81,81
2087,81,81
2088,81,81
2089,80,80
2090,81,80
2091,81,80
2092,81,80
2093,81,80
2094,81,80
2095,80,80
2096,81,81
2097,81,81
2098,80,80
2099,81,80
2100,81,80
2101,80,79
2102,79,80
2103,79,80
2104,78,79
2105,79,80
2106,79,80
2107,78,79
2108,79,80
2109,79,80
2110,78,79
2111,78,79
2112,78,79
2113,78,78
2114,79,78
2115,79,78
2116,79,77
2117,79,77
2118,79,77
2119,78,77
2120,78,77
2121,78,77
2122,78,77
2123,79,78
2124,79,78
2125,78,78
2126,78,79
2127,78,79
2128,78,78
2129,78,78
2130,78,78
2131,77,77
2132,78,78
2133,78,78
2134,77,77
2135,78,77
2136,78,77
2137,78,76
2138,77,76
2139,77,76
2140,76,75
2141,75,74
2142,75,74
2143,74,73
2144,74,73
2145,74,73
2146,74,72
2147,75,73
2148,75,73
2149,75,73
2150,75,72
2151,75,72
2152,74,71
2153,75,71
2154,75,71
2155,75,71
2156,75,72
2157,75,72
2158,74,71
2159,74,72
2160,74,72
2161,73,71
2162,73,71
2163,73,71
2164,73,71
2165,73,72
2166,73,72
2167,72,71
2168,73,72
2169,74,73
2170,74,73
2171,75,74
2172,75,74
2173,75,74
2174,75,74
2175,75,74
2176,75,73
2177,76,74
2178,77,75
2179,76,74
2180,76,74
2181,76,74
2182,75,73
2183,76,73
2184,76,73
2185,76,73
2186,77,74
2187,77,74
2188,76,73
2189,77,73
2190,77,73
2191,76,73
2192,76,73
2193,75,72
2194,75,72
2195,75,71
2196,74,70
2197,74,69
2198,75,70
2199,75,70
2200,74,70
2201,75,71
2202,76,71
2203,75,70
2204,75,70
2205,75,70
2206,74,69
2207,75,70
2208,75,70
2209,75,69
2210,76,69
2211,76,69
2212,76,68
2213,76,69
2214,76,69
2215,76,69
2216,76,70
2217,76,71
2218,76,70
2219,77,70
2220,77,70
2221,77,70
2222,77,70
2223,77,70
2224,77,69
2225,78,69
2226,78,69
2227,77,68
2228,77,69
2229,77,69
2230,77,68
2231,78,69
2232,78,69
2233,77,68
2234,78,69
2235,78,69
2236,78,69
2237,78,70
2238,79,70
2239,79,70
2240,80,71
2241,81,72
2242,80,71
2243,81,72
2244,81,72
2245,81,72
2246,81,73
2247,81,73
2248,81,72
2249,81,72
2250,81,73
2251,80,72
2252,81,73
2253,81,73
2254,81,73
2255,81,73
2256,81,73
2257,80,73
2258,81,74
2259,81,74
2260,81,74
2261,82,75
2262,82,75
2263,82,74
2264,82,74
2265,82,74
2266,81,73
2267,82,74
2268,82,74
2269,82,74
2270,82,74
2271,82,74
2272,81,73
2273,81,73
2274,81,73
2275,81,72
2276,81,73
2277,81,73
2278,81,73
2279,82,74
2280,83,75
2281,83,74
2282,84,75
2283,84,75
2284,84,74
2285,84,74
2286,84,74
2287,84,73
2288,85,74
2289,85,75
2290,85,75
2291,86,75
2292,86,75
2293,87,76
2294,87,76
2295,88,77
2296,89,78
2297,89,79
2298,89,79
2299,88,79
2300,89,79
2301,89,79
2302,88,78
2303,89,79
2304,90,80
2305,90,80
2306,91,81
2307,91,81
2308,90,81
2309,90,82
2310,90,83
2311,90,83
2312,90,84
2313,90,84
2314,90,84
2315,90,84
2316,90,84
2317,89,83
2318,89,84
2319,89,84
2320,89,84
2321,89,84
2322,89,84
2323,89,84
2324,89,85
2325,89,85
2326,88,84
2327,89,85
2328,89,85
2329,88,84
2330,87,84
2331,87,84
2332,86,83
2333,87,84
2334,87,84
2335,87,84
2336,87,84
2337,87,84
2338,87,84
2339,87,84
2340,87,84
2341,87,84
2342,88,85
2343,88,85
2344,87,84
2345,87,84
2346,87,84
2347,87,84
2348,87,85
2349,87,85
2350,87,85
2351,88,86
2352,88,86
2353,88,85
2354,87,84
2355,87,84
2356,86,83
2357,87,83
2358,87,83
2359,86,82
2360,86,82
2361,86,82
2362,85,81
2363,85,82
2364,85,82
2365,84,81
2366,85,82
2367,85,82
2368,85,82
2369,85,82
2370,85,82
2371,85,82
2372,86,83
2373,86,83
2374,86,83
2375,86,84
2376,86,84
2377,85,84
2378,85,84
2379,85,84
2380,85,84
2381,84,85
2382,84,85
2383,84,85
2384,84,86
2385,84,86
2386,84,86
2387,84,87
2388,84,87
2389,84,86
2390,84,86
2391,84,86
2392,84,86
2393,84,86
2394,84,86
2395,84,85
2396,84,85
2397,84,85
2398,84,85
2399,85,85
2400,85,85
2401,85,84
2402,86,85
2403,86,85
2404,85,85
2405,85,85
2406,85,85
2407,84,84
2408,85,84
2409,85,84
2410,84,83
2411,84,83
2412,84,83
2413,84,82
2414,84,82
2415,84,82
2416,83,81
2417,84,82
2418,84,82
2419,84,82
2420,84,82
2421,84,82
2422,84,81
2423,84,81
2424,84,81
2425,84,81
2426,85,82
2427,85,82
2428,84,82
2429,85,83
2430,86,84
2431,86,83
2432,87,84
2433,87,84
2434,87,84
2435,87,84
2436,87,84
2437,86,84
2438,86,84
2439,86,84
2440,85,83
2441,85,83
2442,85,83
2443,85,83
2444,86,84
2445,86,84
2446,86,83
2447,85,82
2448,85,82
2449,84,82
2450,84,82
2451,84,82
2452,83,82
2453,83,83
2454,84,84
2455,84,84
2456,85,85
2457,85,85
2458,85,84
2459,86,85
2460,86,85
2461,86,85
2462,87,86
2463,87,86
2464,86,86
2465,87,87
2466,87,87
2467,87,87
2468,87,87
2469,87,87
2470,87,87
2471,87,87
2472,87,87
2473,87,87
2474,87,87
2475,87,87
2476,87,87
2477,88,87
2478,88,87
2479,87,87
2480,87,87
2481,88,87
2482,87,86
2483,87,86
2484,87,86
2485,87,86
2486,87,86
2487,87,86
2488,86,85
2489,86,86
2490,86,86
2491,85,85
2492,85,85
2493,85,85
2494,85,85
2495,85,86
2496,85,86
2497,84,86
2498,84,86
2499,84,86
2500,84,86
2501,84,87
2502,84,87
2503,84,87
2504,85,87
2505,85,87
2506,85,87
2507,86,88
2508,86,88
2509,85,88
2510,86,89
2511,86,89
2512,85,88
2513,85,89
2514,85,89
2515,84,89
2516,85,90
2517,85,90
2518,85,90
2519,85,90
2520,85,90
